#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-09-25T18:05:35 [V7.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-09-25T18:05:35	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-source=J/ApJS/275/2/table1&-out.max=unlimited&-out.all=2	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_22750002
#Name: J/ApJS/275/2
#Title: Galactic O-type stars with IACOB, GOSSS and TESS (Shen+, 2024)
#INFO	ivoid=ivo://cds.vizier/j/apjs/275/2	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/apjs/275/2	    IVOID of underlying data collection
#INFO	creator=Shen D.-X.	    First author or institution
#INFO	cites=bibcode:2024ApJS..275....2S	    Article or Data origin sources
#INFO	journal=ApJS	    Journal name
#INFO	original_date=2024	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/ApJS/275/2	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier/bb-8k-2	    Dataset identifier that can be used for citation
#INFO	publication_date=2026-08-03	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_ApJS_275_2_table1:
#Name: J/ApJS/275/2/table1
#Title: Stellar parameters of stars in our sample
#Column	f_Name	(I1)	[1/2] Spectral observation flag (1)	[ucd=meta.code]
#Column	Name	(a14)	Star Name	[ucd=meta.id;meta.main]
#Column	m_Name	(A1)	[A] Star name component	[ucd=meta.code.multip]
#Column	SpT	(A5)	Spectral type	[ucd=src.spType]
#Column	Lum	(a13)	Luminosity Class	[ucd=src.class.luminosity]
#Column	logLs	(F5.2)	[3.4/4.27] Log, spectroscopic luminosity	[ucd=phys.luminosity]
#Column	e_logLs	(F5.2)	[0.03/0.4] Uncertainty in logLs	[ucd=stat.error;phys.luminosity]
#Column	Teff	(F5.2)	[27.7/49.1] Effective temperature	[ucd=phys.temperature.effective]
#Column	e_Teff	(F5.2)	[0.5/2.2] Uncertainty in Teff	[ucd=stat.error;phys.temperature.effective]
#Column	logg	(F5.2)	[2.9/4.13] Log, surface gravity	[ucd=phys.gravity]
#Column	e_logg	(F5.2)	[0.03/0.3] Uncertainty in logg	[ucd=stat.error;phys.gravity]
#Column	Mass	(F5.2)	[16/82] Stellar mass	[ucd=phys.mass]
#Column	E_Mass	(F5.2)	[0/7.4] Upper Uncertainty in Mass	[ucd=stat.error;stat.max;phys.mass]
#Column	e_Mass	(F5.2)	[0.4/15] Lower Uncertainty in Mass	[ucd=stat.error;stat.min;phys.mass]
#Column	Rad	(F5.2)	[6.17/47.5] Stellar Radius	[ucd=phys.size.radius]
#Column	E_Rad	(F5.2)	[0/1] Upper Uncertainty in Rad	[ucd=stat.error;stat.max;phys.size.radius]
#Column	e_Rad	(F5.2)	[0.27/6] Lower Uncertainty in Rad	[ucd=stat.error;stat.min;phys.size.radius]
#Column	tau	(F5.2)	[0.1/0.86] Fractional main sequence age	[ucd=time.age;arith.ratio]
#Column	E_tau	(F5.2)	[0.01/0.2] Upper Uncertainty in tau	[ucd=stat.error;stat.min;time.age]
#Column	e_tau	(F5.2)	[0.01/0.3] Lower Uncertainty in tau	[ucd=stat.error;stat.min;time.age]
#Column	logMdot	(F5.2)	[-7.9/-5] Mass-loss rate	[ucd=phys.mass.loss]
#Column	E_logMdot	(F5.2)	[0.07/0.5] Upper Uncertainty in logMdot	[ucd=stat.error;stat.max;phys.mass.loss]
#Column	e_logMdot	(F5.2)	[0.05/0.4] Lower Uncertainty in logMdot	[ucd=stat.error;stat.min;phys.mass.loss]
#Column	vmacro	(F5.1)	[7/440]? Macroturbulent velocity	[ucd=phys.veloc]
#Column	vsini	(F5.1)	[8/140]? Projected rotational velocity	[ucd=phys.veloc.rotat]
#Column	IACOB	(I3)	Display data from Simon-Diaz+ 2014, J/A+A/562/A135 and Holgado+2020, J/A+A/638/A157 within 3"	[ucd=meta.ref.url]
#Column	GOSSS	(I3)	Display data from GOSSS (III/274) within 3"	[ucd=meta.ref.url]
#Column	Nvar	(I3)	Number of SLF variability results for this star (link to Table 2)	[ucd=meta.number]
#Column	SimbadName	(a17)	Simbad column added by the CDS	[ucd=meta.id]
#Column	_RA	(F9.5)	Right Ascension (J2000) from SIMBAD (not part of the original data)	[ucd=pos.eq.ra;meta.main]
#Column	_DE	(F9.5)	Declination (J2000) from SIMBAD (not part of the original data)	[ucd=pos.eq.dec;meta.main]
f_Name	Name	m_Name	SpT	Lum	logLs	e_logLs	Teff	e_Teff	logg	e_logg	Mass	E_Mass	e_Mass	Rad	E_Rad	e_Rad	tau	E_tau	e_tau	logMdot	E_logMdot	e_logMdot	vmacro	vsini	IACOB	GOSSS	Nvar	SimbadName	_RA	_DE
1	HD 207538     	 	O9.7 	IV           	 3.61	 0.05	32.00	 0.50	 3.80	 0.04	20.60	 0.16	 0.57	 9.53	 0.43	 0.56	 0.68	 0.02	 0.03	-7.06	 0.12	 0.09	 29.0	 50.0	  2	  1	  2	HD 207538        	326.91579	+59.70037
1	BD +60 2522   	 	O6.5 	... (n)fp    	 4.07	 0.15	36.20	 1.10	 3.55	 0.14	35.40	 0.96	 9.46	15.46	 0.41	 2.20	 0.70	 0.12	 0.06	-5.63	 0.15	 0.28	247.0	     	  1	  1	  2	BD +60 2522      	350.18547	+61.19459
1	HD 225160     	 	O8   	Iab f        	 4.12	 0.15	33.20	 1.20	 3.35	 0.14	36.80	 4.71	 5.91	20.18	 0.74	 3.90	 0.75	 0.04	 0.04	-5.62	 0.29	 0.37	 77.0	103.0	  2	  1	  2	HD 225160        	001.01581	+62.22195
1	BD +60 261    	 	O7.5 	III (n)((f)) 	 4.07	 0.06	35.00	 0.50	 3.50	 0.06	43.00	 0.34	 6.28	18.58	 0.31	 1.76	 0.71	 0.03	 0.03	-5.63	 0.14	 0.14	162.0	 92.0	  2	  1	  1	BD +60 261       	023.13634	+61.12940
1	HD 13022      	 	O9.7 	II-III       	 4.06	 0.05	30.00	 0.50	 3.24	 0.04	37.80	 0.91	 3.11	23.86	 0.67	 1.26	 0.82	 0.01	 0.02	-5.88	 0.12	 0.12	 98.0	131.0	  2	  1	  1	HD 13022         	032.37530	+58.78376
1	HD 12993      	 	O6.5 	V ((f)) Nstr 	 3.87	 0.07	39.20	 0.60	 3.89	 0.07	35.60	 0.80	 2.60	10.93	 0.09	 0.92	 0.51	 0.04	 0.05	-6.09	 0.17	 0.12	 84.0	 79.0	  2	  1	  1	HD 12993         	032.26031	+57.93221
1	HD 13268      	 	ON8.5	III n        	 3.92	 0.05	34.20	 0.50	 3.61	 0.04	32.60	 0.19	 3.64	14.45	 0.71	 1.17	 0.72	 0.08	 0.02	-6.04	 0.09	 0.09	290.0	     	  2	  1	  1	HD 13268         	032.87375	+56.15881
1	HD 14442      	 	O5   	... n(f)p    	 4.14	 0.14	39.10	 1.30	 3.62	 0.13	35.00	 0.15	 9.27	12.58	 0.50	 1.69	 0.69	 0.17	 0.08	-5.63	 0.13	 0.33	324.0	     	  1	  1	  1	HD 14442         	035.54459	+59.54969
1	BD +62 424    	 	O6.5 	V (n)((f))   	 3.94	 0.10	38.70	 0.70	 3.80	 0.10	36.80	 0.26	 3.68	12.53	 0.56	 1.85	 0.57	 0.04	 0.05	-5.92	 0.19	 0.22	 60.0	 65.0	  2	  1	  2	BD +62 424       	039.07592	+62.94815
1	HD 13745      	 	O9.7 	II (n)       	 4.01	 0.06	30.00	 0.50	 3.29	 0.05	33.40	 0.46	 2.77	21.31	 0.98	 1.85	 0.83	 0.02	 0.02	-6.03	 0.16	 0.10	197.0	 57.0	  2	  1	  1	HD 13745         	033.94140	+55.99631
1	BD +60 498    	 	O9.7 	II-III       	 3.46	 0.15	32.80	 0.90	 3.99	 0.15	19.20	 0.32	 1.26	 7.06	 0.79	 0.67	 0.48	 0.09	 0.12	-7.83	 0.23	 0.19	114.0	 40.0	  1	  1	  1	BD +60 498       	038.04523	+61.55221
1	BD +60 499    	 	O9.5 	V            	 3.66	 0.13	34.20	 0.80	 3.87	 0.12	22.40	 0.57	 1.59	 8.76	 0.32	 1.22	 0.61	 0.06	 0.10	-6.91	 0.28	 0.22	 17.0	 38.0	  1	  1	  1	BD +60 499       	038.06980	+61.55417
1	BD +60 501    	 	O7   	V (n)((f))z  	 3.81	 0.12	37.90	 0.80	 3.89	 0.11	30.80	 0.78	 3.37	 9.97	 0.39	 1.38	 0.53	 0.08	 0.10	-6.31	 0.26	 0.21	182.0	 87.0	  1	  1	  1	BD +60 501       	038.15116	+61.47377
1	HD 14947      	 	O4.5 	I f          	 4.11	 0.11	39.10	 1.10	 3.65	 0.10	48.20	 2.49	 9.00	16.51	 0.23	 2.59	 0.59	 0.05	 0.05	-5.40	 0.19	 0.28	114.0	 22.0	  2	  1	  1	HD 14947         	036.69579	+58.87587
1	HD 15642      	 	O9.5 	II-III n     	 3.77	 0.06	29.90	 0.80	 3.52	 0.04	23.40	 0.82	 1.74	13.63	 0.05	 0.75	 0.81	 0.02	 0.02	-6.54	 0.12	 0.16	286.0	     	  2	  1	  1	HD 15642         	038.23493	+55.32752
1	HD 18409      	 	O9.7 	Ib           	 4.15	 0.05	30.00	 0.50	 3.15	 0.04	46.20	 0.74	 6.45	29.55	 0.12	 2.93	 0.79	 0.03	 0.04	-5.62	 0.15	 0.14	131.0	102.0	  2	  1	  2	HD 18409         	045.12380	+62.72196
1	HD 16832      	 	O9.2 	III          	 4.04	 0.06	32.00	 0.50	 3.37	 0.05	38.00	 0.04	 3.41	21.04	 0.95	 1.92	 0.78	 0.02	 0.01	-5.87	 0.15	 0.12	 45.0	 70.0	  2	  1	  1	HD 16832         	041.05298	+56.65757
1	HD 24431      	 	O9   	III          	 3.79	 0.06	34.90	 0.50	 3.77	 0.05	27.60	 0.80	 1.52	11.26	 0.78	 0.80	 0.66	 0.02	 0.03	-6.43	 0.13	 0.12	 49.0	 81.0	  2	  1	  1	HD 24431         	058.91009	+52.64132
1	HD 46573      	 	O7   	V ((f))z     	 3.93	 0.11	36.80	 0.80	 3.72	 0.10	33.80	 0.23	 3.63	13.04	 0.82	 1.94	 0.63	 0.04	 0.03	-6.07	 0.28	 0.17	 77.0	 81.0	  2	  1	  2	HD 46573         	098.59821	+02.53415
1	HD 54879      	 	O9.7 	V            	 3.40	 0.11	33.50	 0.50	 4.09	 0.11	19.20	 0.77	 0.95	 6.17	 0.81	 0.47	 0.35	 0.11	 0.15	-7.56	 0.22	 0.15	  8.0	  8.0	  2	  1	  2	HD 54879         	107.53395	-11.80273
1	BD +39 1328   	 	O8.5 	Iab (n)(f)   	 4.03	 0.10	32.80	 0.60	 3.42	 0.09	39.20	 0.75	 5.76	19.25	 0.67	 2.99	 0.76	 0.02	 0.02	-5.84	 0.18	 0.24	 90.0	 37.0	  1	  1	  1	BD +39 1328      	083.05771	+40.06608
1	HD 36483      	 	O9.5 	IV (n)       	 3.62	 0.12	33.40	 0.80	 3.86	 0.11	21.60	 0.19	 1.45	 8.65	 0.24	 1.05	 0.59	 0.08	 0.08	-6.97	 0.26	 0.21	158.0	 74.0	  2	  1	  1	HD 36483         	083.42147	+36.45971
2	HDE 344783    	 	O9.7 	III          	 3.67	 0.04	29.60	 1.00	 3.62	 0.07	21.20	 0.76	 1.19	11.88	 0.03	 1.13	 0.79	 0.04	 0.05	-6.93	 0.15	 0.14	     	     	  0	  1	  2	HDE 344783       	295.77828	+23.27011
2	Cyg X-1       	 	O9.7 	Iab          	 4.09	 0.04	27.70	 1.00	 3.08	 0.06	39.60	 0.08	 3.59	31.01	 0.50	 3.33	 0.84	 0.04	 0.02	-5.83	 0.29	 0.08	     	     	  0	  1	  2	Cyg X-1          	299.59032	+35.20161
2	HD 191612     	 	O8   	             	 3.89	 0.07	36.00	 2.00	 3.75	 0.20	33.20	 0.49	 3.43	12.38	 0.10	 1.47	 0.66	 0.08	 0.09	-6.05	 0.17	 0.19	     	 45.0	  1	  1	  5	HD 191612        	302.36921	+35.73369
2	BD +36 4063   	 	O9.7 	Ib           	 4.04	 0.03	28.10	 1.00	 3.13	 0.09	35.40	 0.42	 2.70	26.65	 0.34	 2.83	 0.86	 0.02	 0.03	-6.07	 0.25	 0.07	     	     	  0	  1	  3	BD +36 4063      	306.41918	+37.37418
1	HD 229232     	 	O4   	V: n((f))    	 4.11	 0.13	42.90	 2.20	 3.81	 0.09	36.40	 0.04	 9.43	11.23	 0.67	 1.24	 0.60	 0.18	 0.10	-5.72	 0.20	 0.21	313.0	     	  1	  1	  2	HD 229232        	305.99661	+39.10425
2	HDE 229196    	 	O6   	II           	 4.18	 0.03	38.30	 1.00	 3.55	 0.05	64.80	 0.36	 6.28	22.54	 0.68	 1.93	 0.59	 0.08	 0.05	-5.15	 0.11	 0.09	     	     	  0	  1	  1	HDE 229196       	305.79493	+40.87496
2	Cyg OB2-5     	A	O7   	Ia           	 4.14	 0.04	35.70	 1.00	 3.44	 0.07	54.60	 0.83	 4.53	22.74	 0.09	 1.67	 0.68	 0.05	 0.05	-5.32	 0.10	 0.09	     	     	  0	  1	  3	[MM53] Cyg OB2 5 	308.09343	+41.30526
2	Cyg OB2-24    	 	O8   	V            	 3.73	 0.04	37.20	 1.00	 3.95	 0.07	29.00	 0.56	 1.58	 9.36	 0.81	 0.72	 0.50	 0.10	 0.10	-6.43	 0.11	 0.11	     	     	  0	  1	  2	[MM53] Cyg OB2 24	308.32284	+41.28593
1	CYG OB2-11    	 	O5.5 	I fc         	 4.05	 0.16	37.30	 1.50	 3.63	 0.14	37.00	 1.66	 6.32	14.44	 0.86	 2.71	 0.64	 0.05	 0.06	-5.82	 0.40	 0.27	 75.0	 85.0	  1	  1	  3	[MM53] Cyg OB2 11	308.53548	+41.61650
1	HD 203064     	 	O7.5 	III n((f))   	 3.89	 0.04	35.30	 0.50	 3.69	 0.03	32.00	 0.62	 3.32	13.07	 0.69	 0.83	 0.69	 0.09	 0.03	-6.07	 0.08	 0.08	312.0	     	  2	  1	  4	HD 203064        	319.61328	+43.94594
2	HD 108        	 	O8   	             	 4.04	 0.07	35.00	 2.00	 3.50	 0.20	41.20	 0.40	 5.57	18.02	 0.98	 2.34	 0.71	 0.06	 0.06	-5.63	 0.15	 0.20	     	 45.0	  1	  1	  4	HD 108           	001.51412	+63.67966
1	BD +60 586    	 	O7   	V z          	 3.63	 0.13	38.40	 0.70	 4.10	 0.13	27.40	 0.10	 1.78	 7.34	 0.07	 0.64	 0.24	 0.15	 0.12	-6.76	 0.21	 0.20	 38.0	 77.0	  2	  1	  2	BD +60 586       	043.54447	+60.65097
2	HD 15137      	 	O9.5 	II-III       	 3.48	 0.33	29.70	 1.70	 3.50	 0.25	16.00	 0.64	 2.50	 7.84	 0.36	 2.54	 0.80	 0.07	 0.21	-7.59	 0.07	 0.40	258.0	     	  1	  1	  1	HD 15137         	036.99921	+52.54933
1	HD 16691      	 	O4   	I f          	 4.05	 0.12	39.70	 1.50	 3.74	 0.14	42.40	 0.94	 7.54	14.11	 0.74	 2.32	 0.58	 0.08	 0.10	-5.61	 0.27	 0.25	158.0	 88.0	  1	  1	  1	HD 16691         	040.71677	+56.90457
1	HD 17603      	 	O7.5 	Ib (f)       	 4.22	 0.09	33.30	 0.80	 3.26	 0.08	55.20	 5.16	 9.95	27.53	 0.40	 3.70	 0.69	 0.07	 0.03	-5.31	 0.27	 0.15	103.0	108.0	  2	  1	  1	HD 17603         	042.94916	+57.04846
1	HD 14633      	 	ON8.5	V            	 3.78	 0.08	35.00	 0.50	 3.79	 0.08	27.40	 0.04	 2.16	10.75	 0.12	 1.06	 0.64	 0.03	 0.05	-6.44	 0.16	 0.17	121.0	 69.0	  2	  1	  1	HD 14633         	035.72622	+41.47992
1	HD 237211     	 	O9   	Ib           	 4.25	 0.08	30.70	 0.60	 3.09	 0.07	60.40	 3.57	 9.83	35.52	 0.87	 4.28	 0.71	 0.06	 0.02	-5.35	 0.24	 0.08	 51.0	 82.0	  1	  1	  1	HD 237211        	060.81520	+56.54024
2	HDE 305524    	 	O6.5 	V            	 3.89	 0.04	40.40	 1.00	 3.92	 0.07	39.20	 0.63	 2.44	11.33	 0.84	 0.92	 0.48	 0.09	 0.10	-5.93	 0.11	 0.10	     	     	  0	  1	  4	HDE 305524       	161.18851	-59.91153
2	HDE 305438    	 	O8   	V            	 3.73	 0.04	37.20	 1.00	 3.95	 0.07	29.00	 0.56	 1.58	 9.36	 0.81	 0.72	 0.50	 0.10	 0.10	-6.43	 0.11	 0.11	     	     	  0	  1	  4	HDE 305438       	160.68236	-59.90457
2	HD 93190      	 	O9.7 	V            	 3.43	 0.05	30.80	 1.00	 3.92	 0.07	18.00	 0.76	 0.87	 7.74	 0.67	 0.74	 0.59	 0.09	 0.10	-7.46	 0.13	 0.12	     	     	  0	  1	  5	HD 93190         	161.08171	-59.28300
2	HD 91837      	 	O8.5 	V            	 3.67	 0.05	36.20	 1.00	 3.96	 0.07	26.40	 0.35	 1.56	 8.85	 0.74	 0.75	 0.50	 0.11	 0.11	-6.63	 0.12	 0.10	     	     	  0	  1	  5	HD 91837         	158.70628	-60.18723
2	HD 92607      	 	O9   	IV           	 3.70	 0.04	34.40	 1.00	 3.84	 0.08	24.80	 0.41	 1.17	 9.89	 0.75	 0.90	 0.62	 0.08	 0.08	-6.63	 0.13	 0.11	     	     	  0	  1	  1	HD 92607         	160.05177	-59.80281
1	HD 36512      	 	O9.7 	V            	 3.44	 0.09	33.00	 0.50	 4.02	 0.09	19.00	 0.84	 0.84	 6.86	 0.65	 0.61	 0.46	 0.06	 0.13	-7.46	 0.20	 0.15	 13.0	 33.0	  2	  1	  2	HD 36512         	082.98275	-07.30154
2	BN Gem        	 	O8   	V            	 3.73	 0.04	37.20	 1.00	 3.95	 0.07	29.00	 0.56	 1.58	 9.36	 0.81	 0.72	 0.50	 0.10	 0.10	-6.43	 0.11	 0.11	     	     	  0	  1	  2	BN Gem           	114.27389	+16.90425
2	HD 69106      	 	O9.7 	II           	 3.93	 0.03	28.60	 1.00	 3.30	 0.06	29.20	 0.67	 1.83	20.16	 0.86	 1.93	 0.86	 0.02	 0.03	-6.30	 0.13	 0.13	     	     	  0	  1	  2	HD 69106         	123.51583	-36.95220
1	HD 37737      	 	O9.5 	II-III (n)   	 3.80	 0.04	30.00	 0.50	 3.50	 0.03	24.40	 0.61	 1.01	14.39	 0.91	 0.55	 0.81	 0.01	 0.02	-6.53	 0.10	 0.11	201.0	     	  1	  1	  1	HD 37737         	085.62983	+36.20014
2	HD 39680      	 	O6   	V            	 3.95	 0.04	41.50	 1.00	 3.91	 0.08	44.40	 0.93	 3.47	11.86	 0.05	 0.79	 0.46	 0.09	 0.11	-5.78	 0.12	 0.10	     	     	  0	  1	  3	HD 39680         	088.68638	+13.85474
2	SS 215        	 	O2   	Ia           	 4.08	 0.04	49.10	 1.00	 4.06	 0.04	81.20	 0.80	 6.79	13.77	 0.74	 0.72	 0.11	 0.13	 0.11	-5.22	 0.08	 0.09	     	     	  0	  1	  2	SS 215           	155.84788	-58.00579
2	{theta}^1^ Ori	 	O7   	V            	 3.84	 0.04	39.40	 1.00	 3.03	 0.07	35.20	 0.08	 1.70	10.58	 0.81	 0.86	 0.49	 0.08	 0.10	-6.09	 0.10	 0.11	     	     	  1	  1	  2	* tet01 Ori C    	083.81861	-05.38970
2	{theta}^2^ Ori	 	O9.5 	IV           	 3.51	 0.04	31.70	 1.00	 3.90	 0.08	19.40	 0.94	 0.84	 8.14	 0.75	 0.70	 0.60	 0.09	 0.09	-7.22	 0.12	 0.14	     	     	  1	  1	  2	* tet02 Ori      	083.84542	-05.41606
1	ALS 8294      	 	O7   	V (n)z       	 3.90	 0.22	41.70	 1.90	 3.97	 0.21	36.20	 0.63	 6.16	 9.11	 0.45	 1.50	 0.41	 0.11	 0.20	-6.13	 0.38	 0.35	 50.0	 87.0	  1	  0	  4	ALS 8294         	080.66535	+33.37174
1	HDE 227245    	 	O7   	V ((f))z     	 3.91	 0.08	38.00	 0.70	 3.80	 0.07	35.20	 0.83	 2.82	12.18	 0.33	 1.19	 0.59	 0.03	 0.04	-6.05	 0.20	 0.12	 47.0	 71.0	  1	  0	  3	HDE 227245       	300.59049	+35.67495
1	HDE 344777    	 	O7.5 	V z          	 3.99	 0.13	35.80	 0.80	 3.62	 0.12	35.00	 0.78	 5.07	14.31	 0.07	 2.66	 0.67	 0.04	 0.02	-5.90	 0.23	 0.31	 47.0	103.0	  1	  0	  3	HDE 344777       	295.54779	+23.43348
1	BD +33 1025   	 	O7.5 	V (n)z       	 3.72	 0.15	38.40	 1.00	 4.01	 0.09	29.60	 0.61	 2.65	 8.44	 0.06	 0.81	 0.41	 0.09	 0.13	-6.49	 0.20	 0.19	178.0	 10.0	  1	  1	  4	BD +33 1025      	080.68333	+33.44074
1	HD 326331     	 	O8   	IV n((f))    	 3.82	 0.05	34.90	 0.50	 3.74	 0.04	28.80	 0.77	 2.97	11.70	 0.68	 0.81	 0.67	 0.07	 0.04	-6.23	 0.08	 0.11	332.0	     	  1	  1	  1	HD 326331        	253.60820	-41.83216
1	HD 102415     	 	ON9  	IV: nn       	 3.55	 0.12	33.10	 1.10	 3.92	 0.10	20.80	 0.49	 1.74	 7.79	 0.07	 0.79	 0.56	 0.10	 0.12	-7.05	 0.24	 0.23	366.0	     	  1	  1	  1	HD 102415        	176.72668	-61.46305
1	HD 201345     	 	ON9.2	IV           	 3.72	 0.07	33.80	 0.70	 3.79	 0.06	25.00	 0.22	 2.02	10.20	 0.96	 0.66	 0.66	 0.03	 0.04	-6.64	 0.13	 0.17	 79.0	 89.0	  2	  1	  1	HD 201345        	316.98090	+33.39701
1	HD 209339     	 	O9.7 	IV           	 3.61	 0.05	32.10	 0.50	 3.81	 0.04	20.60	 0.32	 0.46	 9.45	 0.45	 0.54	 0.67	 0.02	 0.03	-7.03	 0.12	 0.10	 84.0	 78.0	  1	  1	  2	HD 209339        	330.16360	+62.48780
1	CYG OB2-9     	 	O4.5 	I f          	 3.88	 0.11	40.10	 1.00	 3.92	 0.10	36.00	 0.98	 3.49	10.45	 0.55	 1.27	 0.50	 0.05	 0.11	-6.07	 0.23	 0.20	112.0	 82.0	  1	  1	  2	[MM53] Cyg OB2 9 	308.29473	+41.25228
1	CPD -26 2716  	 	O6.5 	Iab f        	 4.11	 0.06	36.00	 0.50	 3.51	 0.06	47.80	 0.42	 6.61	19.55	 0.65	 2.08	 0.68	 0.03	 0.03	-5.49	 0.16	 0.13	139.0	138.0	  1	  1	  1	CPD -26 2716     	118.25421	-27.11605
1	HD 193514     	 	O7   	Ib (f)       	 4.03	 0.05	35.90	 0.50	 3.58	 0.04	39.40	 0.10	 3.13	16.76	 0.20	 1.27	 0.77	 0.01	 0.02	-6.02	 0.12	 0.11	 73.0	 84.0	  2	  1	  2	HD 193514        	304.78540	+39.27340
1	HD 69464      	 	O7   	Ib (f)       	 4.23	 0.09	35.80	 1.00	 3.38	 0.08	59.20	 7.34	 8.17	25.34	 0.68	 2.98	 0.64	 0.06	 0.04	-5.08	 0.11	 0.26	 73.0	105.0	  1	  1	  4	HD 69464         	123.95235	-35.63135
1	HD 94963      	 	O7   	II (f)       	 4.09	 0.07	36.30	 0.60	 3.54	 0.06	40.64	 0.69	 5.53	18.70	 0.53	 1.89	 0.67	 0.02	 0.03	-5.57	 0.21	 0.11	 76.0	 92.0	  1	  1	  2	HD 94963         	164.14911	-61.70897
1	HD 192639     	 	O7.5 	Iab f        	 4.12	 0.12	34.70	 0.70	 3.43	 0.11	44.20	 0.19	 9.29	19.71	 0.71	 3.10	 0.71	 0.03	 0.04	-5.56	 0.26	 0.26	 82.0	 95.0	  2	  1	  3	HD 192639        	303.62678	+37.35384
1	HD 191423     	 	ON9  	II-III nn    	 3.72	 0.07	32.30	 0.80	 3.71	 0.06	21.20	 0.03	 1.67	10.36	 0.66	 0.66	 0.81	 0.03	 0.06	-6.60	 0.09	 0.13	432.0	     	  2	  1	  3	HD 191423        	302.02964	+42.60610
1	HD 71304      	 	O9   	II           	 4.11	 0.05	32.00	 0.50	 3.30	 0.04	45.00	 0.43	 4.17	24.64	 0.21	 1.88	 0.77	 0.02	 0.03	-5.62	 0.12	 0.14	 52.0	100.0	  1	  1	  1	HD 71304         	126.23245	-44.30084
1	HD 202124     	 	O9   	Iab          	 4.14	 0.07	31.10	 0.50	 3.22	 0.06	46.60	 0.82	 7.24	26.55	 0.05	 2.66	 0.78	 0.02	 0.04	-5.62	 0.21	 0.13	 88.0	114.0	  2	  1	  2	HD 202124        	318.11829	+44.53170
1	HD 152249     	 	OC9  	Iab          	 4.15	 0.05	31.10	 0.50	 3.21	 0.04	49.20	 0.41	 5.99	28.56	 0.65	 2.68	 0.77	 0.03	 0.03	-5.57	 0.17	 0.09	 71.0	 70.0	  1	  1	  1	HD 152249        	253.54850	-41.84925
1	HD 28446      	 	O9.7 	II n         	 3.64	 0.06	29.80	 0.50	 3.65	 0.05	21.00	 0.52	 1.54	11.09	 0.73	 0.71	 0.75	 0.03	 0.02	-6.93	 0.13	 0.15	299.0	     	  1	  1	  2	HD 28446         	068.00768	+53.91085
1	HD 75222      	 	O9.7 	Iab          	 4.09	 0.06	30.20	 0.50	 3.22	 0.05	40.20	 0.66	 4.33	25.91	 0.39	 2.63	 0.80	 0.03	 0.02	-5.77	 0.13	 0.16	 86.0	 65.0	  1	  1	  1	HD 75222         	131.85474	-36.75074
1	HD 195592     	 	O9.7 	Ia           	 4.27	 0.05	28.00	 0.50	 2.91	 0.04	69.40	 0.75	14.49	47.46	 0.13	 5.57	 0.75	 0.04	 0.02	-5.02	 0.13	 0.15	 38.0	100.0	  2	  1	  1	HD 195592        	307.64570	+44.31524
1	HD 191781     	 	ON9.7	Iab          	 3.83	 0.15	28.70	 2.00	 3.39	 0.15	24.20	 0.04	 3.75	15.61	 0.60	 1.70	 0.85	 0.03	 0.03	-6.60	 0.28	 0.31	105.0	 48.0	  1	  1	  3	HD 191781        	302.46076	+45.40291
1	HD 97253      	 	O5   	III (f)      	 4.16	 0.05	39.10	 0.50	 3.60	 0.04	63.80	 0.87	 8.85	20.20	 0.60	 1.58	 0.57	 0.03	 0.04	-5.24	 0.14	 0.11	 70.0	105.0	  1	  1	  3	HD 97253         	167.67519	-60.38448
1	HDE 338 931   	 	O6   	III (f)      	 3.95	 0.09	38.10	 0.60	 3.76	 0.09	36.40	 0.02	 4.23	12.91	 0.71	 1.56	 0.60	 0.04	 0.05	-5.87	 0.18	 0.19	170.0	  9.0	  1	  0	  2	HDE 338931       	296.76142	+24.84876
1	HD 190864     	 	O6.5 	III (f)      	 4.05	 0.09	37.50	 0.90	 3.64	 0.08	42.60	 0.89	 5.65	15.99	 0.43	 1.99	 0.64	 0.03	 0.03	-5.59	 0.14	 0.27	 66.0	 90.0	  2	  1	  3	HD 190864        	301.41584	+35.60778
1	HD 42088      	 	O6   	V ((f))z     	 3.81	 0.05	40.00	 0.50	 3.99	 0.04	34.60	 0.79	 1.53	 9.84	 0.49	 0.57	 0.40	 0.04	 0.05	-6.22	 0.10	 0.09	 49.0	 76.0	  2	  1	  2	HD 42088         	092.41489	+20.48763
