#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-09-25T18:05:36 [V7.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-09-25T18:05:36	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-source=J/ApJS/275/2/table2&-out.max=unlimited&-out.all=2	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_22750002
#Name: J/ApJS/275/2
#Title: Galactic O-type stars with IACOB, GOSSS and TESS (Shen+, 2024)
#INFO	ivoid=ivo://cds.vizier/j/apjs/275/2	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/apjs/275/2	    IVOID of underlying data collection
#INFO	creator=Shen D.-X.	    First author or institution
#INFO	cites=bibcode:2024ApJS..275....2S	    Article or Data origin sources
#INFO	journal=ApJS	    Journal name
#INFO	original_date=2024	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/ApJS/275/2	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier/bb-8k-2	    Dataset identifier that can be used for citation
#INFO	publication_date=2026-08-03	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_ApJS_275_2_table2:
#Name: J/ApJS/275/2/table2
#Title: Results of stochastic low-frequency (SLF) variability for stars of our sample
#Column	Name	(a14)	Star Name as in Table 1	[ucd=meta.id;meta.main]
#Column	m_Name	(A4)	[AabB ] Star name component	[ucd=meta.code.multip]
#Column	OName	(a11)	Other name (column added by CDS)	[ucd=meta.id]
#Column	Sec	(I2)	[5/65] TESS sector	[ucd=meta.id;obs]
#Column	alpha0	(F8.2)	[36.7/19698] Scaling factor {alpha}_0_, amplitude at zero frequency	[ucd=arith.factor;src.var.amplitude]
#Column	E_alpha0	(F7.2)	[2/5492] Upper Uncertainty in alpha0	[ucd=stat.error;stat.max;src.var.amplitude]
#Column	e_alpha0	(F7.2)	[1.9/3905] Lower Uncertainty in alpha0	[ucd=stat.error;stat.min;src.var.amplitude]
#Column	nu-char	(F5.2)	[0.1/15.7] Characteristic frequency, {nu}_{char}_	[ucd=em.freq;src.var]
#Column	E_nu-char	(F5.2)	[0.02/1.7] Upper Uncertainty in nu-char	[ucd=stat.error;stat.max;em.freq]
#Column	e_nu-char	(F5.2)	[0.02/1.7] Lower Uncertainty in nu-char	[ucd=stat.error;stat.min;em.freq]
#Column	gamma	(F5.2)	[0.6/3] Logarithmic amplitude gradient	[ucd=arith.grad;src.var.amplitude]
#Column	E_gamma	(F5.2)	[0.01/0.2] Upper Uncertainty in gamma	[ucd=stat.error;stat.max;arith.grad]
#Column	e_gamma	(F5.2)	[0.01/0.2] Lower Uncertainty in gamma	[ucd=stat.error;stat.min;arith.grad]
#Column	Cw	(F5.2)	[0.69/33] White noise term	[ucd=instr.det.noise]
#Column	E_Cw	(F5.2)	[0/0.3] Upper Uncertainty in Cw	[ucd=stat.error;stat.max;instr.det.noise]
#Column	e_Cw	(F5.2)	[0/0.3] Lower Uncertainty in Cw	[ucd=stat.error;stat.min;instr.det.noise]
Name	m_Name	OName	Sec	alpha0	E_alpha0	e_alpha0	nu-char	E_nu-char	e_nu-char	gamma	E_gamma	e_gamma	Cw	E_Cw	e_Cw
HD 54879      	    	           	 7	   55.68	   8.84	   6.89	 0.64	 0.10	 0.10	 1.99	 0.15	 0.13	 5.40	 0.02	 0.02
HD 54879      	    	           	33	  100.77	  17.00	  13.19	 0.42	 0.07	 0.06	 2.04	 0.14	 0.12	 4.81	 0.02	 0.02
BD +39 1328   	    	           	59	 5915.69	 843.66	 677.97	 0.36	 0.04	 0.04	 1.47	 0.02	 0.02	10.20	 0.08	 0.09
HD 36483      	    	           	59	  169.54	  10.89	   9.83	 2.56	 0.17	 0.17	 1.86	 0.04	 0.04	 5.23	 0.03	 0.03
HDE 344783    	    	           	41	  257.79	  55.76	  40.93	 0.27	 0.06	 0.06	 1.29	 0.05	 0.05	10.81	 0.04	 0.04
HDE 344783    	    	           	54	  117.48	  36.90	  23.82	 0.24	 0.11	 0.09	 1.01	 0.06	 0.06	12.24	 0.06	 0.06
Cyg X-1       	    	           	54	 6744.16	1190.69	 945.96	 0.21	 0.03	 0.03	 1.34	 0.01	 0.01	 6.38	 0.04	 0.04
Cyg X-1       	    	           	55	 4239.30	 491.84	 419.77	 0.49	 0.04	 0.04	 1.72	 0.02	 0.02	 5.17	 0.02	 0.02
HD 191612     	    	           	14	  342.13	  26.50	  22.99	 1.61	 0.12	 0.12	 1.65	 0.03	 0.03	 6.35	 0.03	 0.03
HD 191612     	    	           	15	  184.89	  10.50	   9.70	 3.03	 0.17	 0.17	 2.00	 0.04	 0.04	 6.00	 0.02	 0.02
HD 191612     	    	           	41	  219.03	  12.13	  11.36	 2.90	 0.15	 0.15	 2.09	 0.04	 0.04	 4.94	 0.02	 0.02
HD 191612     	    	           	54	  285.93	  18.04	  16.34	 2.33	 0.14	 0.14	 2.09	 0.05	 0.05	 8.05	 0.03	 0.03
HD 191612     	    	           	55	  247.73	  14.59	  13.43	 2.47	 0.13	 0.13	 2.00	 0.04	 0.04	 4.61	 0.02	 0.02
BD +36 4063   	    	           	15	10709.19	2165.56	1705.79	 0.18	 0.03	 0.03	 1.21	 0.01	 0.01	26.00	 0.17	 0.16
BD +36 4063   	    	           	41	 6385.20	 733.28	 613.21	 0.53	 0.04	 0.04	 1.71	 0.02	 0.02	 8.35	 0.04	 0.04
BD +36 4063   	    	           	55	15643.36	3540.27	2550.83	 0.15	 0.03	 0.03	 1.27	 0.01	 0.01	 7.00	 0.06	 0.06
HD 229232     	    	HDE 229232 	41	  248.98	   8.86	   8.72	 6.09	 0.19	 0.19	 2.46	 0.04	 0.04	 7.20	 0.03	 0.03
HD 229232     	    	HDE 229232 	55	  230.04	   8.18	   7.68	 6.36	 0.19	 0.19	 2.61	 0.05	 0.04	 7.26	 0.03	 0.03
HDE 229196    	    	           	41	  440.54	  23.01	  21.41	 2.71	 0.12	 0.11	 2.02	 0.03	 0.02	 4.33	 0.02	 0.02
Cyg OB2-5     	A   	           	15	 6280.72	1339.04	1007.95	 0.17	 0.03	 0.03	 1.32	 0.02	 0.02	10.79	 0.06	 0.06
Cyg OB2-5     	A   	           	41	 5858.33	1002.33	 791.50	 0.25	 0.03	 0.03	 1.35	 0.01	 0.01	 5.46	 0.04	 0.04
Cyg OB2-5     	A   	           	55	 5054.30	 792.49	 632.66	 0.29	 0.03	 0.03	 1.62	 0.02	 0.02	 5.10	 0.02	 0.02
Cyg OB2-24    	    	           	41	  343.23	  16.89	  15.77	 3.07	 0.11	 0.12	 2.83	 0.07	 0.07	 8.15	 0.03	 0.03
Cyg OB2-24    	    	           	55	  375.79	  18.17	  17.05	 3.03	 0.11	 0.11	 2.69	 0.05	 0.05	 5.72	 0.02	 0.02
CYG OB2-11    	    	           	41	 1504.30	  96.86	  89.14	 1.56	 0.07	 0.07	 2.35	 0.03	 0.03	 6.28	 0.02	 0.02
CYG OB2-11    	    	           	55	 1257.36	  73.63	  67.81	 1.87	 0.07	 0.07	 2.42	 0.03	 0.03	 6.43	 0.02	 0.02
CYG OB2-11    	    	           	56	 1880.35	 134.27	 118.05	 1.33	 0.07	 0.07	 2.02	 0.02	 0.02	 6.61	 0.03	 0.03
HD 203064     	    	68 Cyg     	15	  921.08	  62.07	  56.41	 1.65	 0.10	 0.10	 1.70	 0.02	 0.02	 6.91	 0.04	 0.04
HD 203064     	    	68 Cyg     	16	  592.01	  28.44	  26.01	 3.36	 0.12	 0.12	 2.37	 0.03	 0.03	 5.07	 0.02	 0.02
HD 203064     	    	68 Cyg     	55	  497.24	  32.76	  30.30	 1.70	 0.10	 0.10	 1.77	 0.02	 0.02	 3.93	 0.02	 0.02
HD 203064     	    	68 Cyg     	56	  202.93	   9.50	   8.96	 3.16	 0.12	 0.11	 2.57	 0.05	 0.04	 3.28	 0.01	 0.01
HD 108        	    	           	17	  309.83	  27.14	  23.60	 1.21	 0.10	 0.10	 1.70	 0.04	 0.03	 5.23	 0.02	 0.02
HD 108        	    	           	18	  890.19	  96.43	  81.72	 0.74	 0.07	 0.07	 1.56	 0.03	 0.03	 6.74	 0.03	 0.03
HD 108        	    	           	57	  422.00	  36.88	  32.12	 1.03	 0.09	 0.09	 1.52	 0.03	 0.03	 4.39	 0.03	 0.03
HD 108        	    	           	58	  324.28	  26.49	  23.53	 1.22	 0.09	 0.08	 1.88	 0.04	 0.04	 3.63	 0.02	 0.02
BD +60 586    	A   	           	58	  255.43	  50.59	  38.47	 0.28	 0.06	 0.05	 1.34	 0.04	 0.04	 5.43	 0.03	 0.03
BD +60 586    	A   	           	59	  434.23	 106.25	  75.55	 0.20	 0.05	 0.04	 1.33	 0.04	 0.04	 5.83	 0.03	 0.03
HD 15137      	    	           	58	  989.99	  53.80	  49.85	 2.37	 0.10	 0.10	 2.17	 0.03	 0.03	 6.39	 0.04	 0.04
HD 16691      	    	           	58	 1265.77	  67.28	  61.52	 2.34	 0.09	 0.09	 2.38	 0.03	 0.03	 6.96	 0.04	 0.04
HD 17603      	    	           	58	 2986.24	 257.00	 228.07	 0.88	 0.05	 0.05	 1.90	 0.02	 0.02	 7.55	 0.04	 0.04
HD 14633      	    	           	58	  189.27	   8.62	   8.19	 4.19	 0.18	 0.18	 2.07	 0.04	 0.04	 5.00	 0.03	 0.03
HD 237211     	    	HDE 237211 	59	 3358.48	 346.76	 300.61	 0.67	 0.05	 0.05	 1.70	 0.02	 0.02	 8.20	 0.05	 0.05
HDE 305524    	    	           	63	  367.80	  29.04	  25.55	 1.86	 0.16	 0.15	 1.68	 0.04	 0.04	13.01	 0.05	 0.05
HDE 305524    	    	           	37	  209.00	  11.50	  10.79	 3.73	 0.21	 0.21	 2.11	 0.06	 0.06	10.70	 0.04	 0.04
HDE 305524    	    	           	64	  305.76	  20.77	  18.84	 2.28	 0.17	 0.17	 1.74	 0.04	 0.04	12.53	 0.05	 0.05
HDE 305524    	    	           	36	  303.70	  20.89	  18.74	 2.51	 0.18	 0.18	 1.93	 0.05	 0.05	12.27	 0.05	 0.05
HDE 305438    	    	           	11	  128.47	  27.22	  20.49	 0.31	 0.07	 0.06	 1.55	 0.11	 0.10	 9.76	 0.03	 0.03
HDE 305438    	    	           	10	  257.39	  92.35	  58.15	 0.14	 0.05	 0.04	 1.34	 0.08	 0.07	10.01	 0.04	 0.04
HDE 305438    	    	           	63	  263.39	  93.13	  58.34	 0.12	 0.04	 0.04	 1.24	 0.06	 0.06	 9.24	 0.04	 0.04
HDE 305438    	    	           	64	  308.83	  60.55	  45.98	 0.29	 0.05	 0.05	 1.65	 0.08	 0.07	 9.47	 0.03	 0.03
HD 93190      	    	           	64	  475.72	  40.51	  35.66	 1.07	 0.08	 0.07	 2.03	 0.04	 0.04	 5.95	 0.02	 0.02
HD 93190      	    	           	36	  639.69	  75.87	  63.95	 0.66	 0.07	 0.07	 1.68	 0.04	 0.04	 6.83	 0.03	 0.03
HD 93190      	    	           	10	  324.11	  31.41	  26.94	 1.07	 0.10	 0.10	 1.80	 0.05	 0.05	 7.25	 0.03	 0.03
HD 93190      	    	           	37	  317.12	  25.32	  22.98	 1.41	 0.10	 0.10	 2.07	 0.05	 0.05	 6.51	 0.02	 0.02
HD 93190      	    	           	63	  464.23	  40.77	  36.47	 1.04	 0.08	 0.08	 1.90	 0.04	 0.04	 5.95	 0.02	 0.02
HD 91837      	    	           	63	  142.19	   6.64	   6.06	 4.71	 0.21	 0.21	 2.35	 0.06	 0.06	 9.24	 0.03	 0.03
HD 91837      	    	           	37	  150.11	   7.23	   6.67	 4.54	 0.20	 0.20	 2.36	 0.06	 0.06	 8.27	 0.03	 0.03
HD 91837      	    	           	36	  151.31	   8.02	   7.32	 3.98	 0.21	 0.21	 2.14	 0.06	 0.06	10.14	 0.04	 0.04
HD 91837      	    	           	10	  146.60	   6.85	   6.49	 4.45	 0.20	 0.20	 2.28	 0.06	 0.06	10.53	 0.04	 0.04
HD 91837      	    	           	64	  148.26	   7.07	   6.54	 4.18	 0.19	 0.19	 2.27	 0.05	 0.05	 8.12	 0.03	 0.03
HD 92607      	    	           	10	  102.12	   6.76	   6.14	 2.78	 0.20	 0.20	 1.88	 0.06	 0.06	 7.81	 0.03	 0.03
HD 36512      	    	upsilon Ori	 6	   70.19	  17.44	  12.45	 0.26	 0.06	 0.06	 1.57	 0.09	 0.09	 2.64	 0.01	 0.01
HD 36512      	    	upsilon Ori	32	   49.22	   7.46	   5.99	 0.49	 0.07	 0.07	 1.63	 0.06	 0.06	 1.71	 0.01	 0.01
BN Gem        	    	           	44	 1859.72	 168.84	 151.02	 0.93	 0.07	 0.07	 1.59	 0.02	 0.01	 4.61	 0.03	 0.03
BN Gem        	    	           	45	 1442.16	 127.94	 113.27	 0.96	 0.08	 0.07	 1.45	 0.01	 0.01	 4.70	 0.03	 0.03
HD 69106      	    	           	61	 1146.45	  53.88	  49.78	 3.60	 0.13	 0.13	 2.60	 0.04	 0.04	 8.75	 0.03	 0.03
HD 69106      	    	           	62	  253.91	  16.82	  14.88	 3.40	 0.25	 0.24	 2.32	 0.11	 0.10	23.64	 0.08	 0.08
HD 37737      	    	           	59	 6643.65	 671.41	 583.21	 0.68	 0.05	 0.05	 1.74	 0.01	 0.01	 6.71	 0.05	 0.05
HD 39680      	    	           	 6	 1278.84	 137.00	 114.67	 0.89	 0.08	 0.08	 1.55	 0.02	 0.02	 8.02	 0.04	 0.04
HD 39680      	    	           	45	  450.42	  34.55	  30.64	 1.47	 0.11	 0.11	 1.50	 0.02	 0.02	 4.59	 0.03	 0.03
HD 39680      	    	           	33	  234.43	  11.07	  10.22	 3.48	 0.12	 0.12	 2.56	 0.05	 0.05	 4.24	 0.01	 0.01
SS 215        	    	           	37	  787.35	  48.38	  44.02	 2.49	 0.13	 0.13	 2.66	 0.09	 0.09	32.86	 0.12	 0.11
SS 215        	    	           	36	  945.45	  66.20	  59.47	 2.00	 0.12	 0.12	 2.44	 0.08	 0.07	32.41	 0.12	 0.12
{theta}^1^ Ori	    	           	 6	  836.89	 161.27	 123.13	 0.26	 0.03	 0.03	 1.58	 0.02	 0.02	 0.69	 0.00	 0.00
{theta}^1^ Ori	    	           	32	  660.59	  65.66	  55.71	 0.80	 0.08	 0.08	 1.24	 0.01	 0.01	 1.30	 0.02	 0.02
{theta}^2^ Ori	    	           	 6	  479.79	 155.15	  98.70	 0.11	 0.03	 0.03	 1.08	 0.01	 0.01	 0.78	 0.01	 0.01
{theta}^2^ Ori	    	           	32	  732.77	  71.47	  61.46	 0.84	 0.08	 0.08	 1.24	 0.01	 0.01	 1.25	 0.02	 0.02
ALS 8294      	    	           	43	   48.26	   3.14	   2.73	15.64	 1.65	 1.63	 1.40	 0.08	 0.08	10.30	 0.14	 0.15
ALS 8294      	    	           	44	  113.23	  11.31	   9.35	 1.84	 0.23	 0.22	 1.46	 0.06	 0.05	11.11	 0.05	 0.05
ALS 8294      	    	           	45	  390.87	  83.03	  62.88	 0.32	 0.10	 0.08	 1.02	 0.03	 0.03	 9.91	 0.07	 0.07
ALS 8294      	    	           	59	 1619.95	 228.48	 186.50	 0.41	 0.05	 0.04	 1.66	 0.03	 0.03	10.34	 0.04	 0.04
HDE 227245    	    	           	41	   95.90	   4.39	   4.08	 5.74	 0.27	 0.28	 2.32	 0.07	 0.07	 8.37	 0.03	 0.03
HDE 227245    	    	           	54	  169.77	   8.44	   7.72	 4.13	 0.20	 0.20	 2.11	 0.06	 0.06	 9.74	 0.04	 0.04
HDE 227245    	    	           	55	  109.27	   4.67	   4.33	 5.56	 0.23	 0.23	 2.51	 0.07	 0.07	 8.41	 0.03	 0.03
HDE 344777    	    	           	40	  129.80	   9.05	   8.15	 2.59	 0.21	 0.21	 1.72	 0.05	 0.05	 8.01	 0.03	 0.03
HDE 344777    	    	           	41	  135.35	   9.77	   8.85	 2.39	 0.21	 0.20	 1.67	 0.05	 0.04	 7.49	 0.03	 0.03
HDE 344777    	    	           	54	  114.34	   7.67	   6.89	 2.83	 0.21	 0.21	 1.76	 0.05	 0.05	 8.31	 0.03	 0.03
BD +33 1025   	A   	           	43	  341.01	  61.00	  46.38	 0.38	 0.07	 0.06	 1.39	 0.05	 0.04	 9.57	 0.04	 0.04
BD +33 1025   	A   	           	44	  193.76	  28.51	  23.34	 0.77	 0.14	 0.13	 1.53	 0.08	 0.08	16.82	 0.07	 0.07
BD +33 1025   	A   	           	45	 1225.20	 468.46	 287.67	 0.10	 0.04	 0.03	 1.22	 0.04	 0.04	15.45	 0.07	 0.06
BD +33 1025   	A   	           	59	  410.54	  63.67	  51.94	 0.40	 0.06	 0.06	 1.49	 0.04	 0.04	 7.99	 0.03	 0.03
HD 326331     	    	           	12	  310.45	  18.00	  16.52	 2.48	 0.15	 0.15	 1.53	 0.02	 0.02	 5.49	 0.03	 0.03
HD 102415     	    	           	64	   85.64	   3.11	   2.94	 8.35	 0.29	 0.29	 2.75	 0.09	 0.08	 8.79	 0.03	 0.03
HD 201345     	    	           	55	  160.73	   9.71	   8.86	 2.69	 0.17	 0.17	 1.71	 0.04	 0.04	 5.79	 0.03	 0.03
HD 209339     	    	           	56	  162.55	  11.45	  10.32	 1.72	 0.12	 0.12	 1.63	 0.03	 0.03	 2.87	 0.01	 0.01
HD 209339     	    	           	58	  123.37	   8.17	   7.29	 2.17	 0.15	 0.14	 1.70	 0.03	 0.03	 3.09	 0.01	 0.01
CYG OB2-9     	    	           	41	 1335.91	  97.16	  87.04	 1.35	 0.08	 0.07	 1.89	 0.03	 0.02	 7.99	 0.03	 0.03
CYG OB2-9     	    	           	55	  895.11	  48.47	  45.74	 2.24	 0.09	 0.09	 2.63	 0.05	 0.05	 9.08	 0.03	 0.03
CPD -26 2716  	    	           	61	 2041.75	 141.16	 126.51	 1.55	 0.07	 0.07	 2.31	 0.04	 0.04	12.42	 0.06	 0.06
HD 193514     	    	           	41	 1968.89	 166.65	 148.02	 0.96	 0.06	 0.06	 1.62	 0.01	 0.01	 4.01	 0.02	 0.02
HD 193514     	    	           	55	 3097.09	 308.39	 269.03	 0.66	 0.05	 0.05	 1.58	 0.01	 0.01	 4.65	 0.03	 0.02
HD 69464      	    	           	 8	 3903.38	 447.87	 382.75	 0.59	 0.06	 0.06	 1.43	 0.01	 0.01	10.32	 0.07	 0.07
HD 69464      	    	           	35	 2155.33	 177.01	 156.47	 1.17	 0.07	 0.07	 1.72	 0.02	 0.02	 8.27	 0.04	 0.04
HD 69464      	    	           	61	 1782.74	 131.22	 114.84	 1.41	 0.07	 0.08	 1.98	 0.03	 0.03	 8.10	 0.03	 0.03
HD 69464      	    	           	62	  967.38	  49.62	  45.57	 2.70	 0.09	 0.09	 2.74	 0.04	 0.04	 7.18	 0.03	 0.03
HD 94963      	    	           	63	  737.48	  39.07	  36.02	 2.77	 0.11	 0.11	 2.38	 0.04	 0.04	 9.47	 0.04	 0.03
HD 94963      	    	           	64	  676.04	  30.32	  28.08	 3.33	 0.10	 0.10	 2.57	 0.03	 0.03	 4.99	 0.02	 0.02
HD 192639     	    	           	41	 4382.42	 406.52	 356.34	 0.75	 0.04	 0.04	 1.95	 0.02	 0.02	 4.09	 0.02	 0.02
HD 192639     	    	           	54	 3005.86	 281.79	 248.50	 0.79	 0.05	 0.05	 1.76	 0.02	 0.02	 4.46	 0.02	 0.02
HD 192639     	    	           	55	 5046.83	 643.37	 545.83	 0.39	 0.04	 0.04	 1.41	 0.01	 0.01	 3.88	 0.03	 0.03
HD 191423     	    	           	41	  381.45	  13.15	  12.41	 6.00	 0.15	 0.15	 2.58	 0.03	 0.03	 5.27	 0.02	 0.02
HD 191423     	    	           	54	  437.73	  16.40	  15.46	 5.36	 0.15	 0.15	 2.52	 0.03	 0.03	 5.98	 0.02	 0.02
HD 191423     	    	           	55	  376.33	  13.30	  12.27	 5.93	 0.16	 0.16	 2.68	 0.04	 0.04	 5.80	 0.02	 0.02
HD 71304      	    	           	61	 1280.70	  87.78	  79.27	 1.61	 0.08	 0.08	 2.16	 0.03	 0.03	 5.58	 0.03	 0.03
HD 202124     	    	           	55	 9818.57	1643.41	1266.14	 0.27	 0.03	 0.03	 1.48	 0.01	 0.01	 5.98	 0.03	 0.03
HD 202124     	    	           	56	 7208.41	1028.06	 817.27	 0.33	 0.04	 0.03	 1.43	 0.01	 0.01	 4.52	 0.03	 0.03
HD 152249     	    	           	39	 1107.30	 120.40	 104.17	 0.57	 0.04	 0.04	 1.89	 0.02	 0.02	 2.67	 0.01	 0.01
HD 28446      	A   	           	19	  297.00	  15.99	  14.76	 2.85	 0.13	 0.13	 1.98	 0.03	 0.03	 3.53	 0.02	 0.02
HD 28446      	A   	           	59	  165.73	   8.28	   7.56	 3.25	 0.13	 0.13	 2.26	 0.04	 0.04	 2.38	 0.01	 0.01
HD 75222      	    	           	61	 4666.81	 458.17	 401.30	 0.76	 0.05	 0.05	 2.00	 0.03	 0.03	 8.60	 0.05	 0.05
HD 195592     	    	           	56	11079.05	2637.76	1859.19	 0.13	 0.02	 0.02	 1.23	 0.01	 0.01	 3.96	 0.04	 0.04
HD 191781     	    	           	41	10366.15	1719.96	1360.11	 0.27	 0.03	 0.03	 1.48	 0.01	 0.01	 8.91	 0.05	 0.05
HD 191781     	    	           	54	15055.90	3856.62	2707.33	 0.13	 0.03	 0.02	 1.20	 0.01	 0.01	11.98	 0.10	 0.10
HD 191781     	    	           	56	 4572.25	 495.50	 418.15	 0.58	 0.05	 0.04	 1.68	 0.02	 0.02	 7.89	 0.04	 0.03
HD 97253      	    	           	10	 1386.41	 129.62	 114.94	 0.88	 0.07	 0.07	 1.48	 0.02	 0.02	 6.39	 0.04	 0.04
HD 97253      	    	           	37	  562.22	  24.87	  23.52	 3.42	 0.10	 0.10	 2.80	 0.04	 0.04	 3.89	 0.01	 0.01
HD 97253      	    	           	64	  460.01	  19.36	  17.96	 3.81	 0.11	 0.11	 2.89	 0.04	 0.04	 4.80	 0.02	 0.02
HDE 338 931   	    	           	41	  662.31	  32.91	  30.18	 3.07	 0.12	 0.12	 2.28	 0.03	 0.03	 7.17	 0.03	 0.03
HDE 338 931   	    	           	54	  904.52	  53.09	  48.99	 2.15	 0.11	 0.11	 1.88	 0.03	 0.03	 9.09	 0.04	 0.04
HD 190864     	    	           	41	  247.29	  10.03	   9.51	 4.58	 0.15	 0.15	 2.38	 0.04	 0.04	 4.34	 0.02	 0.02
HD 190864     	    	           	54	  255.06	  11.12	  10.42	 4.30	 0.16	 0.16	 2.28	 0.04	 0.04	 4.83	 0.02	 0.02
HD 190864     	    	           	55	  238.19	   9.64	   8.93	 4.69	 0.15	 0.15	 2.43	 0.04	 0.04	 3.91	 0.01	 0.01
HD 42088      	    	           	44	  307.96	  63.20	  46.69	 0.29	 0.06	 0.06	 1.18	 0.03	 0.03	 4.65	 0.02	 0.03
HD 42088      	    	           	45	  299.74	  66.39	  49.41	 0.24	 0.06	 0.06	 1.09	 0.03	 0.03	 6.29	 0.04	 0.04
BD +60 134    	    	           	58	  187.87	   9.56	   8.84	 4.26	 0.23	 0.23	 2.06	 0.06	 0.06	13.63	 0.07	 0.07
HDE 303311    	    	           	63	  815.30	 214.22	 148.95	 0.16	 0.04	 0.04	 1.21	 0.04	 0.03	12.42	 0.05	 0.05
HDE 303311    	    	           	64	  776.64	 167.55	 125.91	 0.23	 0.05	 0.04	 1.27	 0.04	 0.04	16.76	 0.07	 0.07
HDE 303311    	    	           	36	  531.39	 163.58	 108.71	 0.17	 0.06	 0.05	 1.04	 0.04	 0.03	13.31	 0.07	 0.07
HD 193443     	AB  	           	41	  264.89	  11.64	  10.98	 3.93	 0.14	 0.14	 2.43	 0.04	 0.04	 3.70	 0.01	 0.01
HD 193443     	AB  	           	55	  384.95	  20.21	  18.34	 2.71	 0.11	 0.12	 2.01	 0.03	 0.02	 3.54	 0.01	 0.01
HD 44811      	    	           	45	   52.68	   9.64	   7.19	 1.49	 0.76	 0.58	 0.62	 0.05	 0.05	 7.32	 0.27	 0.29
HD 44811      	    	           	44	   57.94	  11.05	   8.44	 0.60	 0.18	 0.15	 1.01	 0.05	 0.05	 5.79	 0.04	 0.04
ALS 12370     	    	           	57	  195.90	   7.83	   7.39	 6.00	 0.23	 0.23	 2.49	 0.07	 0.07	14.16	 0.07	 0.07
ALS 12370     	    	           	56	  260.28	  12.04	  11.00	 4.52	 0.20	 0.20	 2.27	 0.06	 0.06	14.74	 0.07	 0.07
BD +60 2635   	    	           	58	  154.73	   9.17	   8.03	 4.01	 0.27	 0.27	 1.92	 0.06	 0.06	10.54	 0.06	 0.06
BD +60 2635   	    	           	57	  142.31	   6.75	   6.11	 4.86	 0.24	 0.24	 2.17	 0.06	 0.06	11.48	 0.06	 0.06
HD 193682     	    	           	41	  350.34	  13.52	  12.51	 5.20	 0.15	 0.15	 2.55	 0.04	 0.04	 5.81	 0.02	 0.02
HD 193682     	    	           	55	  347.15	  13.18	  12.05	 5.29	 0.15	 0.15	 2.56	 0.04	 0.04	 5.73	 0.02	 0.02
HD 36879      	    	           	45	 1160.32	 103.97	  90.41	 1.05	 0.09	 0.09	 1.45	 0.02	 0.02	 7.36	 0.04	 0.04
HD 36879      	    	           	44	  864.80	  54.55	  48.77	 2.05	 0.10	 0.10	 2.08	 0.03	 0.03	 4.82	 0.02	 0.02
HD 36879      	    	           	43	 1022.35	  74.23	  67.72	 1.44	 0.09	 0.08	 1.79	 0.02	 0.02	 5.18	 0.02	 0.02
HD 117490     	    	           	65	   84.56	   3.40	   3.25	 6.50	 0.26	 0.26	 2.66	 0.08	 0.08	 7.94	 0.03	 0.03
HD 189957     	    	           	54	  365.19	  18.73	  17.40	 3.11	 0.14	 0.14	 2.14	 0.03	 0.03	 6.03	 0.02	 0.02
HD 189957     	    	           	41	  294.43	  16.05	  14.70	 2.94	 0.14	 0.14	 2.11	 0.04	 0.04	 5.02	 0.02	 0.02
HD 189957     	    	           	55	  428.80	  26.66	  24.43	 2.09	 0.12	 0.12	 1.89	 0.03	 0.03	 5.22	 0.02	 0.02
HD 93521      	    	           	48	  383.56	  12.41	  11.85	 6.12	 0.14	 0.14	 2.48	 0.03	 0.02	 3.84	 0.01	 0.01
HD 24912      	    	           	59	  434.76	  20.62	  19.35	 3.13	 0.11	 0.11	 2.47	 0.03	 0.03	 3.94	 0.01	 0.01
HD 218195     	A   	           	57	  259.46	  11.86	  10.96	 3.82	 0.16	 0.16	 2.12	 0.03	 0.03	 5.39	 0.02	 0.02

