#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-09-25T16:56:06 [V7.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-09-25T16:56:06	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-source=J/A+A/701/A297/tablee1&-out.max=unlimited&-out.all=2	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_37010297
#Name: J/A+A/701/A297
#Title: Microturbulence across the HR Diagram (Markova+, 2025)
#INFO	ivoid=ivo://cds.vizier/j/a+a/701/a297	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/a+a/701/a297	    IVOID of underlying data collection
#INFO	creator=Markova N.	    First author or institution
#INFO	cites=bibcode:2025A&A...701A.297M	    Article or Data origin sources
#INFO	journal=A&A	    Journal name
#INFO	original_date=2025	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/A+A/701/A297	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier/bc-nx/lcjh	    Dataset identifier that can be used for citation
#INFO	publication_date=2026-08-03	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_A_A_701_A297_tablee1:
#Name: J/A+A/701/A297/tablee1
#Title: Effective temperature, surface equatorial gravity, micro-turbulent velocity and spectroscopic luminosity of non-pulsating Galactic stars
#Column	ID	(a11)	Star name/Star identifier	[ucd=meta.id;meta.main]
#Column	Teff	(F5.2)	Effective temperature (1)	[ucd=phys.temperature.effective]
#Column	logg	(F5.2)	Logarithm of surface equatorial gravity	[ucd=phys.gravity]
#Column	Vmic	(F5.2)	Micro-turbulent velocity (2)	[ucd=phys.veloc.microTurb]
#Column	logLsp	(F5.2)	Logarithm of spectroscopic luminosity (G1)	[ucd=phys.luminosity]
#Column	SpType	(A2)	Spectral type (4)	[ucd=src.spType]
ID	Teff	logg	Vmic	logLsp	SpType
HD171391   	 5.10	 2.88	 1.28	 1.34	 g
HD176598   	 5.10	 3.11	 1.28	 1.11	 g
HD176707   	 4.80	 2.32	 1.35	 1.79	 g
HD186675   	 5.06	 2.68	 1.39	 1.53	 g
HD189127   	 4.80	 2.35	 1.37	 1.76	 g
HD192944   	 5.03	 2.54	 1.41	 1.66	 g
HD194013   	 4.90	 2.58	 1.32	 1.57	 g
HD194577   	 5.10	 2.88	 1.35	 1.34	 g
HD01381    	 4.94	 2.77	 1.27	 1.40	 g
HD211391   	 4.95	 2.63	 1.38	 1.54	 g
HD211554   	 5.13	 2.60	 1.60	 1.63	 g
HD215030   	 4.75	 2.35	 1.28	 1.75	 g
HD123      	 5.88	 4.87	 1.27	-0.40	 f
HD400      	 6.16	 4.04	 1.45	 0.51	 f
HD693      	 6.17	 4.07	 1.58	 0.48	 f
HD4307     	 5.65	 3.75	 1.33	 0.65	 f
HD4614     	 5.91	 4.46	 1.20	 0.02	 f
HD4628     	 5.01	 4.62	 0.52	-0.43	 g
HD4813     	 6.27	 4.47	 1.39	 0.11	 f
HD5015     	 6.15	 4.09	 1.36	 0.46	 f
HD6582     	 5.33	 4.54	 0.73	-0.24	 g
HD6920     	 6.03	 3.78	 1.71	 0.73	 f
HD7439     	 6.36	 3.96	 1.77	 0.64	 f
HD7476     	 6.37	 3.73	 1.97	 0.88	 f
HD9562     	 5.95	 4.18	 1.27	 0.31	 f
HD9826     	 6.09	 4.01	 1.51	 0.52	 f
HD10307    	 5.89	 4.36	 1.16	 0.11	 f
HD10476    	 5.20	 4.50	 0.70	-0.25	 g
HD10697    	 5.63	 3.91	 1.06	 0.48	 g
HD10700    	 5.42	 4.68	 0.66	-0.35	 g
HD10780    	 5.43	 4.63	 0.78	-0.30	 g
HD13555    	 6.41	 4.10	 2.03	 0.52	 f
HD14214    	 6.06	 4.16	 1.26	 0.36	 f
HD15335    	 5.85	 3.79	 1.35	 0.67	 g
HD15798    	 6.31	 3.70	 1.81	 0.89	 f
HD16141    	 5.72	 4.00	 1.17	 0.42	 g
HD16673    	 6.32	 4.43	 1.45	 0.16	 f
HD16895    	 6.35	 4.32	 1.44	 0.28	 f
HD17925    	 5.24	 4.67	 1.22	-0.40	 g
HD18803    	 5.67	 4.46	 0.86	-0.06	 g
HD19994    	 6.21	 4.12	 1.31	 0.44	 f
HD20630    	 5.77	 4.54	 1.13	-0.10	 f
HD21019    	 5.39	 3.67	 1.27	 0.65	 g
HD22049    	 5.18	 4.72	 0.62	-0.47	 g
HD22484    	 6.02	 4.06	 1.30	 0.45	 f
HD30562    	 5.91	 4.08	 1.23	 0.40	 f
HD30743    	 6.28	 3.85	 1.64	 0.73	 f
HD32923    	 5.66	 3.92	 1.10	 0.48	 g
HD34411    	 5.89	 4.23	 1.13	 0.24	 f
HD35296    	 6.17	 4.26	 1.54	 0.29	 f
HD38529    	 5.55	 3.85	 1.29	 0.52	 g
HD39587    	 5.95	 4.50	 1.33	-0.01	 f
HD43042    	 6.57	 4.27	 1.41	 0.39	 f
HD43318    	 6.19	 3.82	 1.70	 0.74	 f
HD49933    	 6.52	 4.00	 1.96	 0.65	 f
HD50554    	 5.99	 4.29	 1.15	 0.21	 f
HD52265    	 6.07	 4.12	 1.20	 0.40	 f
HD52711    	 5.89	 4.30	 1.16	 0.17	 g
HD55575    	 5.85	 4.26	 1.18	 0.20	 g
HD59984    	 5.99	 3.95	 1.26	 0.55	 f
HD61421    	 6.61	 4.00	 1.97	 0.67	 f
HD67228    	 5.82	 3.87	 1.25	 0.58	 g
HD67767    	 5.23	 3.57	 1.01	 0.70	 g
HD69830    	 5.44	 4.54	 0.78	-0.21	 g
HD69897    	 6.19	 4.07	 1.49	 0.49	 f
HD70110    	 5.96	 3.98	 1.34	 0.51	 g
HD75732    	 5.33	 4.58	 0.69	-0.28	 g
HD76151    	 5.77	 4.49	 1.63	-0.05	 g
HD76932    	 5.82	 4.11	 1.34	 0.34	 g
HD79028    	 5.91	 4.00	 1.35	 0.48	 f
HD81809    	 5.62	 4.02	 1.32	 0.37	 g
HD82328    	 6.22	 3.65	 1.95	 0.92	 f
HD82885    	 5.54	 4.48	 1.02	-0.12	 f
HD82943    	 6.00	 4.42	 1.17	 0.08	 f
HD84737    	 5.92	 4.05	 1.23	 0.43	 g
HD86728    	 5.84	 4.42	 1.06	 0.04	 g
HD87141    	 6.45	 3.91	 2.11	 0.72	 f
HD88737    	 6.18	 3.82	 1.62	 0.73	 f
HD88986    	 5.83	 4.15	 1.20	 0.30	 g
HD130109   	 9.68	 3.68	 2.40	 1.65	 a
HD028024   	 7.11	 3.20	 3.30	 1.60	 a
HD106591   	 8.63	 3.85	 3.70	 1.28	 a
HD141003   	 8.58	 3.56	 3.70	 1.56	 a
HD027946   	 7.40	 3.84	 3.70	 1.03	 a
HD097603   	 8.18	 3.90	 4.00	 1.14	 a
HD059037   	 8.24	 3.99	 4.00	 1.06	 a
HD102124   	 8.03	 4.09	 4.00	 0.92	 a
HD080081   	 9.01	 3.82	 3.30	 1.39	 a
HD103287   	 9.20	 3.79	 3.00	 1.46	 a
HD056537   	 8.46	 3.90	 3.80	 1.20	 a
HD076644   	 7.93	 4.22	 4.00	 0.77	 a
HD029488   	 7.99	 3.82	 4.00	 1.18	 a
HD099211   	 7.72	 3.95	 3.90	 0.99	 a
HD031295   	 8.99	 4.11	 3.30	 1.10	 a
HD127762   	 7.66	 3.59	 3.90	 1.34	 a
HD139006   	 9.57	 3.87	 2.50	 1.44	 a
HD028527   	 8.04	 3.99	 4.00	 1.02	 a
HD032301   	 7.94	 3.74	 4.00	 1.25	 a
HD102647   	 8.64	 4.17	 3.70	 0.97	 a
HD028910   	 7.52	 3.97	 3.80	 0.93	 a
HD028355   	 7.81	 3.98	 4.00	 0.98	 a
HD027934   	 8.16	 3.84	 4.00	 1.20	 a
HD074198   	 9.38	 4.11	 2.80	 1.17	 a
HD033641   	 7.96	 4.21	 4.00	 0.78	 a
HD028226   	 7.36	 4.01	 3.60	 0.85	 a
HD029388   	 8.19	 3.88	 4.00	 1.16	 a
HD025490   	 9.08	 3.93	 3.20	 1.29	 a
HD028319   	 7.79	 3.68	 4.00	 1.28	 a
HD095382   	 8.02	 3.95	 4.00	 1.06	 a
HD116656   	 9.32	 4.10	 2.90	 1.17	 a
HD130841   	 8.08	 3.96	 4.00	 1.06	 a
HD029479   	 8.41	 4.14	 3.90	 0.95	 a
HD089021   	 8.86	 3.61	 3.50	 1.57	 a
HD027819   	 8.05	 3.95	 4.00	 1.06	 a
HD043378   	 9.21	 4.09	 3.00	 1.16	 a
HD095418   	 9.49	 3.85	 2.70	 1.45	 a
HD084107   	 8.66	 4.31	 3.70	 0.83	 a
HD141795   	 8.37	 4.24	 3.90	 0.84	 a
HD028546   	 7.64	 4.17	 3.90	 0.75	 a
HD095608   	 8.97	 4.20	 3.30	 1.00	 a
HD048915   	 9.94	 4.31	 2.10	 1.07	 a
HD072037   	 7.92	 4.16	 4.00	 0.83	 a
HD027962   	 8.92	 3.94	 3.40	 1.25	 a
HD047105   	 9.11	 3.49	 3.20	 1.74	 a
HD040932   	 8.01	 3.93	 4.00	 1.07	 a
HD7950     	 5.43	 3.94	 1.20	 0.39	 g
HD8389     	 5.24	 4.52	 1.20	-0.25	 g
HD8446     	 5.82	 4.14	 1.20	 0.31	 g
HD9174     	 5.58	 4.05	 1.20	 0.33	 g
HD10188    	 5.71	 4.16	 1.20	 0.26	 g
HD10278    	 5.71	 4.62	 1.00	-0.20	 g
HD13147    	 5.50	 3.94	 1.00	 0.41	 g
HD13350    	 5.51	 4.22	 1.20	 0.14	 g
HD15507    	 5.77	 4.62	 1.00	-0.19	 g
HD18708    	 5.84	 4.36	 1.20	 0.10	 g
HD18754    	 5.53	 3.84	 1.40	 0.52	 g
HD19493    	 5.74	 4.16	 1.20	 0.27	 g
HD19773    	 6.16	 4.13	 1.20	 0.42	 g
HD23398    	 5.59	 4.10	 1.20	 0.28	 g
HD26071    	 5.55	 4.16	 1.20	 0.21	 g
HD29231    	 5.40	 4.43	 1.20	-0.11	 g
HD38459    	 5.23	 4.43	 1.20	-0.16	 g
HD38467    	 5.72	 4.18	 1.20	 0.24	 g
HD40293    	 5.55	 4.51	 1.00	-0.14	 g
HD42538    	 5.94	 3.98	 1.40	 0.51	 g
HD42719    	 5.81	 4.08	 1.40	 0.37	 g
HD42936    	 5.13	 4.44	 0.80	-0.21	 g
HD45133    	 5.60	 4.31	 1.20	 0.07	 g
HD48265    	 5.65	 3.92	 1.40	 0.48	 g
HD49866    	 5.71	 3.71	 1.40	 0.71	 g
HD50652    	 5.64	 4.21	 1.20	 0.19	 g
HD55524    	 5.70	 4.22	 1.20	 0.19	 g
HD56259    	 5.49	 3.94	 1.20	 0.41	 g
HD56413    	 5.65	 4.41	 1.20	-0.01	 g
HD56957    	 5.67	 4.09	 1.40	 0.32	 g
HD61475    	 5.25	 4.47	 1.20	-0.20	 g
HD66653    	 5.77	 4.42	 1.20	 0.02	 g
HD69721    	 5.30	 4.47	 1.00	-0.18	 g
HD76849    	 5.22	 5.00	 1.00	-0.74	 g
HD77338    	 5.32	 4.42	 1.20	-0.13	 g
HD78130    	 5.74	 4.43	 1.00	 0.00	 g
HD78286    	 5.79	 4.40	 1.20	 0.04	 g
HD86006    	 5.67	 3.97	 1.20	 0.43	 g
HD90028    	 5.74	 4.06	 1.20	 0.37	 g
HD90520    	 5.87	 4.08	 1.20	 0.39	 g
HD91682    	 5.61	 4.13	 1.20	 0.26	 g
HD93849    	 6.15	 4.21	 1.20	 0.34	 g
HD95136    	 5.74	 4.41	 1.20	 0.02	 g
HD96494    	 5.36	 4.53	 1.00	-0.22	 g
HD101197   	 5.76	 4.23	 1.00	 0.20	 g
HD101348   	 5.62	 3.95	 1.40	 0.44	 g
HD102196   	 6.01	 3.90	 1.40	 0.61	 g
HD102361   	 5.98	 4.12	 1.40	 0.38	 g
HD105750   	 5.67	 4.24	 0.80	 0.17	 g
HD106937   	 5.45	 4.05	 1.20	 0.29	 g
HD107181   	 5.58	 4.17	 1.20	 0.21	 g
HD108953   	 5.51	 4.43	 1.00	-0.07	 g
HD126535   	 5.28	 4.65	 1.00	-0.37	 g
HD127423   	 6.02	 4.26	 1.00	 0.25	 g
HD128356   	 4.88	 4.58	 0.80	-0.44	 g
HD143120   	 5.58	 3.95	 1.20	 0.43	 g
HD143361   	 5.51	 4.42	 1.00	-0.07	 g
HD144550   	 5.65	 4.19	 1.20	 0.21	 g
HD144848   	 5.78	 4.26	 1.20	 0.18	 g
HD144899   	 5.83	 4.13	 1.20	 0.32	 g
HD147873   	 5.97	 3.90	 1.40	 0.60	 g
HD149189   	 5.77	 4.08	 1.40	 0.36	 g
HD149782   	 5.55	 4.34	 1.20	 0.03	 g
HD150936   	 5.54	 4.12	 1.00	 0.25	 g
HD152079   	 5.73	 4.35	 1.20	 0.07	 g
HD154221   	 5.80	 4.47	 1.00	-0.03	 g
HD154672   	 5.66	 4.16	 1.20	 0.24	 g
HD158469   	 6.11	 4.19	 1.20	 0.34	 g
HD165155   	 5.43	 4.57	 1.00	-0.24	 g
HD165204   	 5.56	 4.33	 1.00	 0.04	 g
HD170706   	 5.70	 4.40	 1.00	 0.01	 g
HD178340   	 5.54	 4.38	 1.20	-0.02	 g
HD178787   	 5.22	 4.44	 1.00	-0.18	 g
HD185679   	 5.68	 4.43	 1.00	-0.02	 g
HD186194   	 5.67	 4.30	 1.20	 0.10	 g
HD186265   	 5.56	 4.39	 1.20	-0.02	 g
HD189627   	 6.21	 4.40	 1.40	 0.16	 g
HD190125   	 5.64	 4.53	 1.00	-0.13	 g
HD191122   	 5.85	 4.34	 1.20	 0.12	 g
HD191760   	 5.82	 4.10	 1.40	 0.35	 g
HD193690   	 5.56	 4.48	 1.00	-0.11	 g
HD193995   	 5.66	 4.09	 1.20	 0.31	 g
HD194490   	 5.85	 4.44	 1.00	 0.02	 g
HD200869   	 5.40	 4.37	 1.00	-0.05	 g
HD201757   	 5.60	 4.23	 1.20	 0.15	 g
HD206683   	 5.91	 4.37	 1.20	 0.11	 g
HD206837   	 5.62	 4.07	 1.20	 0.32	 g
HD218960   	 5.73	 4.27	 1.20	 0.15	 g
HD219011   	 5.64	 4.21	 1.20	 0.19	 g
HD219556   	 5.49	 4.44	 1.00	-0.09	 g
HD220981   	 5.57	 4.33	 1.00	 0.04	 g
HD221575   	 5.04	 4.49	 1.40	-0.29	 g
HD221954   	 5.60	 4.10	 1.20	 0.28	 g
HD222910   	 5.48	 4.05	 1.20	 0.30	 g
HD224538   	 6.10	 4.29	 1.40	 0.24	 g
HIP19807   	 5.89	 4.54	 1.00	-0.07	 g
HIP28641   	 5.75	 4.45	 1.00	-0.02	 g
HIP29442   	 5.32	 4.43	 0.80	-0.14	 g
HIP31831   	 5.84	 4.29	 1.20	 0.17	 g
HIP43267   	 5.64	 4.29	 1.20	 0.11	 g
HIP51987   	 6.16	 5.10	 1.00	-0.55	 g
HIP53084   	 5.53	 4.32	 1.00	 0.04	 g
HIP57331   	 5.53	 4.21	 1.20	 0.15	 g
HIP66990   	 5.59	 4.15	 1.20	 0.23	 g
HIP69724   	 5.79	 4.79	 1.00	-0.35	 g
HIP111286  	 5.69	 4.19	 1.20	 0.22	 g
HD196877   	 4.17	 4.74	 0.50	-0.87	 k
HD35650    	 4.27	 4.65	 0.50	-0.74	 k
HD118100   	 4.31	 4.68	 0.50	-0.75	 k
HD120036   	 4.32	 4.83	 0.40	-0.90	 k
HD25004    	 4.35	 4.66	 0.50	-0.71	 k
HD93380    	 4.36	 4.64	 0.50	-0.69	 k
HD218511   	 4.36	 4.61	 0.50	-0.66	 k
HD154363   	 4.37	 4.66	 1.00	-0.71	 k
V*AOMen    	 4.38	 4.38	 0.50	-0.42	 k
HD192961   	 4.40	 4.62	 1.20	-0.66	 k
HD200779   	 4.41	 4.62	 0.80	-0.65	 k
HD85512    	 4.41	 4.62	 0.20	-0.65	 k
V*V2215    	 4.47	 4.69	 0.50	-0.70	 k
HD142709   	 4.51	 4.63	 1.50	-0.62	 k
HD253255   	 4.52	 4.68	 1.00	-0.67	 k
HD286513   	 4.54	 4.67	 0.50	-0.65	 k
HD21749    	 4.54	 4.55	 0.50	-0.53	 k
HD36003    	 4.55	 4.60	 0.50	-0.58	 k
HD146464   	 4.58	 4.64	 0.65	-0.61	 k
HD183783   	 4.58	 4.61	 0.50	-0.58	 k
HD101581   	 4.58	 4.66	 0.50	-0.63	 k
HD21209    	 4.59	 4.67	 0.30	-0.63	 k
HD285465   	 4.60	 4.29	 0.50	-0.25	 k
HD137303   	 4.61	 4.56	 0.50	-0.51	 k
HD52919    	 4.62	 4.63	 0.50	-0.58	 k
HD131977   	 4.64	 4.60	 0.50	-0.54	 k
HD218572   	 4.65	 4.65	 0.35	-0.59	 k
HD31560    	 4.67	 4.61	 0.50	-0.54	 k
HD285348   	 4.67	 4.62	 0.40	-0.55	 k
HD125595   	 4.67	 4.58	 0.50	-0.51	 k
HD108564   	 4.67	 4.69	 0.50	-0.62	 k
HD170493   	 4.68	 4.55	 0.50	-0.48	 k
*epsInd    	 4.68	 4.62	 0.50	-0.55	 k
HD82342    	 4.70	 4.65	 0.20	-0.57	 k
HD13789    	 4.70	 4.59	 0.20	-0.51	 k
HD213042   	 4.70	 4.53	 0.50	-0.45	 k
HD286820   	 4.70	 4.42	 0.50	-0.34	 k
HD16270    	 4.72	 4.59	 0.75	-0.50	 k
HD222237   	 4.73	 4.61	 0.40	-0.52	 k
HD188559   	 4.73	 4.63	 0.50	-0.54	 k
V*V990Tau  	 4.74	 4.48	 0.35	-0.39	 k
HD187456   	 4.75	 4.56	 0.20	-0.46	 k
HD203413   	 4.76	 4.60	 0.45	-0.50	 k
HD32147    	 4.78	 4.56	 0.50	-0.45	 k
HD130992   	 4.78	 4.59	 0.50	-0.48	 k
HD45088    	 4.78	 4.31	 0.80	-0.20	 k
HD114386   	 4.80	 4.53	 0.50	-0.41	 k
V*LQHya    	 4.81	 4.57	 0.50	-0.45	 k
HD103949   	 4.81	 4.63	 0.50	-0.51	 k
HD285482   	 4.82	 4.54	 0.90	-0.42	 k
HD82106    	 4.82	 4.63	 0.50	-0.51	 k
HD12617    	 4.83	 4.57	 0.50	-0.44	 k
V*EOPsc    	 4.83	 4.31	 1.00	-0.18	 k
HD50590    	 4.83	 4.58	 0.50	-0.45	 k
HD63454    	 4.84	 4.65	 0.35	-0.52	 k
HD77825    	 4.85	 4.59	 0.50	-0.46	 k
HD203850   	 4.85	 4.65	 0.70	-0.51	 k
HD215152   	 4.87	 4.58	 0.50	-0.44	 k
HD40307    	 4.87	 4.63	 0.50	-0.49	 k
HD125072   	 4.87	 4.53	 0.70	-0.39	 k
HD208573   	 4.87	 4.56	 0.60	-0.42	 k
HD2025     	 4.87	 4.64	 0.50	-0.50	 k
HD148303   	 4.87	 4.57	 0.40	-0.43	 k
HD224228   	 4.88	 4.61	 0.30	-0.47	 k
HD16160    	 4.88	 4.63	 0.50	-0.49	 k
HD160346   	 4.89	 4.55	 0.50	-0.40	 k
HD35854    	 4.90	 4.60	 0.50	-0.45	 k
HD181433   	 4.90	 4.54	 0.50	-0.39	 k
HD104067   	 4.90	 4.55	 0.50	-0.40	 k
HD134440   	 4.91	 4.75	 0.30	-0.59	 k
HD154577   	 4.92	 4.64	 0.40	-0.48	 k
HD128356   	 4.93	 4.52	 2.00	-0.36	 k
HD6673     	 4.94	 4.62	 0.30	-0.45	 k
HD155712   	 4.95	 4.58	 0.50	-0.41	 k
HD24331    	 4.95	 4.62	 0.50	-0.45	 k
HD116858   	 4.95	 4.60	 0.50	-0.43	 k
HD129642   	 4.95	 4.51	 0.50	-0.34	 k
HD136713   	 4.95	 4.56	 0.25	-0.39	 k
HD192263   	 4.95	 4.59	 0.35	-0.42	 k
BD+012063  	 4.96	 4.62	 0.95	-0.45	 k
HD145417   	 4.96	 4.80	 1.75	-0.63	 k
HD23356    	 4.97	 4.62	 0.50	-0.44	 k
HD27990    	 4.97	 4.31	 0.60	-0.13	 k
HD191408   	 4.97	 4.65	 0.50	-0.47	 k
HD176986   	 4.98	 4.61	 0.50	-0.43	 k
HD139084   	 4.99	 4.16	 0.80	 0.02	 k
BD+20598   	 5.00	 4.62	 0.30	-0.43	 k
HD44573    	 5.01	 4.58	 0.50	-0.39	 k
HD220339   	 5.01	 4.59	 0.50	-0.40	 k
HD193844   	 5.01	 4.60	 0.30	-0.41	 k
HD93083    	 5.01	 4.54	 0.80	-0.35	 k
HD130930   	 5.02	 4.54	 0.50	-0.35	 k
HD44627    	 5.03	 4.47	 1.66	-0.27	 k
HD4628     	 5.03	 4.60	 0.20	-0.40	 k
V*BZCet    	 5.04	 4.53	 0.72	-0.33	 k
HD189733   	 5.04	 4.60	 0.40	-0.40	 k
BD+04810   	 5.04	 4.54	 0.40	-0.34	 k
V*PXVir    	 5.04	 4.50	 0.45	-0.30	 k
HD285830   	 5.05	 4.47	 0.50	-0.27	 k
HD106275   	 5.06	 4.56	 0.55	-0.35	 k
HD65562    	 5.07	 4.54	 0.50	-0.33	 k
HD192310   	 5.07	 4.53	 0.35	-0.32	 k
HD82516    	 5.08	 4.53	 0.30	-0.32	 k
HD144628   	 5.08	 4.59	 0.50	-0.37	 k
HD153851   	 5.08	 4.61	 0.43	-0.39	 k
HD204941   	 5.09	 4.61	 0.45	-0.39	 k
V*UYPic    	 5.10	 4.49	 1.20	-0.27	 g
HD13808    	 5.10	 4.59	 0.30	-0.37	 g
HD221575   	 5.10	 4.64	 0.96	-0.42	 g
HD17970    	 5.11	 4.61	 0.60	-0.39	 g
HD9796     	 5.11	 4.48	 0.70	-0.26	 g
HD114783   	 5.11	 4.55	 0.50	-0.33	 g
HD104006   	 5.12	 4.63	 0.50	-0.40	 g
HD124106   	 5.12	 4.60	 0.42	-0.37	 g
HD114747   	 5.12	 4.53	 0.50	-0.30	 g
HD21175    	 5.12	 4.46	 0.47	-0.23	 g
*epsEri    	 5.13	 4.58	 0.70	-0.35	 g
HD101930   	 5.13	 4.53	 0.25	-0.30	 g
V*V419Hya  	 5.13	 4.59	 0.25	-0.36	 g
HD750      	 5.14	 4.58	 0.65	-0.35	 g
HD80883    	 5.14	 4.47	 0.50	-0.24	 g
HD109200   	 5.14	 4.59	 0.50	-0.35	 g
HD166724   	 5.15	 4.59	 0.40	-0.35	 g
HD125455   	 5.16	 4.57	 0.25	-0.33	 g
HD209742   	 5.16	 4.57	 0.25	-0.33	 g
HD25673    	 5.16	 4.59	 0.50	-0.35	 g
HD285367   	 5.17	 4.43	 1.00	-0.19	 g
HD220256   	 5.17	 4.56	 0.45	-0.32	 g
*36OphB    	 5.17	 4.61	 0.66	-0.37	 g
HD224789   	 5.17	 4.54	 0.80	-0.29	 g
HD6348     	 5.17	 4.61	 0.20	-0.36	 g
V*PZTel    	 5.17	 4.16	 0.50	 0.09	 g
HD85390    	 5.18	 4.59	 0.40	-0.34	 g
HD114076   	 5.18	 4.54	 0.25	-0.29	 g
HD212580   	 5.18	 4.58	 0.38	-0.33	 g
HD109988   	 5.18	 4.45	 0.40	-0.20	 g
HD15337    	 5.18	 4.59	 0.95	-0.34	 g
HR857      	 5.18	 4.58	 0.75	-0.33	 g
HD119782   	 5.18	 4.55	 0.35	-0.30	 g
HD97658    	 5.19	 4.58	 0.25	-0.33	 g
HD174545   	 5.19	 4.43	 0.25	-0.18	 g
HD3569     	 5.19	 4.59	 0.20	-0.34	 g
*omi02Eri  	 5.20	 4.58	 0.50	-0.33	 g
HD283      	 5.21	 4.58	 0.40	-0.32	 g
*41Ara     	 5.22	 4.50	 0.43	-0.24	 g
HD68607    	 5.23	 4.53	 0.33	-0.27	 g
HD90812    	 5.23	 4.63	 0.50	-0.37	 g
HD208272   	 5.23	 4.56	 0.80	-0.30	 g
HD178787   	 5.24	 4.54	 0.30	-0.27	 g
HD137388   	 5.24	 4.53	 0.40	-0.26	 g
*70OphA    	 5.24	 4.52	 0.40	-0.25	 g
*alfCenB   	 5.24	 4.57	 0.25	-0.30	 g
HD18719    	 5.25	 4.54	 0.90	-0.27	 g
HD8912     	 5.26	 4.58	 0.20	-0.31	 g
HD8389A    	 5.26	 4.42	 0.30	-0.14	 g
BD+23465   	 5.26	 4.52	 1.00	-0.24	 g
KIS10263800	 8.90	 4.00	 2.00	 1.19	 a
KIS10264728	 7.90	 3.80	 1.30	 1.18	 a
KIS10355055	 8.30	 3.80	 2.90	 1.27	 a
KIS10533616	 8.20	 3.80	 2.00	 1.25	 a
KIS10549371	 7.20	 3.80	 3.90	 1.02	 a
KIS10555142	 7.00	 3.80	 2.50	 0.97	 f
KIS10590857	 7.30	 4.00	 2.90	 0.84	 a
KIS10721930	 8.20	 3.70	 1.70	 1.35	 a
KIS10977859	 8.20	 3.70	 1.60	 1.35	 a
KIS11013201	 7.80	 3.80	 1.70	 1.16	 a
KIS2162283 	 7.00	 4.10	 3.10	 0.67	 f
KIS2694337 	 7.40	 4.10	 3.00	 0.77	 a
KIS3219256 	 7.30	 3.80	 3.00	 1.04	 a
KIS3331147 	 7.00	 3.70	 2.00	 1.07	 f
KIS3429637 	 7.30	 3.40	 2.90	 1.44	 a
KIS3453494 	 8.00	 3.80	 2.00	 1.20	 a
KIS3868420 	 7.80	 3.90	 2.90	 1.06	 a
KIS4647763 	 7.10	 3.80	 3.90	 1.00	 a
KIS5880360 	 7.70	 3.60	 3.50	 1.34	 a
KIS5988140 	 7.80	 3.80	 1.90	 1.16	 a
KIS6123324 	 6.80	 3.50	 3.90	 1.22	 f
KIS6279848 	 7.10	 4.00	 3.20	 0.80	 a
KIS6370489 	 6.30	 4.00	 1.40	 0.59	 f
KIS6443122 	 7.20	 3.80	 3.00	 1.02	 a
KIS6670742 	 7.30	 3.60	 3.20	 1.24	 a
KIS7119530 	 8.20	 3.80	 2.50	 1.25	 a
KIS7122746 	 8.10	 4.10	 2.90	 0.92	 a
KIS7668791 	 8.20	 3.80	 2.70	 1.25	 a
KIS7748238 	 7.40	 3.90	 3.00	 0.97	 a
KIS7767565 	 7.80	 3.80	 2.70	 1.16	 a
KIS7773133 	 7.20	 3.90	 2.90	 0.92	 a
KIS7798339 	 7.00	 3.90	 2.50	 0.87	 f
KIS8211500 	 8.00	 3.90	 2.40	 1.10	 a
KIS8222685 	 7.10	 3.80	 3.20	 1.00	 a
KIS8694723 	 6.20	 4.10	 1.30	 0.46	 f
KIS8827821 	 7.70	 3.70	 3.40	 1.24	 a
KIS8881697 	 7.90	 3.80	 3.30	 1.18	 a
KIS9229318 	 7.40	 4.00	 3.00	 0.87	 a
KIS9349245 	 8.20	 3.70	 2.90	 1.35	 a
KIS9408694 	 7.30	 4.00	 2.00	 0.84	 a
KIS9410862 	 6.10	 3.90	 1.30	 0.63	 f
KIS9650390 	 8.90	 3.90	 3.20	 1.29	 a
KIS9656348 	 7.60	 3.90	 3.00	 1.01	 a
KIS9828226 	 9.10	 4.10	 2.00	 1.13	 a
KIS9845907 	 7.90	 3.90	 2.00	 1.08	 a
KIS9941662 	 8.20	 4.10	 2.70	 0.95	 a
KIS9970568 	 7.80	 4.00	 2.10	 0.96	 a
KIS10030943	 6.90	 4.00	 3.80	 0.75	 f
KIS10341072	 6.70	 3.80	 3.00	 0.89	 f
KIS10661783	 7.90	 4.10	 1.80	 0.88	 a
KIS10717871	 7.10	 3.90	 2.00	 0.90	 f
KIS11044547	 9.20	 4.00	 1.20	 1.25	 a
