#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-09-25T17:49:33 [V7.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-09-25T17:49:33	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-source=J/MNRAS/540/3523/tablea1&-out.max=unlimited&-out.all=2&-out.add=_RAJ2000,_DEJ2000	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_75403523
#Name: J/MNRAS/540/3523
#Title: BLOeM. Physical properties of OB stars (Bestenlehner+, 2025)
#INFO	ivoid=ivo://cds.vizier/j/mnras/540/3523	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/mnras/540/3523	    IVOID of underlying data collection
#INFO	creator=Bestenlehner J.M.	    First author or institution
#INFO	cites=bibcode:2025MNRAS.540.3523B	    Article or Data origin sources
#INFO	journal=MNRA	    Journal name
#INFO	original_date=2025	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/MNRAS/540/3523	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier/bg-gw-3e3	    Dataset identifier that can be used for citation
#INFO	publication_date=2026-08-03	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_MNRAS_540_3523_tablea1:
#Name: J/MNRAS/540/3523/tablea1
#Title: Physical parameters of BLOeM OB stars
#Column	_RAJ2000	(F19.15)	Right ascension (FK5, Equinox=J2000.0) (computed by VizieR, not part of the original data. The format may include more digits than the original data because of internal accuracy requirements in VizieR and across other CDS services)	[ucd=pos.eq.ra]
#Column	_DEJ2000	(F19.15)	Declination (FK5, Equinox=J2000.0) (computed by VizieR, not part of the original data. The format may include more digits than the original data because of internal accuracy requirements in VizieR and across other CDS services)	[ucd=pos.eq.dec]
#Column	BLOeM	(A5)	BLOeM identifier (N-NNN) (1)	[ucd=meta.id;meta.main]
#Column	SpType	(a17)	Spectral type (1)	[ucd=src.spType]
#Column	RV	(I4)	Radial velocity	[ucd=phys.veloc;pos.heliocentric]
#Column	s_RV	(F5.1)	? Radial velocity dispersion	[ucd=spect.dopplerVeloc]
#Column	Teff	(F4.1)	? Effective temperature	[ucd=phys.temperature.effective]
#Column	E_Teff	(F4.1)	? Error on Teff (upper)	[ucd=stat.error;stat.max]
#Column	e_Teff	(F4.1)	? Error on Teff (lower)	[ucd=stat.error;phys.temperature.effective]
#Column	logg	(F5.2)	? log surface gravity	[ucd=phys.gravity]
#Column	E_logg	(F5.2)	? Error on logg (upper)	[ucd=stat.error;stat.max]
#Column	e_logg	(F5.2)	? Error on logg (lower)	[ucd=stat.error]
#Column	loggc	(F5.2)	? log surface gravity centrifugal corrected	[ucd=phys.gravity]
#Column	E_loggc	(F5.2)	? Error on logg_c (upper)	[ucd=stat.error;stat.max]
#Column	e_loggc	(F5.2)	? Error on logg_c (lower)	[ucd=stat.error]
#Column	Rstar	(F5.1)	? Stellar radius	[ucd=phys.size.radius]
#Column	E_Rstar	(F4.1)	? Error on stellar radius (upper)	[ucd=stat.error;stat.max]
#Column	e_Rstar	(F4.1)	? Error on stellar radius (lower)	[ucd=stat.error]
#Column	logL	(F5.2)	? Log stellar luminosity	[ucd=phys.luminosity]
#Column	E_logL	(F5.2)	? Error on logL (upper)	[ucd=stat.error;stat.max]
#Column	e_logL	(F5.2)	? Error on logL (lower)	[ucd=stat.error]
#Column	Y	(F5.2)	? He abundance mass fraction	[ucd=phys.abund.Y]
#Column	E_Y	(F5.2)	? Error on Y (upper)	[ucd=stat.error;stat.max]
#Column	e_Y	(F5.2)	? Error on Y (lower)	[ucd=stat.error;pos.cartesian.y]
#Column	vsini	(I3)	? Projected radial velocity	[ucd=spect.dopplerVeloc]
#Column	E_vsini	(I3)	? Error on vsini (upper)	[ucd=stat.error;stat.max]
#Column	e_vsini	(I2)	? Error on vsini (lower)	[ucd=stat.error;phys.veloc.rotat]
#Column	Mspec	(F5.1)	? Spectroscopic mass	[ucd=phys.mass]
#Column	E_Mspec	(F6.1)	? Error on Mspec (upper)	[ucd=stat.error;stat.max]
#Column	e_Mspec	(F5.1)	? Error on Mspec (lower)	[ucd=stat.error]
#Column	Mevol	(F5.1)	? Evolutionary mass (2)	[ucd=phys.mass]
#Column	E_Mevol	(F4.1)	? Error on Mevol (upper)	[ucd=stat.error;stat.max]
#Column	e_Mevol	(F4.1)	? Error on Mevol (lower)	[ucd=stat.error]
#Column	Age	(F4.1)	? Stellar age	[ucd=time.age]
#Column	E_Age	(F4.1)	? Error on age (upper)	[ucd=stat.error;stat.max]
#Column	e_Age	(F4.1)	? Error on age (lower)	[ucd=stat.error;time.age]
#Column	Kmag	(F6.3)	? K-band magnitude (3)	[ucd=phot.mag;em.IR.K]
#Column	AV	(F5.2)	? Visual extinction	[ucd=phys.absorption]
#Column	Notes	(a30)	Notes (4)	[ucd=meta.note]
#Column	_RA	(F17.13)	Data from Shenar et al., 2024, Cat. J/A+A/690/A289 (right ascension part)	[ucd=pos.eq.ra;meta.main]
#Column	_DE	(F17.13)	Data from Shenar et al., 2024, Cat. J/A+A/690/A289 (declination part)	[ucd=pos.eq.dec;meta.main]
_RAJ2000	_DEJ2000	BLOeM	SpType	RV	s_RV	Teff	E_Teff	e_Teff	logg	E_logg	e_logg	loggc	E_loggc	e_loggc	Rstar	E_Rstar	e_Rstar	logL	E_logL	e_logL	Y	E_Y	e_Y	vsini	E_vsini	e_vsini	Mspec	E_Mspec	e_Mspec	Mevol	E_Mevol	e_Mevol	Age	E_Age	e_Age	Kmag	AV	Notes	_RA	_DE
011.677546414770001	-73.271559579660007	3-009	B5II             	 153	  1.4	15.8	 0.8	 0.4	 2.69	 0.14	 0.14	 2.76	 0.14	 0.14	 22.1	 5.6	 4.0	 4.44	 0.18	 0.18	 0.17	 0.07	 0.02	113	 20	19	 10.2	   8.4	  3.6	 10.7	 1.7	 1.3	16.6	 4.8	 2.8	14.536	 0.29	Post MS                       	011.6775464147700	-73.2715595796600
011.682915398949998	-73.363287942189999	3-010	O9.7V:           	  98	 24.9	33.4	 3.5	 1.2	 4.10	 0.40	 0.29	 4.11	 0.40	 0.29	  8.5	 2.1	 1.8	 4.91	 0.19	 0.16	 0.24	 0.05	 0.08	161	 29	26	 34.6	  69.8	 16.3	 20.2	 2.8	 2.1	 5.1	 1.1	 2.4	15.535	 0.62	SB1, neb                      	011.6829153989500	-73.3632879421900
011.715863137099998	-73.159055810759995	3-011	B0.5III:e        	 106	  8.6	29.9	 2.3	 2.6	 4.28	 0.16	 0.65	 4.29	 0.16	 0.65	 13.9	 3.6	 2.7	 5.14	 0.17	 0.18	 0.15	 0.09	 0.00	154	 25	24	136.7	 123.1	 80.9	 20.0	 3.8	 1.9	 6.1	 1.2	 0.9	14.392	 0.64	                              	011.7158631371000	-73.1590558107600
011.729301610180002	-73.142821738890007	3-012	sgB[e]           	 125	  3.8	    	    	    	     	     	     	     	     	     	     	    	    	     	     	     	     	     	     	   	   	  	     	      	     	     	    	    	    	    	    	11.025	     	B[e], 2MASS                   	011.7293016101800	-73.1428217388900
011.733877486280001	-73.315839692919994	3-014	O8Vn             	 156	 27.1	33.7	 3.0	 1.5	 3.74	 0.71	 0.24	 3.80	 0.71	 0.24	 10.9	 4.0	 2.7	 5.14	 0.25	 0.23	 0.39	 0.08	 0.11	251	 30	29	 27.5	 164.2	 12.8	 21.8	 3.5	 3.3	 4.7	 1.3	 1.6	14.995	 0.48	SB1                           	011.7338774862800	-73.3158396929200
011.737087585659999	-73.250049488789998	3-015	B2III            	 143	  9.4	23.5	 4.1	 4.1	 3.93	 0.29	 0.71	 3.97	 0.29	 0.71	  6.6	 3.2	 2.3	 4.07	 0.29	 0.29	 0.21	 0.15	 0.06	199	 26	26	 14.7	  33.6	  9.3	  9.0	 1.7	 1.5	14.7	 8.5	10.0	16.749	 0.35	                              	011.7370875856600	-73.2500494887900
011.738966034449998	-73.302445668239997	3-016	B2IIIe           	  82	  8.7	23.3	 6.6	 4.7	 3.30	 0.57	 0.69	 3.72	 0.57	 0.69	  5.6	 3.4	 2.7	 3.92	 0.35	 0.32	 0.21	 0.19	 0.06	356	 39	39	  6.0	  36.0	  3.9	  8.4	 1.8	 1.6	12.7	 8.2	12.7	16.790	 0.25	                              	011.7389660344500	-73.3024456682400
011.753971746580000	-73.382065228490006	3-017	B0.7II           	 144	  1.5	28.3	 1.2	 1.6	 3.30	 0.17	 0.17	 3.30	 0.17	 0.17	 16.7	 5.3	 3.4	 5.21	 0.21	 0.22	 0.31	 0.08	 0.07	 36	 14	14	 20.4	  22.2	  8.0	 19.6	 4.5	 2.9	 6.9	 1.2	 1.3	14.371	 0.48	                              	011.7539717465800	-73.3820652284900
011.767588799489999	-73.369825656629985	3-018	B1.5:II:e        	   4	  9.3	    	    	    	     	     	     	     	     	     	     	    	    	     	     	     	     	     	     	   	   	  	     	      	     	     	    	    	    	    	    	13.930	     	Be                            	011.7675887994900	-73.3698256566300
011.769775035409999	-73.132637831639997	3-019	O9.2V            	 120	  9.4	33.7	 1.5	 1.5	 3.69	 0.16	 0.11	 3.69	 0.16	 0.11	 12.2	 4.6	 2.7	 5.24	 0.25	 0.25	 0.44	 0.06	 0.08	 54	 73	18	 26.9	  32.8	  9.9	 20.9	 4.6	 3.0	 4.9	 1.0	 0.7	14.828	 0.46	SB1                           	011.7697750354100	-73.1326378316400
011.770815627550000	-73.283262483119998	3-020	B0III            	 191	 54.2	29.9	 2.3	 2.3	 3.70	 0.40	 0.29	 3.72	 0.40	 0.29	 10.1	 3.3	 2.3	 4.87	 0.22	 0.22	 0.24	 0.08	 0.08	112	 20	19	 19.3	  46.1	  9.2	 16.4	 2.5	 2.2	 7.0	 2.0	 1.4	15.412	 0.50	SB2                           	011.7708156275500	-73.2832624831200
011.773909389459995	-73.416418187350004	3-021	B1.5II           	 153	  1.3	22.5	 2.0	 2.0	 3.47	 0.34	 0.29	 3.47	 0.34	 0.29	 14.3	 4.1	 3.1	 4.67	 0.19	 0.19	 0.18	 0.14	 0.03	 36	 14	15	 22.1	  40.6	 10.4	 12.6	 1.8	 1.5	12.7	 2.9	 2.1	14.987	 0.45	SiIV 4089 too weak            	011.7739093894600	-73.4164181873500
011.797915457620000	-73.132460956399996	3-022	B2II             	 147	  4.1	22.0	 9.0	 1.9	 3.47	 0.97	 0.27	 3.52	 0.97	 0.27	 17.1	11.0	11.1	 4.79	 0.41	 0.26	 0.24	 0.14	 0.09	203	 26	25	 35.4	 595.1	 22.9	 15.0	 3.9	 3.0	 8.0	 4.2	 4.3	14.721	 0.32	neb                           	011.7979154576200	-73.1324609564000
011.802739766199998	-73.286853704590015	3-023	B3II             	 152	  1.5	20.1	 2.3	 1.9	 3.31	 0.38	 0.33	 3.32	 0.38	 0.33	 13.8	 4.2	 3.3	 4.45	 0.21	 0.20	 0.15	 0.05	 0.00	 79	 19	19	 14.7	  31.7	  7.5	 10.3	 1.7	 1.0	16.3	 4.4	 2.5	15.184	 0.49	                              	011.8027397662000	-73.2868537045900
011.806906176789997	-73.235412991079997	3-024	B5II             	 140	  1.9	14.3	 0.4	 0.8	 2.50	 0.14	 0.14	 2.53	 0.18	 0.14	 18.7	 5.0	 3.3	 4.12	 0.19	 0.19	 0.15	 0.03	 0.00	 56	 70	15	  4.4	   4.3	  1.5	  8.6	 1.1	 1.1	24.7	 8.1	 4.4	14.962	 0.33	Post MS                       	011.8069061767900	-73.2354129910800
011.810476575169998	-73.230614534750003	3-025	B2IIe            	 144	  7.0	21.3	 9.0	 3.0	 3.69	 0.76	 0.70	 3.75	 0.76	 0.70	 19.5	11.8	12.9	 4.85	 0.40	 0.21	 0.20	 0.21	 0.05	302	 32	31	 77.6	 735.6	 52.6	 16.9	 3.3	 3.3	 8.2	 3.3	 3.7	14.505	 0.76	                              	011.8104765751700	-73.2306145347500
011.825567720669994	-73.205262968710002	3-026	B1.5II-III       	 136	  7.6	23.7	 1.2	 2.0	 3.70	 0.17	 0.34	 3.71	 0.17	 0.34	 13.7	 5.1	 3.1	 4.73	 0.24	 0.25	 0.18	 0.11	 0.03	113	 20	19	 35.3	  44.2	 17.8	 12.6	 2.1	 2.0	12.9	 2.7	 2.8	15.104	 0.37	SB1                           	011.8255677206700	-73.2052629687100
011.841013323040002	-73.114042994970006	3-027	B1.5IIe          	 140	  9.2	    	    	    	     	     	     	     	     	     	     	    	    	     	     	     	     	     	     	   	   	  	     	      	     	     	    	    	    	    	    	13.614	     	Be                            	011.8410133230400	-73.1140429949700
011.857391517000000	-73.414289837189997	3-028	B0.5II           	 126	  1.4	29.9	 1.2	 2.7	 3.53	 0.11	 0.34	 3.53	 0.11	 0.34	 14.9	 4.1	 2.7	 5.20	 0.18	 0.20	 0.25	 0.08	 0.06	 32	 14	20	 27.3	  20.9	 13.1	 20.7	 3.6	 2.8	 6.4	 1.1	 1.0	14.525	 0.54	                              	011.8573915170000	-73.4142898371900
011.863455035859994	-73.215614633879994	3-029	B1.5Ib           	 135	  2.8	23.7	 1.2	 2.7	 3.13	 0.11	 0.34	 3.18	 0.12	 0.34	 19.1	 6.8	 4.1	 5.01	 0.22	 0.24	 0.20	 0.11	 0.05	153	 24	24	 20.3	  19.6	 10.1	 15.5	 3.0	 2.7	 9.6	 2.3	 1.9	14.323	 0.40	                              	011.8634550358600	-73.2156146338800
011.883061996990000	-73.185429959100006	3-030	B1II             	 143	  2.5	23.8	 1.1	 1.9	 3.12	 0.29	 0.19	 3.18	 0.29	 0.19	 17.3	 7.1	 4.1	 4.94	 0.26	 0.27	 0.24	 0.07	 0.09	153	 24	24	 16.5	  32.7	  7.1	 13.8	 3.4	 2.0	10.5	 3.2	 2.0	14.636	 0.53	                              	011.8830619969900	-73.1854299591000
011.887156732079994	-73.354547135150000	3-031	B0:III: + OBe    	-216	248.8	    	    	    	     	     	     	     	     	     	     	    	    	     	     	     	     	     	     	   	   	  	     	      	     	     	    	    	    	    	    	14.131	     	SB2, OBe                      	011.8871567320800	-73.3545471351500
011.895062499379996	-73.350857163499995	3-032	B1.5II           	 146	  1.9	22.4	 2.3	 1.9	 3.12	 0.33	 0.14	 3.12	 0.33	 0.14	 18.4	 5.6	 4.2	 4.89	 0.21	 0.20	 0.30	 0.07	 0.14	 35	 55	32	 16.4	  30.3	  6.5	 14.9	 2.1	 2.3	10.4	 2.3	 1.8	14.467	 0.42	                              	011.8950624993800	-73.3508571635000
011.897830443399998	-73.141888253480005	3-033	O9.5IV:n         	 103	  7.8	29.9	 1.9	 2.3	 3.12	 0.29	 0.29	 3.51	 0.34	 0.29	  9.6	 4.1	 2.4	 4.82	 0.27	 0.27	 0.44	 0.11	 0.17	354	134	31	 10.7	  25.8	  5.3	 15.6	 2.2	 2.2	 7.4	 2.1	 1.9	15.517	 0.33	SB1, neb                      	011.8978304434000	-73.1418882534800
011.900639256510001	-73.245636786239999	3-034	B0III            	 150	  8.2	29.9	 1.5	 2.6	 3.50	 0.14	 0.29	 3.52	 0.14	 0.29	 13.6	 3.6	 2.5	 5.13	 0.17	 0.19	 0.26	 0.08	 0.06	112	 20	19	 22.3	  18.8	 10.1	 19.8	 3.1	 2.5	 6.6	 1.2	 1.0	14.734	 0.83	SB1                           	011.9006392565100	-73.2456367862400
011.902600631589999	-73.380377494680005	3-035	B2IIe            	 162	  9.6	28.4	 3.0	 6.5	 3.69	 0.62	 0.43	 3.80	 0.62	 0.43	  6.8	 6.6	 2.5	 4.43	 0.46	 0.49	 0.20	 0.13	 0.05	256	 33	31	 10.7	 112.0	  6.3	  9.6	 3.5	 2.1	 8.1	 6.8	 8.1	16.355	 0.47	                              	011.9026006315900	-73.3803774946800
011.907578553700001	-73.150464354959993	3-036	B0.7III-II       	 142	  1.5	28.3	 2.7	 1.2	 3.53	 0.46	 0.17	 3.53	 0.46	 0.17	 11.2	 4.5	 2.9	 4.86	 0.26	 0.25	 0.32	 0.08	 0.09	 25	 12	20	 15.4	  49.3	  6.7	 15.0	 3.0	 2.0	 7.9	 1.9	 1.8	15.293	 0.39	neb                           	011.9075785537000	-73.1504643549600
011.912104170599999	-73.381632227110003	3-037	B3Ia             	 166	  3.3	16.9	 0.4	 1.5	 2.31	 0.14	 0.33	 2.32	 0.15	 0.33	 69.1	18.0	11.7	 5.55	 0.17	 0.19	 0.18	 0.09	 0.03	 55	 77	13	 36.6	  32.1	 17.2	 24.1	 9.7	 1.3	 5.2	 1.1	 1.0	11.957	 0.89	lpv/SB1, Post MS, 2MASS       	011.9121041706000	-73.3816322271100
011.943453166299996	-73.208563123999994	3-039	B3Ib             	 143	  3.1	15.0	 1.5	 0.8	 2.31	 0.33	 0.14	 2.33	 0.35	 0.14	 39.5	10.8	 8.8	 4.86	 0.20	 0.18	 0.18	 0.06	 0.03	 55	 77	13	 12.3	  22.1	  4.8	 15.2	 2.3	 2.3	10.4	 2.5	 1.9	13.225	 0.28	lpv/SB1, Post MS              	011.9434531663000	-73.2085631240000
011.949388234369998	-73.257171117390001	3-040	B2II:e           	   1	 10.3	    	    	    	     	     	     	     	     	     	     	    	    	     	     	     	     	     	     	   	   	  	     	      	     	     	    	    	    	    	    	14.023	     	Be                            	011.9493882343700	-73.2571711173900
011.957699541939997	-73.210427429440003	3-041	B8Ib             	 148	  1.6	14.3	 0.4	 1.1	 2.31	 0.14	 0.33	 2.31	 0.14	 0.33	 41.1	12.3	 7.7	 4.80	 0.20	 0.21	 0.18	 0.09	 0.03	 21	 12	10	 12.6	  11.8	  6.1	 14.2	 2.5	 2.1	11.1	 3.2	 2.2	13.280	 0.47	Post MS                       	011.9576995419400	-73.2104274294400
011.958547730319999	-73.139187305470003	3-042	O6I(f) + O7.5    	 174	  5.6	37.7	 1.5	 3.3	 4.40	 0.10	 0.71	 4.40	 0.10	 0.71	 26.6	 6.7	 4.5	 6.11	 0.16	 0.18	 0.36	 0.07	 0.05	153	 24	24	647.2	 440.7	388.6	 59.8	14.1	11.9	 3.0	 0.4	 0.4	12.942	 0.45	SB2, H2021, 2MASS             	011.9585477303200	-73.1391873054700
011.974569136479998	-73.356029673919991	3-044	B1Ib             	 139	  1.5	23.8	 0.8	 1.5	 2.88	 0.33	 0.14	 2.89	 0.34	 0.14	 21.7	 5.1	 3.5	 5.13	 0.16	 0.17	 0.30	 0.06	 0.14	 55	 77	13	 13.4	  21.5	  4.6	 18.3	 3.3	 2.3	 7.8	 2.0	 1.0	13.945	 0.45	                              	011.9745691364800	-73.3560296739200
011.979529317970000	-73.175501929150002	3-046	O8.5V(n)         	 145	 19.6	31.8	 2.3	 1.5	 3.31	 0.48	 0.19	 3.43	 0.48	 0.19	 14.0	 3.6	 2.7	 5.25	 0.18	 0.18	 0.47	 0.08	 0.13	250	 30	30	 19.1	  49.3	  7.7	 24.2	 2.6	 3.8	 5.1	 1.0	 0.7	14.505	 0.51	SB1, neb                      	011.9795293179700	-73.1755019291500
011.979786997450001	-73.184964006409999	3-047	B1II             	 137	  6.7	26.8	 2.7	 3.1	 3.53	 0.29	 0.23	 3.54	 0.29	 0.23	 17.9	 7.4	 4.7	 5.17	 0.26	 0.26	 0.18	 0.07	 0.03	113	 20	19	 40.5	  80.7	 19.1	 18.1	 4.4	 3.5	 7.1	 2.0	 1.5	14.315	 0.42	                              	011.9797869974500	-73.1849640064100
011.985717268360000	-73.392829108550004	3-048	B0.5III          	 152	  3.8	28.0	 3.0	 3.0	 3.55	 0.48	 0.19	 3.59	 0.48	 0.19	 10.3	 3.6	 2.6	 4.77	 0.22	 0.23	 0.24	 0.09	 0.09	153	 24	24	 14.9	  46.1	  6.6	 15.2	 2.2	 2.1	 8.4	 2.5	 2.3	15.435	 0.49	                              	011.9857172683600	-73.3928291085500
011.992299782429999	-73.432237342460013	3-049	O4I(n)           	 154	  7.0	44.8	 4.4	 3.7	 4.09	 0.41	 0.36	 4.11	 0.41	 0.36	  9.3	 4.0	 2.5	 5.50	 0.27	 0.27	 0.55	 0.00	 0.08	153	 24	25	 40.6	 119.2	 21.5	 35.8	 8.2	 7.7	 1.9	 0.6	 1.8	15.092	 0.39	SB1                           	011.9922997824300	-73.4322373424600
011.994687349710002	-73.241169880059999	3-050	B1.5III          	 166	 24.9	23.7	 6.2	 3.1	 3.70	 0.51	 0.40	 3.74	 0.51	 0.40	 11.8	 6.2	 5.4	 4.59	 0.33	 0.27	 0.20	 0.14	 0.05	201	 25	24	 27.9	 128.5	 17.1	 12.7	 2.9	 2.4	 9.8	 5.2	 5.1	15.462	 0.34	SB1                           	011.9946873497100	-73.2411698800600
012.011007075949999	-73.277419616890015	3-051	O5.5:V           	 151	  7.4	37.6	 3.5	 1.5	 4.12	 0.38	 0.43	 4.13	 0.38	 0.43	 11.9	 3.1	 2.5	 5.40	 0.19	 0.17	 0.34	 0.08	 0.08	156	 26	25	 69.3	 134.6	 36.8	 30.5	 5.0	 4.4	 3.5	 0.7	 1.2	14.831	 0.54	SB1, NIV 4057 too strong, neb 	012.0110070759500	-73.2774196168900
012.012352408810001	-73.270143349099996	3-052	O7V: + O7.5      	 108	 11.7	35.4	 2.7	 1.6	 3.30	 0.29	 0.17	 3.52	 0.29	 0.17	 10.3	 3.7	 2.4	 5.18	 0.24	 0.23	 0.45	 0.08	 0.13	301	 28	27	 12.7	  22.7	  5.3	 22.7	 3.5	 3.2	 4.3	 1.1	 1.9	15.061	 0.43	SB2, HI poor fits, neb        	012.0123524088100	-73.2701433491000
012.038575701410000	-73.237780669979998	3-053	O7.5V(n)         	 101	  1.5	35.5	 2.3	 3.0	 4.12	 0.38	 0.65	 4.15	 0.38	 0.65	 11.5	 4.1	 2.6	 5.28	 0.23	 0.24	 0.34	 0.11	 0.08	252	 29	29	 67.5	 158.9	 40.4	 23.9	 3.6	 4.1	 4.3	 1.3	 1.1	14.803	 0.53	neb                           	012.0385757014100	-73.2377806699800
012.044538415030003	-73.330569842339997	3-054	O6V(n)           	 158	  5.8	37.8	 1.9	 3.4	 4.50	 0.00	 0.59	 4.51	 0.00	 0.59	  9.7	 2.8	 1.9	 5.23	 0.19	 0.21	 0.30	 0.07	 0.14	203	 26	25	109.5	  51.7	 63.3	 25.1	 3.7	 3.4	 3.7	 1.4	 1.2	15.030	 0.55	SB2, neb                      	012.0445384150300	-73.3305698423400
012.048198324490000	-73.213931815400002	3-055	B0.5IV           	 141	  1.5	29.9	 1.2	 3.9	 4.10	 0.23	 0.40	 4.10	 0.23	 0.40	 10.5	 4.6	 2.5	 4.90	 0.26	 0.28	 0.24	 0.09	 0.07	 53	 19	22	 51.0	  88.0	 27.1	 14.5	 3.2	 2.1	 7.9	 2.5	 1.5	15.425	 0.40	                              	012.0481983244900	-73.2139318154000
012.048216216680002	-73.144867515629997	3-056	B1.5Ib           	  57	 65.1	23.8	 1.1	 1.9	 3.31	 0.33	 0.19	 3.33	 0.33	 0.19	 17.3	 6.5	 3.9	 4.94	 0.24	 0.25	 0.20	 0.08	 0.05	113	 20	19	 23.5	  50.2	 10.0	 14.0	 3.3	 1.9	10.7	 2.5	 2.2	14.575	 0.38	SB1, SiIV 4089 too weak, neb  	012.0482162166800	-73.1448675156300
012.049588781390000	-73.419506550259996	3-057	B1II             	 187	 11.0	23.7	 1.2	 1.2	 3.53	 0.23	 0.34	 3.53	 0.23	 0.34	 11.2	 3.7	 2.4	 4.55	 0.23	 0.23	 0.15	 0.13	 0.00	 55	 75	14	 15.7	  22.0	  7.8	 11.7	 1.6	 1.6	13.8	 3.0	 2.3	15.530	 0.39	SB1, SiIV 4089 too weak       	012.0495887813900	-73.4195065502600
012.076165237140003	-73.123653221490002	3-059	B1II             	 143	 11.1	23.8	 3.4	 3.0	 3.31	 0.38	 0.29	 3.37	 0.38	 0.29	 19.6	 8.4	 6.0	 5.04	 0.27	 0.26	 0.24	 0.08	 0.09	201	 24	24	 32.7	  88.6	 17.0	 16.7	 3.0	 3.4	 8.7	 2.3	 2.2	14.305	 0.38	SB1                           	012.0761652371400	-73.1236532214900
012.078854155840000	-73.454199309179998	3-060	O6Vn:            	 176	  7.4	37.8	 2.6	 3.4	 3.69	 0.38	 0.49	 3.80	 0.38	 0.49	  9.3	 3.9	 2.3	 5.20	 0.26	 0.27	 0.40	 0.15	 0.09	302	 28	28	 19.8	  52.4	 11.2	 24.5	 3.2	 4.7	 3.6	 1.4	 2.3	15.295	 0.40	                              	012.0788541558400	-73.4541993091800
012.079033216069996	-73.249761267720004	3-061	B3Ib             	 120	  1.8	16.9	 1.9	 1.1	 2.50	 0.24	 0.29	 2.51	 0.24	 0.29	 37.6	11.1	 9.0	 5.02	 0.21	 0.19	 0.20	 0.10	 0.03	 38	 12	11	 16.6	  21.9	  8.1	 16.7	 3.8	 2.1	 9.0	 1.9	 1.8	13.205	 0.48	Post MS                       	012.0790332160700	-73.2497612677200
012.100615701489998	-73.113631354380004	3-062	O9.7IIe          	 138	  7.5	    	    	    	     	     	     	     	     	     	     	    	    	     	     	     	     	     	     	   	   	  	     	      	     	     	    	    	    	    	    	14.457	     	Oe                            	012.1006157014900	-73.1136313543800
012.106366146419999	-73.146632992940013	3-063	O9.2II(n)        	 161	  3.6	29.9	 1.5	 1.1	 3.12	 0.14	 0.19	 3.30	 0.15	 0.19	 13.6	 4.7	 2.9	 5.12	 0.23	 0.23	 0.40	 0.09	 0.09	250	 30	30	 13.3	  14.3	  5.6	 18.9	 3.7	 2.7	 6.7	 1.0	 1.1	14.715	 0.41	                              	012.1063661464200	-73.1466329929400
012.109076416510002	-73.398496907739997	3-064	B3II             	 135	  1.8	15.8	 2.3	 0.4	 3.12	 0.24	 0.52	 3.14	 0.25	 0.52	 16.6	 5.3	 4.6	 4.19	 0.23	 0.19	 0.18	 0.06	 0.03	 77	 97	20	 13.8	  19.6	  8.1	  8.4	 1.1	 0.9	26.2	 6.0	 5.3	15.180	 0.29	                              	012.1090764165100	-73.3984969077400
012.118903686149999	-73.241448966190006	3-065	B0.7II           	 140	  1.2	28.3	 2.3	 1.6	 3.30	 0.34	 0.17	 3.31	 0.34	 0.17	 14.6	 5.4	 3.5	 5.10	 0.25	 0.24	 0.39	 0.08	 0.09	 55	 75	15	 15.8	  34.6	  6.7	 18.0	 3.6	 2.9	 7.0	 1.5	 1.3	14.675	 0.45	neb                           	012.1189036861500	-73.2414489661900
012.138119758729999	-73.409514874650000	3-066	O7III:           	 152	 10.8	37.5	 1.9	 3.4	 3.93	 0.24	 0.52	 3.93	 0.24	 0.52	 11.2	 4.8	 2.7	 5.35	 0.27	 0.28	 0.31	 0.07	 0.05	 70	 19	20	 39.1	  69.1	 22.4	 24.3	 5.1	 4.2	 3.6	 1.4	 1.0	14.942	 0.40	SB1                           	012.1381197587300	-73.4095148746500
012.144885071050000	-73.114752102750018	3-067	B0.2IV           	 139	 37.5	26.1	 3.0	 5.3	 3.31	 0.33	 0.48	 3.57	 0.34	 0.48	 10.8	 5.7	 3.2	 4.68	 0.28	 0.33	 0.24	 0.16	 0.09	355	 36	37	 15.8	  44.5	  9.1	 12.8	 2.6	 2.2	 9.4	 5.3	 2.9	15.454	 0.26	SB2                           	012.1448850710500	-73.1147521027500
