#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-09-25T16:56:05 [V7.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-09-25T16:56:06	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-source=J/A+A/692/A245/table&-out.max=unlimited&-out.all=2&-out.add=_RAJ2000,_DEJ2000	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_36920245
#Name: J/A+A/692/A245
#Title: Hot massive stars parameters (Serebriakova+, 2024)
#INFO	ivoid=ivo://cds.vizier/j/a+a/692/a245	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/a+a/692/a245	    IVOID of underlying data collection
#INFO	creator=Serebriakova N.	    First author or institution
#INFO	cites=bibcode:2024A&A...692A.245S	    Article or Data origin sources
#INFO	journal=A&A	    Journal name
#INFO	original_date=2024	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/A+A/692/A245	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.36920245	    Dataset identifier that can be used for citation
#INFO	publication_date=2025-02-26	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_A_A_692_A245_table:
#Name: J/A+A/692/A245/table
#Title: *Relevant parameters of the sample
#Column	_RAJ2000	(F11.7)	Right ascension (FK5, Equinox=J2000.0) (computed by VizieR, not part of the original data. The format may include more digits than the original data because of internal accuracy requirements in VizieR and across other CDS services)	[ucd=pos.eq.ra]
#Column	_DEJ2000	(F11.7)	Declination (FK5, Equinox=J2000.0) (computed by VizieR, not part of the original data. The format may include more digits than the original data because of internal accuracy requirements in VizieR and across other CDS services)	[ucd=pos.eq.dec]
#Column	Name	(a23)	Object name	[ucd=meta.id;meta.main]
#Column	Teff	(I5)	Effective temperature (rounded) (1)	[ucd=phys.temperature.effective]
#Column	e_Teff	(I4)	Error in effective temperature (1)	[ucd=stat.error;phys.temperature.effective]
#Column	logg	(F5.2)	Log10 Surface gravity (1)	[ucd=phys.gravity]
#Column	e_logg	(F5.2)	Error in logg (1)	[ucd=stat.error]
#Column	Vsini-sp	(F5.1)	Projected rotational velocity (1) (2)	[ucd=phys.veloc.rotat]
#Column	e_Vsini-sp	(F4.1)	Error in Vsini-sp (1)	[ucd=stat.error]
#Column	Vsini-fourier	(F5.1)	? Projected rotational velocity (Fourier) (3)	[ucd=phys.veloc.rotat]
#Column	e_Vsini-fourier	(F4.1)	? Error in Vsini-fourier	[ucd=stat.error]
#Column	Vmacro	(F5.1)	? Macroturbulent velocity	[ucd=phys.veloc.microTurb]
#Column	e_Vmacro	(F5.1)	? Error in Vmacro	[ucd=stat.error]
#Column	Ls	(F5.2)	Log10 Spectroscopic luminosity Teff^4/g	[ucd=phys.luminosity]
#Column	e_Ls	(F5.2)	Error in Ls	[ucd=stat.error]
#Column	Samp	(A3)	Sample (4)	[ucd=src.sample]
#Column	SimbadName	(a23)	Simbad column added by the CDS	[ucd=meta.id]
#Column	_RA	(F9.5)	Right Ascension (J2000) from SIMBAD (not part of the original data)	[ucd=pos.eq.ra;meta.main]
#Column	_DE	(F9.5)	Declination (J2000) from SIMBAD (not part of the original data)	[ucd=pos.eq.dec;meta.main]
_RAJ2000	_DEJ2000	Name	Teff	e_Teff	logg	e_logg	Vsini-sp	e_Vsini-sp	Vsini-fourier	e_Vsini-fourier	Vmacro	e_Vmacro	Ls	e_Ls	Samp	SimbadName	_RA	_DE
074.2867703	-66.3903336	HD_268726              	17290	1490	 2.05	 0.21	 60.0	14.2	 48.4	15.4	 35.8	 58.8	 4.28	 0.26	S23	HD 268726              	074.28677	-66.39033
075.7867344	-66.9596808	HD_268907              	16430	 950	 1.96	 0.20	 64.5	15.3	 38.5	 5.8	 42.0	  3.9	 4.29	 0.22	S23	HD 268907              	075.78673	-66.95968
073.3751414	-66.9244969	HD_268653              	18090	 940	 2.12	 0.15	 54.0	 9.0	 39.3	 8.4	 40.0	  7.1	 4.29	 0.18	S23	HD 268653              	073.37514	-66.92450
073.4303469	-68.7148025	HD_268729              	16420	 780	 1.95	 0.20	 53.5	10.4	 52.8	 8.1	 46.3	  3.6	 4.29	 0.22	S23	HD 268729              	073.43035	-68.71480
079.2734878	-70.3230672	HD_269314              	22560	 660	 2.48	 0.20	 95.5	14.3	 78.6	12.2	 75.1	 32.4	 4.32	 0.21	S23	HD 269314              	079.27349	-70.32307
072.3016592	-69.4565314	HD_268654              	16580	 880	 1.94	 0.20	 80.0	18.7	 37.5	 5.7	 45.3	  2.1	 4.32	 0.22	S23	HD 268654              	072.30166	-69.45653
084.6780669	-69.0951717	RMC_142                	22180	 650	 2.43	 0.20	 65.0	10.4	 55.2	 8.7	 51.2	 12.7	 4.34	 0.21	S23	RMC 142                	084.67807	-69.09517
087.8365806	-70.2859167	HD_270196              	22000	 650	 2.39	 0.20	 54.5	 8.5	 53.6	10.6	 39.4	  0.0	 4.36	 0.21	S23	HD 270196              	087.83658	-70.28592
084.6904439	-69.1062444	CPD-69_457             	23000	 600	 2.46	 0.20	 68.5	10.8	 68.3	12.7	 67.6	  3.2	 4.37	 0.21	S23	CPD-69 457             	084.69044	-69.10624
076.2090667	-68.1312136	CPD-68_309             	19290	 630	 2.12	 0.20	 46.5	 7.8	 50.4	 4.9	 40.5	  0.9	 4.40	 0.21	S23	CPD-68 309             	076.20907	-68.13121
082.6576958	-68.4108878	HD_269655              	21780	 780	 2.33	 0.20	 73.0	11.0	 64.2	15.7	 49.9	  7.5	 4.41	 0.21	S23	HD 269655              	082.65770	-68.41089
084.0187917	-69.4023108	HD_269832              	17580	 730	 1.92	 0.20	 96.0	21.3	 49.7	19.5	 37.1	  0.1	 4.44	 0.21	S23	HD 269832              	084.01879	-69.40231
082.9678408	-68.5441272	HD_269700              	23010	 660	 2.38	 0.20	101.5	13.9	 67.7	19.1	 45.4	  0.3	 4.45	 0.21	S23	HD 269700              	082.96784	-68.54413
079.4836394	-69.2677250	HD_269321              	20000	 800	 2.13	 0.20	 78.0	16.4	 35.3	 7.6	 33.2	  3.5	 4.46	 0.21	S23	HD 269321              	079.48364	-69.26772
082.9678408	-68.5441272	HD_269700              	18000	 780	 1.92	 0.20	 80.5	19.5	 43.4	 5.1	 48.2	  2.6	 4.48	 0.21	S23	HD 269700              	082.96784	-68.54413
083.9103092	-68.9469453	W61_27-5               	20760	 860	 2.12	 0.20	 56.0	 8.4	 45.0	 3.8	 41.9	 10.3	 4.53	 0.21	S23	W61 27-5               	083.91031	-68.94695
082.6990639	-71.0673125	HD_269660              	19460	 700	 2.00	 0.20	 50.0	11.5	 47.5	10.0	 33.2	  9.8	 4.54	 0.21	S23	HD 269660              	082.69906	-71.06731
077.4950169	-69.1171622	SK_-69_68              	21660	 760	 2.18	 0.20	 70.5	10.4	 72.5	 7.2	 85.6	  4.2	 4.55	 0.21	S23	SK -69 68              	077.49502	-69.11716
074.2835661	-68.4200817	HD_268798              	20250	1210	 2.04	 0.18	 56.0	 8.8	 49.2	 7.8	 47.4	  5.5	 4.57	 0.21	S23	HD 268798              	074.28357	-68.42008
074.0435736	-69.2606386	HD_268809              	21480	 730	 2.13	 0.20	 58.5	 8.7	 50.1	 9.8	 51.2	 17.3	 4.58	 0.21	S23	HD 268809              	074.04357	-69.26064
080.0238217	-67.3529497	SK_-67_76              	21860	1040	 2.11	 0.20	 82.5	14.2	 61.6	 8.4	 65.3	  1.7	 4.63	 0.22	S23	SK -67 76              	080.02382	-67.35295
084.1966147	-69.4978028	HD_269859              	22000	 770	 2.10	 0.20	 52.5	 8.5	 41.9	 5.6	 35.8	 16.7	 4.65	 0.21	S23	HD 269859              	084.19661	-69.49780
060.6059836	-70.2721281	HD_26109               	10026	  37	 4.44	 0.03	108.0	41.0	     	    	 51.3	150.7	 0.95	 0.03	G22	HD 26109               	060.60598	-70.27213
333.2892744	-21.4059969	HD_210780              	 9391	  53	 4.24	 0.03	173.0	16.0	     	    	     	     	 1.03	 0.03	G22	HD 210780              	333.28927	-21.40600
356.7158922	-24.2936186	HD_223118              	10840	  25	 4.43	 0.02	261.0	11.0	314.2	 1.6	     	     	 1.09	 0.02	G22	HD 223118              	356.71589	-24.29362
329.4632139	-47.5468539	HD_208495              	10430	  39	 4.28	 0.03	 70.0	 5.0	 72.3	 4.0	  9.8	 52.6	 1.18	 0.03	G22	HD 208495              	329.46321	-47.54685
099.9089561	-78.4404433	HD_49835               	10650	  28	 4.29	 0.02	231.0	16.0	     	    	     	     	 1.20	 0.02	G22	HD 49835               	099.90896	-78.44044
100.6064383	-67.8430992	HD_49306               	10984	  31	 4.28	 0.02	260.0	10.0	272.8	29.4	     	     	 1.27	 0.02	G22	HD 49306               	100.60644	-67.84310
119.4548986	-60.6836375	CD-60_1954             	10997	  30	 4.28	 0.02	193.0	 8.0	199.8	24.3	 22.1	 98.8	 1.27	 0.02	G22	CD-60 1954             	119.45490	-60.68364
329.6600872	-32.3554639	HD_208674              	10443	  24	 4.19	 0.02	141.0	 7.0	164.2	 3.5	 16.1	 81.6	 1.27	 0.02	G22	HD 208674              	329.66009	-32.35546
113.6764831	-61.0828036	HD_61267               	10765	  27	 4.22	 0.02	157.0	 9.0	179.1	 2.6	  6.8	 68.7	 1.29	 0.02	G22	HD 61267               	113.67648	-61.08280
100.9624564	-54.1820500	HD_49111               	10668	  21	 4.20	 0.02	172.0	 8.0	197.2	 3.2	     	     	 1.30	 0.02	G22	HD 49111               	100.96246	-54.18205
074.9044764	-60.9541275	HD_32493               	 8393	 125	 3.78	 0.11	 14.0	 5.0	 14.2	 1.4	 13.4	  3.2	 1.30	 0.11	G22	HD 32493               	074.90448	-60.95413
337.5656050	-42.2910675	HD_213155              	10169	  37	 4.09	 0.03	 94.0	 7.0	     	    	 20.0	 46.4	 1.32	 0.03	G22	HD 213155              	337.56560	-42.29107
069.2052100	-66.4306947	HD_29794               	10521	  28	 4.12	 0.02	128.0	 8.0	     	    	 13.2	 30.6	 1.35	 0.02	G22	HD 29794               	069.20521	-66.43069
099.1674919	-58.4088844	HD_47770               	10392	  22	 4.08	 0.02	153.0	 7.0	172.7	 5.4	 10.5	 67.0	 1.37	 0.02	G22	HD 47770               	099.16749	-58.40888
101.2169644	-59.3038517	HD_49494               	11539	  63	 4.24	 0.03	 41.0	 4.0	 31.6	 1.5	 31.7	 24.0	 1.39	 0.03	G22	HD 49494               	101.21696	-59.30385
010.8383756	-57.4630636	HD_4150                	10243	  24	 4.00	 0.02	115.0	 6.0	117.1	 7.2	 15.5	 37.9	 1.42	 0.02	G22	HD 4150                	010.83838	-57.46306
348.0545939	-70.1131989	HD_218801              	10862	  40	 4.10	 0.03	111.0	 7.0	119.7	 9.2	 10.5	 26.8	 1.43	 0.03	G22	HD 218801              	348.05459	-70.11320
083.2484789	-75.2367844	HD_37854               	10870	  32	 4.10	 0.02	166.0	 8.0	181.0	 6.9	 14.3	 84.7	 1.43	 0.02	G22	HD 37854               	083.24848	-75.23678
120.9582117	-64.6291678	HD_67420               	11024	  38	 4.12	 0.03	132.0	 9.0	139.3	 9.3	 18.1	 98.5	 1.43	 0.03	G22	HD 67420               	120.95821	-64.62917
098.5601614	-63.9181075	HD_47478               	11063	  43	 4.11	 0.02	146.0	10.0	166.6	 3.2	  6.9	 17.2	 1.45	 0.02	G22	HD 47478               	098.56016	-63.91811
101.0598450	-67.7026044	HD_49692               	11089	  37	 4.11	 0.02	246.0	12.0	254.2	28.2	     	     	 1.45	 0.02	G22	HD 49692               	101.05984	-67.70260
082.2870478	-70.8254831	HD_37027               	10465	  28	 3.99	 0.02	108.0	 5.0	102.2	14.0	 16.0	 36.8	 1.47	 0.02	G22	HD 37027               	082.28705	-70.82548
094.4574556	-64.0302217	HD_44577               	11095	  32	 4.09	 0.02	231.0	14.0	247.8	 9.8	     	     	 1.47	 0.02	G22	HD 44577               	094.45746	-64.03022
100.7113861	-56.0160731	HD_48971               	10512	  25	 3.98	 0.02	114.0	 6.0	118.3	 8.9	 11.4	 30.8	 1.49	 0.02	G22	HD 48971               	100.71139	-56.01607
120.5929275	-67.7948875	HD_67252               	11237	  44	 4.09	 0.02	112.0	12.0	114.2	 8.8	 13.7	 29.1	 1.50	 0.02	G22	HD 67252               	120.59293	-67.79489
087.5699406	-79.3613611	HD_40953               	11292	  30	 4.09	 0.02	248.0	 9.0	225.2	21.1	     	     	 1.50	 0.02	G22	HD 40953               	087.56994	-79.36136
099.9233814	-65.2744108	HD_48654               	11832	  43	 4.17	 0.02	182.0	 8.0	181.4	31.1	 12.5	142.2	 1.51	 0.02	G22	HD 48654               	099.92338	-65.27441
088.2491786	-68.4426131	HD_40435               	 9303	  65	 3.75	 0.07	 66.0	 5.0	 72.2	 4.7	  4.7	 40.1	 1.51	 0.07	G22	HD 40435               	088.24918	-68.44261
129.0862417	-70.6766633	HD_73990               	10998	  29	 4.04	 0.02	126.0	 7.0	133.8	 0.3	 13.8	 34.2	 1.51	 0.02	G22	HD 73990               	129.08624	-70.67666
084.1032317	-64.7783478	HD_37796               	10049	  31	 3.87	 0.03	 83.0	 5.0	 86.1	 7.2	     	     	 1.52	 0.03	G22	HD 37796               	084.10323	-64.77835
075.2893494	-74.3408464	HD_33244               	11213	  30	 4.04	 0.02	214.0	 7.0	185.2	11.3	 48.8	154.5	 1.54	 0.02	G22	HD 33244               	075.28935	-74.34085
096.4016222	-62.1676161	HD_45835               	11626	  54	 4.10	 0.03	132.0	11.0	121.4	10.9	 15.6	 55.0	 1.54	 0.03	G22	HD 45835               	096.40162	-62.16762
121.6475647	-68.6173942	HD_68221               	11302	  42	 4.05	 0.03	162.0	13.0	133.2	 8.5	 17.1	114.6	 1.55	 0.03	G22	HD 68221               	121.64756	-68.61739
117.4207964	-66.1959733	HD_64484               	10979	  31	 3.99	 0.02	150.0	 6.0	     	    	 32.1	143.4	 1.56	 0.02	G22	HD 64484               	117.42080	-66.19597
335.4080436	-28.7726733	HD_211993              	11151	  39	 4.01	 0.03	173.0	10.0	     	    	 15.8	 85.2	 1.56	 0.03	G22	HD 211993              	335.40804	-28.77267
110.7054172	-66.5388525	HD_58916               	10951	  28	 3.97	 0.02	230.0	10.0	242.1	50.1	     	     	 1.57	 0.02	G22	HD 58916               	110.70542	-66.53885
100.7776861	-69.2977783	HD_49531               	11284	  47	 4.02	 0.03	220.0	12.0	     	    	     	     	 1.57	 0.03	G22	HD 49531               	100.77769	-69.29778
100.8213989	-66.5010167	HD_49424               	11898	  56	 4.10	 0.03	 73.0	 5.0	 70.1	 5.1	 25.9	 29.6	 1.59	 0.03	G22	HD 49424               	100.82140	-66.50102
117.1608569	-63.6888703	HD_64186               	11724	  50	 4.07	 0.02	 95.0	 6.0	 86.8	12.4	 43.9	 51.4	 1.59	 0.02	G22	HD 64186               	117.16086	-63.68887
116.5027158	-69.4979772	HD_63928               	10959	  51	 3.95	 0.03	 60.0	 5.0	 53.1	 1.0	 22.7	 53.1	 1.59	 0.03	G22	HD 63928               	116.50272	-69.49798
111.9538444	-63.5534408	HD_59873               	10341	  38	 3.83	 0.03	 33.0	 2.0	 28.4	 2.0	 14.4	  6.2	 1.61	 0.03	G22	HD 59873               	111.95384	-63.55344
110.9664725	-70.7725894	HD_59426               	10778	 121	 3.89	 0.07	 13.0	 4.0	     	    	 30.8	 45.5	 1.62	 0.07	G22	HD 59426               	110.96647	-70.77259
086.3680356	-60.7218822	HD_38974               	11692	  48	 4.02	 0.02	263.0	11.0	262.5	23.5	     	     	 1.63	 0.02	G22	HD 38974               	086.36804	-60.72188
108.3161036	-64.8734931	HD_56644               	10986	  37	 3.91	 0.03	 54.0	 4.0	 53.0	 2.8	 16.1	 11.4	 1.64	 0.03	G22	HD 56644               	108.31610	-64.87349
099.2899347	-70.9177133	HD_48467               	11614	  44	 3.98	 0.02	 96.0	 4.0	106.6	 2.1	 12.7	 75.3	 1.66	 0.02	G22	HD 48467               	099.28993	-70.91771
097.6155117	-68.9476856	HD_46976               	11233	  34	 3.91	 0.02	151.0	 8.0	150.6	27.2	  5.4	 65.0	 1.68	 0.02	G22	HD 46976               	097.61551	-68.94769
071.5055311	-70.1610944	HD_30956               	11753	  60	 3.98	 0.03	206.0	10.0	     	    	 22.6	132.3	 1.68	 0.03	G22	HD 30956               	071.50553	-70.16109
114.1451033	-64.2144839	HD_61765               	13284	  81	 4.18	 0.03	 13.0	 2.0	     	    	 16.9	 10.3	 1.70	 0.03	G22	HD 61765               	114.14510	-64.21448
078.3547369	-65.2361061	HD_34543               	11750	  46	 3.96	 0.02	252.0	11.0	263.0	 4.2	     	     	 1.70	 0.02	G22	HD 34543               	078.35474	-65.23611
109.3106281	-59.6336011	HD_57360               	10240	  31	 3.68	 0.03	113.0	 7.0	124.4	 5.6	 10.6	 21.7	 1.74	 0.03	G22	HD 57360               	109.31063	-59.63360
095.2411994	-58.3520750	HD_44937               	10746	  34	 3.76	 0.02	212.0	 9.0	280.3	 2.6	     	     	 1.75	 0.02	G22	HD 44937               	095.24120	-58.35207
317.1720231	-37.2426956	HD_201108              	12216	  64	 3.97	 0.03	125.0	11.0	     	    	 13.4	 29.0	 1.76	 0.03	G22	HD 201108              	317.17202	-37.24270
119.1966550	-60.8408489	CD-60_1929             	11833	  49	 3.90	 0.02	 64.0	 4.0	 56.2	 3.9	 14.4	 14.9	 1.78	 0.02	G22	CD-60 1929             	119.19665	-60.84085
097.9929589	-58.7538364	HD_46860A              	11081	  31	 3.76	 0.02	203.0	 8.0	206.5	20.5	     	     	 1.80	 0.02	G22	HD 46860A              	097.99296	-58.75384
099.6522414	-63.5498311	HD_48360               	13832	  98	 4.14	 0.03	 45.0	14.0	 42.4	 4.7	     	     	 1.81	 0.03	G22	HD 48360               	099.65224	-63.54983
096.8068542	-73.2283567	HD_46668               	11720	  68	 3.85	 0.04	 70.0	 6.0	 65.9	 6.9	 14.3	 21.1	 1.81	 0.04	G22	HD 46668               	096.80685	-73.22836
090.0118400	-61.8279967	HD_41297               	12740	  95	 3.97	 0.04	 29.0	 7.0	 28.4	 1.6	  7.0	  7.8	 1.83	 0.04	G22	HD 41297               	090.01184	-61.82800
109.7162633	-65.8384228	HD_57970               	11926	  59	 3.85	 0.03	 70.0	 5.0	 72.1	 6.0	 14.9	 30.0	 1.84	 0.03	G22	HD 57970               	109.71626	-65.83842
095.5190019	-69.2732289	HD_45527               	11700	  83	 3.79	 0.05	 53.0	 5.0	 48.2	 3.5	 17.2	 30.7	 1.87	 0.05	G22	HD 45527               	095.51900	-69.27323
119.6280589	-60.7290647	CD-60_1978             	11489	  73	 3.75	 0.04	 85.0	 7.0	 86.2	 5.1	  8.3	 52.2	 1.87	 0.04	G22	CD-60 1978             	119.62806	-60.72906
122.1026664	-63.8008208	HD_68423               	13350	  93	 4.00	 0.03	  6.0	 2.0	     	    	 10.8	  3.6	 1.89	 0.03	G22	HD 68423               	122.10267	-63.80082
119.2278358	-60.5984714	CD-60_1931             	12254	  59	 3.83	 0.03	178.0	11.0	195.8	 1.3	  3.5	 36.8	 1.91	 0.03	G22	CD-60 1931             	119.22784	-60.59847
120.2929489	-72.1750278	HD_67299               	11895	  70	 3.76	 0.03	217.0	13.0	     	    	     	     	 1.92	 0.03	G22	HD 67299               	120.29295	-72.17503
102.9540733	-65.6195822	HD_51269               	11379	 137	 3.68	 0.08	 14.0	 4.0	 15.1	 1.8	 37.0	 46.1	 1.93	 0.08	G22	HD 51269               	102.95407	-65.61958
103.4756064	-59.8809033	HD_51555               	15784	 136	 4.24	 0.03	 33.0	 5.0	 41.5	 0.4	     	     	 1.94	 0.03	G22	HD 51555               	103.47561	-59.88090
114.5233883	-63.9462461	HD_62092               	11446	  57	 3.64	 0.03	 34.0	 2.0	 32.1	 0.5	 13.0	  5.9	 1.98	 0.03	G22	HD 62092               	114.52339	-63.94625
102.8897358	-58.3282728	HD_50903               	12441	  59	 3.76	 0.02	118.0	 8.0	133.9	 5.4	  8.5	 43.7	 2.00	 0.02	G22	HD 50903               	102.88974	-58.32827
102.8624381	-70.9634103	HD_51557               	11962	  38	 3.68	 0.02	 97.0	 5.0	 97.8	10.4	 11.9	 16.5	 2.01	 0.02	G22	HD 51557               	102.86244	-70.96341
093.6747575	-73.6265097	HD_44533               	12291	  89	 3.72	 0.03	343.0	13.0	266.4	13.7	     	     	 2.02	 0.03	G22	HD 44533               	093.67476	-73.62651
120.9235131	-60.9075558	HD_67277               	12087	  74	 3.69	 0.03	 68.0	 5.0	 67.3	 3.4	 19.9	 47.4	 2.02	 0.03	G22	HD 67277               	120.92351	-60.90756
097.1905114	-55.9171578	HD_46212               	11668	  41	 3.62	 0.02	 97.0	 5.0	102.5	11.5	  9.0	  8.3	 2.03	 0.02	G22	HD 46212               	097.19051	-55.91716
119.1879378	-60.8150794	CPD-60_944A            	12107	 153	 3.68	 0.09	 19.0	 5.0	 19.9	 0.5	     	     	 2.04	 0.09	G22	CPD-60 944A            	119.18794	-60.81508
120.7813878	-62.1328119	HD_67170               	12227	  89	 3.67	 0.04	 36.0	 4.0	 29.7	 1.5	  7.9	  8.7	 2.06	 0.04	G22	HD 67170               	120.78139	-62.13281
056.6397806	-76.7159292	HD_24579               	12892	  71	 3.76	 0.03	109.0	 9.0	     	    	 12.8	 29.2	 2.06	 0.03	G22	HD 24579               	056.63978	-76.71593
078.3411981	-58.5576269	HD_34376               	13291	  64	 3.75	 0.02	177.0	 7.0	183.2	30.2	     	     	 2.13	 0.02	G22	HD 34376               	078.34120	-58.55763
070.7665178	-70.9310261	HD_30612               	12199	 175	 3.58	 0.06	 26.0	 3.0	 24.2	 0.7	 13.4	 14.2	 2.15	 0.06	G22	HD 30612               	070.76652	-70.93103
119.1927586	-60.8161936	CPD-60_944B            	11574	 298	 3.47	 0.19	 23.0	 7.0	     	    	 28.2	 49.2	 2.17	 0.20	G22	CPD-60 944B            	119.19276	-60.81619
120.0831908	-63.5674547	HD_66591               	17034	 143	 4.14	 0.04	  9.0	 3.0	     	    	 16.2	 26.2	 2.17	 0.04	G22	HD 66591               	120.08319	-63.56745
100.6076850	-68.2685775	HD_49339               	14493	 122	 3.83	 0.03	182.0	10.0	196.9	 8.9	     	     	 2.20	 0.03	G22	HD 49339               	100.60768	-68.26858
052.7154494	-66.4897119	HD_22252               	11810	  37	 3.46	 0.02	237.0	 7.0	234.4	 8.1	     	     	 2.21	 0.02	G22	HD 22252               	052.71545	-66.48971
120.8381631	-69.9715825	HD_67559               	12214	 120	 3.47	 0.05	 49.0	 6.0	 44.7	 2.1	 39.3	 44.4	 2.26	 0.05	G22	HD 67559               	120.83816	-69.97158
106.9456947	-67.9368631	HD_55478               	13363	 101	 3.61	 0.04	 88.0	 8.0	 76.8	 4.6	 27.0	 77.0	 2.28	 0.04	G22	HD 55478               	106.94569	-67.93686
016.3804522	-77.5846525	HD_6783                	10037	 221	 3.00	 0.14	 30.0	 4.0	 24.9	 1.7	 28.8	 40.5	 2.39	 0.15	G22	HD 6783                	016.38045	-77.58465
091.9624911	-65.2783258	HD_42804               	12824	  77	 3.35	 0.03	117.0	 9.0	125.4	 5.2	 13.4	 34.4	 2.47	 0.03	G22	HD 42804               	091.96249	-65.27833
100.6014381	-65.7426317	HD_49193               	21061	 315	 4.14	 0.04	 42.0	 7.0	     	    	     	     	 2.54	 0.05	G22	HD 49193               	100.60144	-65.74263
117.9620278	-62.9087956	HD_64811               	14032	 113	 3.16	 0.03	128.0	 7.0	140.8	 5.8	 12.4	 37.7	 2.81	 0.03	G22	HD 64811               	117.96203	-62.90880

