#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-09-25T17:42:28 [V7.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-09-25T17:42:28	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-source=J/ApJ/955/123/table2&-out.max=unlimited&-out.all=2	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_19550123
#Name: J/ApJ/955/123
#Title: Variability of magnetic hot stars from TESS obs. (Shen+, 2023)
#INFO	ivoid=ivo://cds.vizier/j/apj/955/123	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/apj/955/123	    IVOID of underlying data collection
#INFO	creator=Shen D.-X.	    First author or institution
#INFO	cites=bibcode:2023ApJ...955..123S	    Article or Data origin sources
#INFO	journal=ApJ	    Journal name
#INFO	original_date=2023	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/ApJ/955/123	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier/ba-xv-3v	    Dataset identifier that can be used for citation
#INFO	publication_date=2026-07-02	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_ApJ_955_123_table2:
#Name: J/ApJ/955/123/table2
#Title: The Stochastic low-frequency (SLF) fitting parameters of the magnetic hot stars
#Column	Name	(a11)	Stellar identifier	[ucd=meta.id;meta.main]
#Column	Sector	(A7)	Sector(s)	[ucd=obs.field]
#Column	alpha0	(F8.3)	[3.9/3554] Amplitude at zero frequency	[ucd=src.var.amplitude]
#Column	e_alpha0	(F6.2)	[0.3/384] Lower uncertainty in alpha0	[ucd=stat.error;stat.min;src.var.amplitude]
#Column	E_alpha0	(F6.2)	[0.4/470] Upper uncertainty in alpha0	[ucd=stat.error;stat.max;src.var.amplitude]
#Column	nuChar	(F5.2)	[0.05/8.9] Characteristic frequency	[ucd=em.freq;src.var]
#Column	e_nuChar	(F5.2)	[0.01/0.9] Lower uncertainty in nuChar	[ucd=stat.error;stat.min;em.freq]
#Column	E_nuChar	(F5.2)	[0.01/0.8] Upper uncertainty in nuChar	[ucd=stat.error;stat.max;em.freq]
#Column	gamma	(F5.2)	[0.69/5.7] logarithmic amplitude gradient	[ucd=arith.grad;src.var.amplitude]
#Column	e_gamma	(F5.2)	[0.01/1.4] Lower uncertainty in gamma	[ucd=stat.error;stat.min;arith.grad]
#Column	E_gamma	(F5.2)	[0.01/2.3] Upper uncertainty in gamma	[ucd=stat.error;stat.max;arith.grad]
#Column	Cw	(F5.2)	[0.8/86] White noise term	[ucd=instr.det.noise;meta.modelled]
#Column	e_Cw	(F5.2)	[0/0.3] Lower uncertainty in Cw	[ucd=stat.error;stat.min;instr.det.noise]
#Column	E_Cw	(F5.2)	[0/0.3] Upper uncertainty in Cw	[ucd=stat.error;stat.max;instr.det.noise]
Name	Sector	alpha0	e_alpha0	E_alpha0	nuChar	e_nuChar	E_nuChar	gamma	e_gamma	E_gamma	Cw	e_Cw	E_Cw
HD 37058   	     32	 450.780	 47.60	 58.22	 0.60	 0.08	 0.08	 1.37	 0.03	 0.03	10.15	 0.05	 0.05
HD 37479   	      6	 116.880	  8.26	  9.13	 2.47	 0.15	 0.15	 4.73	 0.66	 0.79	36.19	 0.13	 0.13
HD 37479   	     32	 485.000	 35.63	 39.43	 2.43	 0.17	 0.18	 2.68	 0.11	 0.11	85.59	 0.29	 0.28
HD 65712   	      1	  84.140	  9.32	 11.40	 0.87	 0.14	 0.14	 1.51	 0.07	 0.07	10.58	 0.03	 0.04
HD 65712   	      4	 202.060	 22.19	 28.10	 0.80	 0.12	 0.12	 1.55	 0.06	 0.06	11.76	 0.04	 0.05
HD 65712   	  7 - 8	 272.540	 16.59	 17.43	 1.11	 0.07	 0.08	 1.60	 0.03	 0.03	 8.15	 0.03	 0.02
HD 65712   	10 - 11	  30.700	  3.09	  3.67	 0.74	 0.11	 0.12	 1.37	 0.07	 0.07	 8.14	 0.02	 0.02
HD 65712   	27 - 28	 131.410	  9.32	 10.75	 0.96	 0.08	 0.09	 1.78	 0.05	 0.06	 8.07	 0.02	 0.02
HD 65712   	34 - 38	 124.550	  5.66	  6.18	 0.80	 0.04	 0.04	 1.60	 0.02	 0.03	 5.10	 0.01	 0.01
HD 65987   	      1	 145.660	 15.70	 15.25	 0.89	 0.11	 0.12	 1.49	 0.04	 0.05	 8.32	 0.03	 0.03
HD 65987   	      4	 417.270	 49.46	 60.34	 0.57	 0.09	 0.08	 1.23	 0.02	 0.02	 7.03	 0.04	 0.04
HD 65987   	      7	  54.640	  6.44	  7.54	 0.94	 0.15	 0.17	 1.43	 0.07	 0.08	 7.45	 0.03	 0.03
HD 65987   	 9 - 11	  48.900	  4.05	  4.37	 0.54	 0.06	 0.07	 1.25	 0.03	 0.04	 4.41	 0.01	 0.01
HD 65987   	34 - 37	  79.060	  4.70	  5.12	 0.63	 0.04	 0.05	 1.48	 0.03	 0.03	 3.62	 0.01	 0.01
HD 66295   	      4	 333.980	 31.11	 37.51	 0.86	 0.09	 0.09	 1.75	 0.06	 0.06	14.92	 0.06	 0.05
HD 66295   	      7	 113.580	 11.45	 14.18	 1.05	 0.14	 0.14	 1.70	 0.09	 0.10	11.97	 0.05	 0.04
HD 66295   	 9 - 10	  65.890	  5.92	  7.04	 0.69	 0.09	 0.10	 1.37	 0.05	 0.06	 8.24	 0.02	 0.02
HD 66318   	34 - 37	  71.150	  6.87	  8.24	 1.08	 0.13	 0.13	 1.71	 0.08	 0.09	 7.91	 0.03	 0.03
HD 66318   	35 - 36	 116.460	 14.35	 19.14	 0.63	 0.10	 0.10	 1.55	 0.07	 0.07	 7.91	 0.03	 0.03
HD 66318   	  7 - 9	 149.870	  8.98	  9.72	 0.80	 0.05	 0.05	 1.55	 0.03	 0.03	 5.06	 0.01	 0.01
HD 66318   	 8 - 11	  68.110	  3.35	  3.41	 1.10	 0.06	 0.06	 1.78	 0.03	 0.04	 5.25	 0.01	 0.01
HD 66522   	34 - 36	  34.230	  3.06	  3.74	 0.43	 0.07	 0.07	 1.07	 0.03	 0.03	 3.72	 0.01	 0.01
HD 66522   	  7 - 9	  45.400	  3.26	  4.43	 0.56	 0.06	 0.05	 1.45	 0.04	 0.04	 3.48	 0.01	 0.01
HD 66665   	     34	 142.570	 22.02	 25.39	 0.25	 0.06	 0.08	 0.94	 0.04	 0.04	 8.88	 0.06	 0.06
HD 66665   	      7	  27.050	  3.80	  5.01	 0.97	 0.20	 0.21	 1.73	 0.17	 0.20	 7.43	 0.03	 0.03
HD 66765   	     34	  80.660	  5.93	  6.82	 1.83	 0.18	 0.18	 1.55	 0.05	 0.05	 4.82	 0.02	 0.02
HD 66765   	      7	  41.150	  2.38	  2.51	 3.73	 0.25	 0.28	 1.87	 0.06	 0.07	 4.59	 0.02	 0.02
HD 66765   	      9	  86.430	  5.97	  6.75	 2.12	 0.17	 0.19	 1.66	 0.04	 0.05	 4.22	 0.02	 0.02
HD 67621   	     34	  53.740	  4.65	  5.48	 1.56	 0.20	 0.22	 1.39	 0.06	 0.06	 4.46	 0.02	 0.02
HD 67621   	      7	  23.770	  0.83	  0.89	 6.21	 0.15	 0.14	 5.68	 0.40	 0.42	 3.97	 0.01	 0.01
HD 67621   	      9	  31.540	  1.78	  1.95	 4.05	 0.28	 0.29	 2.24	 0.12	 0.13	 4.05	 0.02	 0.02
HD 69067   	  7 - 8	  45.040	  3.21	  3.73	 1.17	 0.12	 0.12	 1.61	 0.06	 0.06	 5.63	 0.01	 0.02
HD 83625   	 9 - 10	 118.770	 10.79	 12.79	 0.50	 0.06	 0.07	 1.28	 0.03	 0.03	 4.18	 0.01	 0.01
HD 9289    	     30	  99.730	 14.86	 20.03	 0.56	 0.14	 0.15	 1.35	 0.11	 0.11	14.85	 0.06	 0.06
HD 94660   	     36	 518.920	115.25	126.49	 0.09	 0.02	 0.04	 0.92	 0.02	 0.02	 2.91	 0.03	 0.03
HD 94660   	 9 - 10	  60.630	  6.24	  7.45	 0.39	 0.06	 0.06	 1.11	 0.03	 0.03	 2.81	 0.01	 0.01
HD 96446   	10 - 11	  70.380	  5.76	  6.89	 0.59	 0.07	 0.07	 1.23	 0.03	 0.03	 4.65	 0.01	 0.01
HD 9672    	      3	   8.410	  0.76	  0.88	 1.51	 0.14	 0.13	 2.90	 0.28	 0.33	 2.15	 0.01	 0.01
HD 9672    	     30	  28.120	  4.62	  6.16	 0.42	 0.11	 0.13	 1.22	 0.08	 0.09	 3.58	 0.02	 0.01
NGC 1624 2 	     19	 356.630	 66.66	 96.56	 0.21	 0.06	 0.07	 1.11	 0.05	 0.06	15.86	 0.08	 0.07

