#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-09-25T17:42:28 [V7.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-09-25T17:42:29	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-source=J/MNRAS/513/1429/tablea1&-out.max=unlimited&-out.all=2	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_75131429
#Name: J/MNRAS/513/1429
#Title: MOBSTER. VI. Radio magnetospheres of hot stars (Shultz+, 2022)
#INFO	ivoid=ivo://cds.vizier/j/mnras/513/1429	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/mnras/513/1429	    IVOID of underlying data collection
#INFO	creator=Shultz M.E.	    First author or institution
#INFO	cites=bibcode:2022MNRAS.513.1429S	    Article or Data origin sources
#INFO	journal=MNRA	    Journal name
#INFO	original_date=2022	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/MNRAS/513/1429	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.75131429	    Dataset identifier that can be used for citation
#INFO	publication_date=2025-10-13	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_MNRAS_513_1429_tablea1:
#Name: J/MNRAS/513/1429/tablea1
#Title: Stellar, rotational, magnetic and radio parameters
#Column	Star	(a10)	Name of star	[ucd=meta.id;meta.main]
#Column	logL	(F5.2)	Bolometric luminosity	[ucd=phys.luminosity]
#Column	e_logL	(F5.2)	Luminosity error	[ucd=stat.error]
#Column	Teff	(F4.1)	Effective temperature	[ucd=phys.temperature.effective]
#Column	e_Teff	(F4.1)	Effective temperature error	[ucd=stat.error;phys.temperature.effective]
#Column	r_logL	(I3)	Reference for stellar parameters	[ucd=meta.ref]
#Column	Mass	(F5.2)	Mass	[ucd=phys.mass]
#Column	e_Mass	(F5.2)	Mass error	[ucd=stat.error;phys.mass]
#Column	vsini	(I3)	? Projected rotational velocity	[ucd=phys.veloc.rotat]
#Column	r_vsini	(I3)	? Reference for vsini	[ucd=meta.ref]
#Column	Prot	(F9.3)	? Rotation period	[ucd=time.period]
#Column	r_Prot	(a11)	Reference for rotation period	[ucd=meta.ref;pos.frame]
#Column	beta	(I2)	? Magnetic obliquity angle	[ucd=phys.magField;pos.angDistance]
#Column	E_beta	(I2)	? Upper uncertainty in obliquity angle	[ucd=stat.error;stat.max]
#Column	e_beta	(I2)	? Lower uncertainty in obliquity angle	[ucd=stat.error]
#Column	l_Bd	(A2)	[LL UL] Limit indicator for magnetic field (LL=lower limit, UL=upper limit)	[ucd=meta.code.error]
#Column	Bd	(F6.3)	Surface magnetic dipole strength	[ucd=phys.magField]
#Column	E_Bd	(F6.3)	? Upper uncertainty in surface dipole strength	[ucd=stat.error;stat.max]
#Column	e_Bd	(F6.3)	? Lower uncertainty in surface dipole strength	[ucd=stat.error]
#Column	r_Bd	(a23)	Reference for magnetic parameters	[ucd=meta.ref;pos.frame]
#Column	l_Lrad	(A2)	[UL] Detection flag for radio data (UL=upper limit)	[ucd=meta.code.error]
#Column	Lrad	(F5.2)	Radio luminosity	[ucd=phys.luminosity;em.radio]
#Column	e_Lrad	(F5.2)	? Radio luminosity uncertainty	[ucd=stat.error]
#Column	r_Lrad	(a27)	Reference for radio data	[ucd=meta.ref;pos.frame]
#Column	SimbadName	(A9)	Simbad column added by the CDS	[ucd=meta.id]
#Column	_RA	(F9.5)	Right Ascension (J2000) from SIMBAD (not part of the original data)	[ucd=pos.eq.ra;meta.main]
#Column	_DE	(F9.5)	Declination (J2000) from SIMBAD (not part of the original data)	[ucd=pos.eq.dec;meta.main]
Star	logL	e_logL	Teff	e_Teff	r_logL	Mass	e_Mass	vsini	r_vsini	Prot	r_Prot	beta	E_beta	e_beta	l_Bd	Bd	E_Bd	e_Bd	r_Bd	l_Lrad	Lrad	e_Lrad	r_Lrad	SimbadName	_RA	_DE
HD145501C 	 2.46	 0.15	14.5	 0.5	 90	 4.00	 0.15	 70	 32	    1.026	114        	89	 0	 2	  	 5.801	 0.300	 0.301	114                    	  	-6.07	 0.04	 14, 17,127                	HD145501 	242.99387	-19.45023
HD146001  	 2.38	 0.14	13.8	 0.3	 43	 3.61	 0.06	 90	 32	    0.586	 59        	  	  	  	UL	 0.500	      	      	  4,130                	  	-6.87	 0.04	 14                        	HD146001 	243.72262	-25.47697
HD147010  	 1.65	 0.08	12.5	 0.6	 90	 2.45	 0.09	 15	 99	    3.921	 62        	10	 4	 5	  	19.419	 0.711	 0.853	 19,116,130            	UL	-7.09	     	 14                        	HD147010 	245.02289	-20.05640
HD147890  	 2.43	 0.12	11.3	 0.5	 90	 3.68	 0.22	 65	 32	    4.336	 59        	  	  	  	UL	 0.896	      	      	  8                    	UL	-6.35	     	128                        	HD147890 	246.41308	-29.40045
HD147932  	 2.50	 0.20	17.0	 1.0	114	 4.76	 0.27	140	 54	    0.864	 93        	 0	 6	 0	  	 7.630	 9.620	 0.460	114,129                	  	-5.13	 0.04	115                        	HD147932 	246.39617	-23.40522
HD147933  	 3.30	 0.17	20.8	 0.5	113	 7.26	 0.23	200	113	    0.747	113        	75	 9	11	  	 4.680	 0.490	 0.380	113,129                	  	-5.54	 0.04	113                        	HD147933 	246.39633	-23.44718
HD148112  	 1.85	 0.02	 9.2	 0.1	105	 2.52	 0.01	 44	 40	    3.044	106        	 0	 9	 0	  	 0.760	 0.410	 0.113	106,130                	UL	-7.19	     	  6                        	HD148112 	246.35398	+14.03327
HD148199  	 1.88	 0.12	11.7	 0.7	 90	 2.47	 0.10	 15	 32	    7.726	 25        	63	 9	12	  	 4.980	 0.588	 0.705	  8, 15,130            	UL	-6.49	     	 14                        	HD148199 	246.87367	-29.28827
HD149438  	 4.47	 0.13	32.0	 1.0	107	17.47	 0.88	  7	 96	   41.033	 37        	75	 7	 8	  	 0.309	 0.103	 0.009	 77                    	UL	-7.95	     	 88                        	HD149438 	248.97064	-28.21602
HD149822  	 1.85	 0.18	10.8	 0.3	 43	 2.68	 0.16	 60	 32	    1.966	130        	87	 2	 3	  	 4.000	 2.100	 1.110	 16, 38, 68,130        	UL	-7.41	     	 17                        	HD149822 	249.17891	+15.49745
HD151346  	 2.44	 0.17	13.7	 1.1	 90	 3.82	 0.24	 46	 32	    2.180	 90        	  	  	  	UL	 1.732	      	      	  4                    	UL	-6.56	     	 14                        	HD151346 	251.94387	-23.97431
HD152107  	 1.47	 0.01	 8.8	 0.1	105	 2.15	 0.01	 21	105	    3.857	106        	19	 4	 5	  	 4.150	 0.480	 0.220	106,130                	UL	-8.03	     	  6, 14                    	HD152107 	252.30924	+45.98332
HD156424  	 3.00	 0.40	18.0	 3.0	122	 4.64	 0.32	  7	 96	    0.524	122        	39	18	21	  	 8.000	12.000	 2.000	122                    	  	-4.85	 0.04	 88                        	HD156424 	259.72729	-32.34575
HD163472  	 3.81	 0.10	25.2	 1.1	107	10.27	 0.51	 62	 96	    3.639	 29        	46	13	14	  	 1.100	 0.500	 0.500	110                    	UL	-6.71	     	 88                        	HD163472 	269.07667	+00.67035
HD164429  	 1.85	 0.04	12.0	 0.5	130	 2.99	 0.06	 90	 32	    1.082	130        	88	 1	12	  	 2.970	 0.650	 0.270	 15,130                	  	-6.90	 0.04	 17, 36                    	HD164429 	269.71794	+45.47622
HD165474  	 2.06	 0.26	13.2	 3.4	130	 1.82	 0.08	 18	 32	 3285.000	 82        	89	 0	 0	  	 2.980	 4.876	 1.849	 82,130                	UL	-6.94	     	128                        	HD165474 	271.42850	+12.00339
HD168785  	 3.48	 0.08	23.0	 1.2	130	 8.14	 0.38	 14	109	         	           	  	  	  	LL	 4.008	      	      	 92                    	UL	-5.19	     	128                        	HD168785 	275.69127	-30.14060
HD168856  	 2.10	 0.09	11.9	 1.2	130	 3.02	 0.14	 73	 79	    2.428	112        	55	15	16	  	 3.460	 3.740	 0.610	 79, 87, 35,130        	UL	-6.71	     	128                        	HD168856 	275.54509	-07.49878
HD170000  	 2.36	 0.01	11.6	 0.0	105	 3.47	 0.02	 83	105	    1.716	106        	70	10	12	  	 1.751	 0.048	 0.053	106                    	  	-7.11	 0.04	 36                        	HD170000 	275.18930	+71.33782
HD170973  	 2.32	 0.13	10.8	 0.2	 43	 3.39	 0.06	  4	 99	   18.064	130        	83	 2	 3	  	 4.840	11.231	 0.540	 15, 13,130            	UL	-6.61	     	128                        	HD170973 	278.02869	+03.65961
HD171247  	 2.79	 0.16	12.2	 0.3	 43	 3.96	 0.16	 68	 99	    3.910	130        	85	 3	34	  	 4.100	 3.100	 0.410	130                    	  	-5.17	 0.04	 17, 31                    	HD171247 	278.34710	+08.26825
HD175132  	 2.78	 0.04	13.2	 0.5	130	 3.97	 0.25	 40	 32	    8.030	130        	  	  	  	LL	 3.528	      	      	 28                    	UL	-6.76	     	 17,128                    	HD175132 	283.03021	+41.38324
HD175362  	 2.64	 0.12	17.6	 0.4	107	 5.29	 0.15	 34	 96	    3.674	 96        	68	 5	 6	  	17.000	 0.600	 0.400	110                    	  	-6.72	 0.04	 14, 17, 18,130            	HD175362 	284.16869	-37.34325
HD175744  	 2.65	 0.09	12.6	 0.2	 43	 4.00	 0.08	 50	 32	    2.799	130        	  	  	  	UL	 0.500	      	      	 33,111,130            	UL	-7.27	     	 17,128                    	HD175744 	284.01583	+17.99534
HD176582  	 2.90	 0.15	17.0	 1.0	107	 5.56	 0.23	103	 96	    1.582	 55        	89	 0	 1	  	 5.400	 0.200	 0.200	110                    	  	-6.07	 0.04	 36                        	HD176582 	284.80122	+39.21732
HD177003  	 3.05	 0.10	17.7	 0.7	 90	 5.72	 0.21	 12	 32	    1.800	 90        	  	  	  	UL	 0.808	      	      	 28                    	UL	-7.05	     	 17                        	HD177003 	285.05699	+50.53347
HD177410  	 2.30	 0.15	14.5	 0.5	 34	 3.64	 0.13	100	 34	    1.123	 47        	  	  	  	UL	 1.730	      	      	 15, 71,130            	UL	-7.19	     	 17                        	HD177410 	284.71928	+69.53129
HD179527  	 2.63	 0.16	10.4	 0.3	 40	 3.39	 0.05	 33	 40	    7.098	 40        	88	 1	12	  	 0.522	 0.711	 0.113	 40                    	UL	-6.47	     	128                        	HD179527 	287.94170	+31.28346
HD182180  	 3.09	 0.18	19.8	 1.4	107	 6.48	 0.22	306	 96	    0.521	 52, 51    	81	 3	 4	  	 9.500	 0.600	 0.600	110                    	  	-4.66	 0.04	 89,130                    	HD182180 	291.12575	-27.86594
HD183056  	 2.69	 0.11	11.7	 0.4	 40	 3.97	 0.19	 35	 99	    2.992	 40        	82	 3	 4	  	 1.558	 2.380	 0.386	 40                    	UL	-7.10	     	 17                        	HD183056 	291.53803	+36.31790
HD183339  	 2.70	 0.05	14.0	 0.6	130	 4.30	 0.11	 41	 32	    4.204	130        	  	  	  	LL	 4.537	      	      	 28                    	UL	-6.30	     	128                        	HD183339 	291.44485	+58.02732
HD184927  	 3.59	 0.16	22.0	 1.0	107	 8.39	 0.47	  8	 96	    9.531	 72        	67	 3	 4	  	 8.753	 1.422	 0.532	 72                    	UL	-6.12	     	 17,128,130                	HD184927 	293.88338	+31.27665
HD184961  	 2.35	 0.08	11.8	 1.0	130	 3.47	 0.09	 34	 32	    6.335	130        	 4	 3	 4	  	 4.340	 9.040	 0.410	130                    	UL	-6.37	     	128                        	HD184961 	294.03480	+22.58576
HD186205  	 3.84	 0.25	19.6	 0.8	107	 8.26	 0.60	  6	 96	   37.205	 96        	 7	 3	 4	  	 3.000	 1.000	 0.500	110                    	UL	-4.63	     	128                        	HD186205 	295.65771	+09.22751
HD187474  	 1.76	 0.03	 9.9	 0.1	105	 2.52	 0.02	  0	 99	 2345.000	106        	89	 0	 3	  	 7.213	 2.102	 0.236	106                    	UL	-7.22	     	128                        	HD187474 	297.96088	-39.87437
HD188041  	 1.40	 0.01	 8.5	 0.1	105	 2.07	 0.04	  4	 99	  224.000	106        	 0	25	 0	  	 4.110	16.620	 0.370	106,130                	UL	-7.47	     	128                        	HD188041 	298.32807	-03.11446
HD189775  	 2.91	 0.11	17.5	 0.6	107	 5.57	 0.18	 58	 96	    2.607	 96        	43	11	12	  	 4.300	 0.700	 0.700	110                    	  	-5.85	 0.04	130                        	HD189775 	299.81394	+52.05569
HD192678  	 1.65	 0.27	 9.0	 0.1	 43	 2.50	 0.25	  6	130	   12.910	 23        	25	11	12	  	 5.480	 4.430	 0.120	 23,130                	UL	-6.73	     	128                        	HD192678 	303.40136	+53.65932
HD196178  	 2.15	 0.10	13.1	 0.5	 90	 4.15	 0.22	 50	 32	    1.101	130        	41	 7	 9	  	 3.930	 0.420	 0.221	  3,130                	  	-6.00	 0.04	 36                        	HD196178 	308.47851	+46.69385
HD196502  	 2.01	 0.39	 8.9	 0.4	 43	 2.55	 0.05	  9	 99	   20.275	 25        	88	 1	12	  	 1.715	 0.275	 0.330	  1,  2, 11,116,130    	UL	-6.47	     	  6                        	HD196502 	307.87669	+74.95463
HD200775  	 3.95	 0.30	18.6	 2.0	 45	 9.00	 0.82	 26	 45	    4.381	 45        	89	 0	 6	  	 3.900	 1.740	 0.650	 45,130                	  	-6.11	 0.04	130                        	HD200775 	315.40384	+68.16327
HD202671  	 2.70	 0.07	13.2	 0.1	 43	 3.96	 0.15	 20	 99	    1.992	 90        	  	  	  	UL	 0.056	      	      	 53                    	UL	-6.97	     	128                        	HD202671 	319.48869	-17.98514
HD205021  	 4.26	 0.11	25.0	 1.0	107	11.86	 1.12	 34	 96	   12.001	 61        	86	 2	 4	  	 0.260	 0.030	 0.030	110                    	UL	-7.44	     	 88,130                    	HD205021 	322.16499	+70.56072
HD208057  	 3.01	 0.11	16.5	 1.2	107	 5.32	 0.30	105	 96	    1.368	 96        	89	 0	 0	  	 0.600	 0.200	 0.200	110                    	UL	-7.35	     	130                        	HD208057 	328.26570	+25.92514
HD215441  	 2.31	 0.09	14.5	 0.4	 43	 3.92	 0.12	  5	 99	    9.490	 23        	37	 7	 7	  	62.400	 6.240	 3.120	 23                    	  	-5.14	 0.04	  6, 14, 18, 31, 75        	HD215441 	341.03127	+55.58923
HD224801  	 2.19	 0.10	11.9	 0.5	 90	 3.25	 0.13	 30	 32	    3.740	 22        	  	  	  	LL	 4.614	      	      	  1                    	UL	-6.77	     	128                        	HD224801 	000.18181	+45.25334
HD260858  	 3.52	 0.27	18.0	 1.0	 43	 6.72	 0.44	 47	109	         	           	  	  	  	LL	 1.750	      	      	 94                    	UL	-4.78	     	  6                        	HD260858 	099.44462	+12.76806
HD335238  	 1.62	 0.23	 9.4	 0.5	 90	 2.25	 0.04	   	   	   48.700	 82        	85	 4	44	  	 5.860	 2.005	 2.506	 82,111,130            	UL	-6.22	     	128                        	HD335238 	312.68194	+29.80335

