#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-09-25T16:56:08 [V7.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-09-25T16:56:08	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-source=J/A+A/665/A150&-out.max=unlimited&-out.all=2	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_36650150
#Name: J/A+A/665/A150
#Title: Rotational properties of Galactic O-type stars (Holgado+ 2022)
#INFO	ivoid=ivo://cds.vizier/j/a+a/665/a150	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/a+a/665/a150	    IVOID of underlying data collection
#INFO	creator=Holgado G.	    First author or institution
#INFO	cites=bibcode:2022A&A...665A.150H	    Article or Data origin sources
#INFO	journal=A&A	    Journal name
#INFO	original_date=2022	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/A+A/665/A150	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.36650150	    Dataset identifier that can be used for citation
#INFO	publication_date=2023-07-03	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_A_A_665_A150_tablef1:
#Name: J/A+A/665/A150/tablef1
#Title: O-type stars considered in this work with rotational parameters
#Column	Target	(a15)	Star name	[ucd=meta.id;meta.main]
#Column	SpType	(A5)	Spectral type	[ucd=src.spType]
#Column	LumClass	(a15)	Luminosity class	[ucd=src.class.luminosity]
#Column	l_Teff	(A1)	Limit flag on Teff	[ucd=meta.code.error;phys.temperature.effective]
#Column	Teff	(F4.1)	Effective temperature	[ucd=phys.temperature.effective]
#Column	l_loggt	(A1)	Limit flag on loggt	[ucd=meta.code.error]
#Column	loggt	(F5.2)	Gravity corrected from rotational effects	[ucd=phys.gravity]
#Column	l_logLsp	(A1)	Limit flag on logLsp	[ucd=meta.code.error]
#Column	logLsp	(F5.2)	Lsp parameter (1)	[ucd=phys.luminosity]
#Column	Line	(A4)	Line for analysis	[ucd=meta.id;spect.line]
#Column	vsini	(I3)	projected rotational velocity	[ucd=phys.veloc.rotat]
#Column	vmacro	(I3)	? Extra-broadening velocity	[ucd=phys.veloc.microTurb]
#Column	Nepochs	(I3)	Number of epochs available	[ucd=meta.number]
#Column	subsample	(A1)	[abc] Flag ID for subsample clustering	[ucd=meta.code]
#Column	Notes	(A3)	Multi-epoch notes	[ucd=meta.note]
#Column	SimbadName	(a14)	Simbad column added by the CDS	[ucd=meta.id]
#Column	_RA	(F9.5)	Right Ascension (J2000) from SIMBAD (not part of the original data)	[ucd=pos.eq.ra;meta.main]
#Column	_DE	(F9.5)	Declination (J2000) from SIMBAD (not part of the original data)	[ucd=pos.eq.dec;meta.main]
Target	SpType	LumClass	l_Teff	Teff	l_loggt	loggt	l_logLsp	logLsp	Line	vsini	vmacro	Nepochs	subsample	Notes	SimbadName	_RA	_DE
HD 229232      	O4   	V:  n((f))     	 	42.9	 	 3.81	 	 4.11	NIV 	313	   	  5	a	LPV	HD 229232     	305.99661	+39.10425
HD 46223       	O4   	V  ((f))       	 	42.2	 	 3.73	 	 4.16	OIII	 51	112	  7	a	LPV	HD 46223      	098.03878	+04.82353
HD 93250 AB    	O4   	IV  (fc)       	 	45.0	 	 3.86	 	 4.14	OIII	 70	 84	  4	a	   	HD 93250      	161.18761	-59.56519
HD 168076 AB   	O4   	IV  (f)        	 	43.0	 	 3.92	 	 4.00	NV  	 68	101	  4	a	LPV	HD 168076     	274.65175	-13.80067
HD 96715       	O4   	V  ((f))z      	 	45.2	 	 3.91	 	 4.10	NV  	 59	 86	  2	a	   	HD 96715      	166.88674	-59.96353
HD 155913      	O4.5 	V  n((f))      	 	42.5	 	 4.02	 	 3.88	OIII	278	   	  9	a	LPV	HD 155913     	259.10972	-42.66781
HD 192281      	O4.5 	IV  (n)(f)     	 	40.8	 	 3.82	 	 4.01	HeI 	277	   	  3	a	LPV	HD 192281     	303.13800	+40.26818
HD 193682      	O4.5 	IV  (f)        	 	41.0	 	 3.75	 	 4.09	OIII	183	 90	  1	a	   	HD 193682     	305.03724	+37.83092
HD 15629       	O4.5 	V  ((fc))      	 	41.8	 	 3.79	 	 4.08	OIII	 76	 64	 11	a	LPV	HD 15629      	038.33578	+61.52172
HDE 303308 AB  	O4.5 	V  ((fc))      	 	41.1	 	 3.90	 	 3.95	OIII	 85	 67	  3	a	LPV	HDE 303308    	161.27464	-59.66831
HD 168112 AB   	O5   	IV  (f)        	 	39.7	 	 3.71	 	 4.08	OIII	107	 78	 11	a	SB1	HD 168112     	274.67028	-12.10649
HDE 319699     	O5   	V  ((fc))      	 	41.2	 	 3.91	 	 3.94	OIII	 69	 76	  4	a	SB1	HDE 319699    	259.87674	-35.71003
HD 46150       	O5   	V  ((f))z      	 	41.1	 	 3.81	 	 4.04	OIII	 60	112	 19	a	LPV	HD 46150      	097.98134	+04.94286
HD 256725 A    	O5   	V  ((fc))      	 	41.2	 	 3.94	 	 3.91	OIII	 67	 38	  3	a	   	HD 256725     	096.25542	+19.84892
HD 305525      	O5.5 	V  ((f))z      	 	40.4	>	 3.89	<	 3.93	OIII	 66	139	  1	a	   	HD 305525     	161.52376	-59.84705
BD +60 134     	O5.5 	V  (n)((f))    	 	40.7	 	 3.95	 	 3.88	OIII	250	   	  3	a	LPV	BD +60 134    	014.05923	+61.76027
BD -14 5040    	O5.5 	V  (n)((f))    	 	40.4	 	 3.96	 	 3.86	OIII	268	   	  1	a	   	BD -14 5040   	276.41208	-14.75159
HD 93204       	O5.5 	V  ((f))       	 	39.2	 	 3.75	 	 4.01	OIII	110	 93	  3	a	   	HD 93204      	161.13475	-59.74195
HD 14434       	O5.5 	IV  nn(f)p     	 	38.6	 	 3.96	 	 3.78	OIII	417	   	  6	a	LPV	HD 14434      	035.46838	+56.90501
HDE 303311     	O6   	V  ((f))z      	 	40.1	 	 3.91	 	 3.89	OIII	 47	 61	  1	a	   	HDE 303311    	161.15608	-59.54874
HD 101190 AaAb 	O6   	IV  ((f))      	 	39.8	 	 3.88	 	 3.91	OIII	 49	 74	  3	a	SB1	HD 101190     	174.54130	-63.19684
BD +60 2635    	O6   	V  ((f))       	 	39.8	 	 3.77	 	 4.02	OIII	 51	 73	  5	a	   	BD +60 2635   	358.27174	+60.91241
ALS 4880       	O6   	V  ((f))       	 	39.8	 	 3.96	 	 3.83	OIII	 84	 89	  1	a	   	ALS 4880      	274.39034	-12.09523
CPD -58 2611   	O6   	V  ((f))z      	 	39.8	 	 3.88	 	 3.91	OIII	 39	 73	  1	a	   	CPD -58 2611  	160.94452	-59.54857
HD 42088       	O6   	V  ((f))z      	 	40.0	 	 3.99	 	 3.81	OIII	 49	 76	  4	a	   	HD 42088      	092.41489	+20.48763
HD 76556       	O6   	IV  (n)((f))p  	 	37.9	 	 3.90	 	 3.80	OIII	239	   	  4	a	LPV	HD 76556      	133.77976	-47.60754
CPD -59 2600   	O6   	V  ((f))       	 	39.3	 	 3.86	 	 3.91	OIII	127	136	  7	a	SB1	CPD -59 2600  	161.17415	-59.78233
BD +62 424     	O6.5 	V  (n)((f))    	 	38.7	 	 3.80	 	 3.94	OIII	 60	 65	  3	a	   	BD +62 424    	039.07592	+62.94815
HD 101298      	O6.5 	IV  ((f))      	 	38.9	 	 3.79	 	 3.96	OIII	 71	 69	  6	a	   	HD 101298     	174.76365	-63.42974
HD 199579      	O6.5 	V  ((f))z      	 	39.5	 	 3.86	 	 3.92	OIII	 52	 90	121	a	SB1	HD 199579     	314.14491	+44.92472
HD 99897       	O6.5 	IV  ((f))      	 	37.7	 	 3.57	 	 4.13	OIII	 50	 94	  1	b	   	HD 99897      	172.22576	-62.65273
HD 242935 A    	O6.5 	V  ((f))z      	 	38.7	>	 3.98	<	 3.76	OIII	 29	 64	  1	a	   	HD 242935 A   	080.69393	+33.41987
HDE 227018     	O6.5 	V  ((f))z      	 	38.7	 	 3.85	 	 3.89	OIII	 61	 78	  1	a	   	HDE 227018    	299.95459	+35.30932
HD 305532      	O6.5 	V  ((f))z      	 	39.3	 	 3.84	 	 3.93	OIII	 51	 53	  1	a	   	HD 305532     	161.39186	-59.95739
BD +61 411     	O6.5 	V  ((f))z      	 	38.8	 	 3.99	 	 3.76	OIII	 29	 98	  1	a	   	BD +61 411    	036.64331	+62.01177
HD 93161 B     	O6.5 	IV  ((f))      	 	37.1	 	 3.76	 	 3.91	OIII	 81	101	  1	a	   	HD 93161 B    	161.03781	-59.57650
HD 344784      	O6.5 	V  ((f))z      	 	38.9	 	 3.90	 	 3.85	OIII	 65	 70	  1	a	   	HD 344784     	295.79572	+23.29593
HD 228841      	O6.5 	V  n((f))      	 	37.7	 	 3.88	 	 3.82	OIII	317	   	  9	a	LPV	HD 228841     	304.62373	+38.87772
HDE 322417     	O6.5 	IV  ((f))      	 	38.6	 	 3.74	 	 4.00	OIII	 68	100	  5	a	LPV	HDE 322417    	254.73079	-40.24260
HD 91572       	O6.5 	V  ((f))z      	 	38.8	 	 3.84	 	 3.91	OIII	 60	 57	  5	a	LPV	HD 91572      	158.30111	-58.17046
HD 167633      	O6.5 	V  ((f))       	 	38.0	 	 3.72	 	 3.99	OIII	129	106	  3	a	SB1	HD 167633     	274.20689	-16.51786
HD 12993       	O6.5 	V  ((f))  Nstr 	 	39.2	 	 3.89	 	 3.87	OIII	 84	 79	  3	a	   	HD 12993      	032.26031	+57.93221
ALS 12370      	O6.5 	V  nn((f))     	 	39.0	 	 4.12	 	 3.63	HeI 	440	   	  4	c	LPV	ALS 12370     	335.82258	+55.63394
HD 326775      	O6.5 	V  (n)((f))z   	 	39.4	 	 3.87	 	 3.90	OIII	170	108	  3	a	SB1	HD 326775     	256.38046	-41.52225
BD -10 4682    	O7   	V  n((f))      	 	36.9	 	 3.94	 	 3.72	OIII	358	   	  5	c	   	BD -10 4682   	276.08605	-10.80953
HD 5689        	O7   	V  n((f))      	 	36.8	 	 3.72	 	 3.93	OIII	255	   	  1	a	   	HD 5689       	014.94830	+63.60785
HD 46485       	O7   	V  ((f))n  var?	 	36.1	 	 3.88	 	 3.74	OIII	322	   	  4	c	   	HD 46485      	098.46232	+04.52545
HD 36879       	O7   	V  (n)((f))    	 	36.9	 	 3.77	 	 3.89	OIII	209	   	  3	a	LPV	HD 36879      	083.91886	+21.40326
HD 217086      	O7   	V  nn((f))z    	 	37.7	 	 4.00	 	 3.70	OIII	377	   	  9	c	   	HD 217086     	344.19662	+62.72713
BD +60 513     	O7   	V  n           	 	35.8	 	 3.86	 	 3.75	OIII	319	   	  4	c	LPV	BD +60 513    	038.51054	+61.38635
HDE 227465     	O7   	V  ((f))       	 	37.2	 	 3.87	 	 3.80	OIII	 61	 79	  1	a	   	HDE 227465    	301.11343	+33.70511
HD 90273       	ON7  	V  ((f))       	 	38.5	 	 3.78	 	 3.95	OIII	 55	 55	  1	a	   	HD 90273      	155.93523	-57.64209
BD +62 2078    	O7   	V  ((f))z      	 	38.7	 	 4.00	 	 3.74	OIII	 38	 38	  2	c	   	BD +62 2078   	336.38992	+63.41739
HD 46573       	O7   	V  ((f))z      	 	36.8	 	 3.72	 	 3.93	OIII	 77	 81	  3	a	LPV	HD 46573      	098.59821	+02.53415
HD 44811       	O7   	V  (n)z        	 	37.4	 	 3.90	 	 3.78	OIII	 26	 43	  3	a	LPV	HD 44811      	096.15981	+19.70439
HD 159176      	O7   	V  ((f))       	 	37.6	 	 3.83	 	 3.86	OIII	114	 90	  2	a	LPV	HD 159176     	263.67705	-32.58167
HD 47839       	O7   	V  ((f))z  var 	 	38.3	 	 4.02	 	 3.70	OIII	 43	 67	  5	c	   	HD 47839      	100.24441	+09.89576
ALS 8294       	O7   	V  (n)z        	 	41.7	 	 3.97	 	 3.90	OIII	 50	 87	  1	a	   	ALS 8294      	080.66535	+33.37174
BD +60 501     	O7   	V  (n)((f))z   	 	37.9	 	 3.89	 	 3.81	OIII	182	 87	  1	a	   	BD +60 501    	038.15116	+61.47377
BD +60 586     	O7   	V  z           	 	38.4	 	 4.10	 	 3.63	OIII	 38	 77	  3	c	LPV	BD +60 586    	043.54447	+60.65097
HD 193595      	O7   	V  ((f))       	 	37.9	 	 3.79	 	 3.91	OIII	 46	 61	  1	a	   	HD 193595     	304.88053	+39.05729
HDE 227245     	O7   	V  ((f))z      	 	38.0	 	 3.80	 	 3.91	OIII	 47	 71	  1	a	   	HDE 227245    	300.59049	+35.67495
HD 152623      	O7   	V  (n)((f))    	 	37.4	 	 3.79	 	 3.89	OIII	 83	138	  2	a	SB1	HD 152623     	254.06261	-40.65997
ALS 12619      	O7   	V  ((f))z      	 	38.2	 	 4.03	 	 3.69	OIII	 21	 43	  1	c	   	ALS 12619     	341.96079	+58.08677
HD 110360      	ON7  	V              	 	39.3	 	 4.17	 	 3.60	OIII	 96	 86	  2	c	SB1	HD 110360     	190.55293	-60.65242
HD 93222 AB    	O7   	V  ((f))       	 	36.8	 	 3.63	 	 4.02	OIII	 50	 90	  3	b	   	HD 93222      	161.15103	-60.09136
HD 91824       	O7   	V  ((f))z      	 	39.8	 	 4.02	 	 3.77	OIII	 51	 48	  9	a	SB1	HD 91824      	158.69430	-58.15612
HD 93146 A     	O7   	V  ((f))       	 	38.7	 	 3.84	 	 3.90	OIII	 60	 67	  8	a	SB1	HD 93146 A    	161.00066	-60.08608
HDE 242926     	O7   	V  z           	 	39.0	 	 4.07	 	 3.68	OIII	 89	 52	  2	c	LPV	HDE 242926    	080.66706	+33.31928
HD 53975       	O7.5 	V  z           	 	36.8	 	 3.91	 	 3.74	OIII	179	 45	  4	c	SB1	HD 53975      	106.64985	-12.39395
HD 168504      	O7.5 	V  (n)z        	 	37.3	 	 3.84	 	 3.84	OIII	 61	 89	  1	a	   	HD 168504     	275.14207	-13.95437
HDE 344777     	O7.5 	V  z           	 	35.8	 	 3.62	 	 3.99	OIII	 47	103	  1	b	   	HDE 344777    	295.54779	+23.43348
HDE 338 916    	O7.5 	V  z           	 	37.8	 	 4.02	 	 3.68	OIII	 26	 45	  1	c	   	HDE 338916    	296.42548	+25.35456
HD 168461      	O7.5 	V  ((f))  Nstr 	 	36.0	 	 3.81	 	 3.81	OIII	192	 30	  1	c	   	HD 168461     	275.07158	-12.17201
HD 164492      	O7.5 	V  z           	 	38.6	 	 4.00	 	 3.74	OIII	 39	 54	  2	c	   	HD 164492     	270.59814	-23.03083
BD +33 1025 A  	O7.5 	V  (n)z        	 	38.4	>	 4.01	<	 3.72	OIII	178	 10	  1	c	   	BD +33 1025   	080.68333	+33.44074
HD 124979      	O7.5 	IV  (n)((f))   	 	34.9	 	 3.58	 	 3.98	OIII	261	   	  6	b	LPV	HD 124979     	214.54975	-51.50385
HD 152590      	O7.5 	V  z           	 	38.0	 	 3.92	 	 3.79	OIII	 48	 56	 10	a	SB1	HD 152590     	254.02173	-40.34933
HD 35619       	O7.5 	V  ((f))       	 	37.7	 	 3.94	 	 3.76	OIII	 40	 60	  5	c	LPV	HD 35619      	081.90061	+34.75528
HD 74920       	O7.5 	IV  n((f))     	 	34.9	 	 3.66	 	 3.90	OIII	291	   	  1	b	   	HD 74920      	131.29309	-46.03868
HD 41997       	O7.5 	V  n((f))      	 	35.8	 	 3.75	 	 3.86	OIII	262	   	  3	a	SB1	HD 41997      	092.23259	+15.70505
HD 99546       	O7.5 	V  ((f))  Nstr 	 	37.0	 	 3.71	 	 3.95	OIII	 50	 60	  1	a	   	HD 99546      	171.65377	-59.43711
HD 94024       	O8   	IV             	 	34.8	 	 3.56	 	 4.00	OIII	162	 52	  8	b	SB1	HD 94024      	162.50628	-57.87396
HD 101413      	O8   	V              	 	36.9	 	 4.01	 	 3.65	OIII	 80	 91	  5	c	LPV	HD 101413     	174.94099	-63.47781
HD 165246      	O8   	V  (n)         	 	35.9	 	 3.99	 	 3.62	OIII	251	   	 14	c	SB1	HD 165246     	271.51950	-24.19552
HD 41161       	O8   	V  n           	 	35.2	 	 3.84	 	 3.74	OIII	331	   	  8	c	   	HD 41161      	091.46857	+48.24928
HD 46056       	O8   	V  n           	 	35.5	 	 4.01	 	 3.58	OIII	370	   	  6	c	LPV	HD 46056      	097.83692	+04.83440
HD 326331      	O8   	IV  n((f))     	 	34.9	 	 3.74	 	 3.82	OIII	332	   	 24	c	   	HD 326331     	253.60820	-41.83216
HD 101191      	O8   	V              	 	35.7	 	 3.80	 	 3.80	OIII	138	101	  4	c	   	HD 101191     	174.55070	-63.39078
HD 135591      	O8   	IV  ((f))      	 	35.0	 	 3.58	 	 3.99	OIII	 60	 60	  3	b	   	HD 135591     	229.70476	-60.49633
HD 191978      	O8   	V              	 	35.8	 	 3.81	 	 3.80	OIII	 57	 82	  3	c	   	HD 191978     	302.74283	+41.35276
HD 101223      	O8   	V              	 	35.2	 	 3.62	 	 3.96	OIII	 55	 63	  5	b	   	HD 101223     	174.59488	-63.20078
HD 97848       	O8   	V              	 	35.6	 	 3.67	 	 3.93	OIII	 41	 77	  2	b	LPV	HD 97848      	168.63293	-59.02468
ALS 7833       	O8   	V  z           	 	35.9	 	 3.71	 	 3.90	OIII	 85	104	  1	a	   	ALS 7833      	059.78121	+57.23657
HD 5005 C      	O8.5 	V  (n)         	 	36.2	 	 4.04	 	 3.58	OIII	200	   	  1	c	   	HD 5005 C     	013.20648	+56.62690
Trumpler 14-9  	O8.5 	V              	 	36.7	 	 4.10	 	 3.55	OIII	 66	 41	  2	c	   	Cl Trumpler 14	160.98600	-59.55300
HD 46149       	O8.5 	V              	 	36.9	 	 4.23	 	 3.43	OIII	 30	 49	  5	c	LPV	HD 46149      	097.96888	+05.03311
HDE 298429     	O8.5 	V              	 	33.6	 	 3.55	 	 3.95	OIII	105	117	  1	b	   	HDE 298429    	142.65524	-51.65964
HD 46966       	O8.5 	IV             	 	35.9	 	 3.84	 	 3.77	OIII	 40	 66	 41	c	   	HD 46966      	099.10787	+06.08319
BD +36 4145    	O8.5 	V  (n)         	 	35.8	 	 3.86	 	 3.75	OIII	203	   	  2	c	   	BD +36 4145   	309.07586	+37.41745
HD 92504       	O8.5 	V  (n)         	 	34.9	 	 3.70	 	 3.86	OIII	182	 63	  4	a	   	HD 92504      	159.90362	-57.46129
HD 52533       	O8.5 	IV  n          	 	35.2	 	 3.98	 	 3.60	HeI 	299	   	  3	c	SB1	HD 52533      	105.36270	-03.11758
HD 216532      	O8.5 	V  (n)         	 	35.3	 	 4.04	 	 3.54	OIII	199	 54	  3	c	   	HD 216532     	343.12732	+62.44054
HD 73882       	O8.5 	IV             	 	35.8	 	 3.85	 	 3.76	OIII	145	 58	  7	c	SB1	HD 73882      	129.78973	-40.41924
HD 48279       	O8.5 	V  Nstr  var?  	 	36.2	 	 3.86	 	 3.76	OIII	131	 74	  4	c	   	HD 48279      	100.66895	+01.71618
HD 14633 AaAb  	ON8.5	V              	 	35.0	 	 3.79	 	 3.78	OIII	121	 69	  4	c	SB1	HD 14633      	035.72622	+41.47992
HD 214680      	O9   	V              	 	35.2	 	 3.89	 	 3.69	OIII	 14	 43	 34	c	   	HD 214680     	339.81533	+39.05027
HD 102415      	ON9  	IV:  nn        	 	33.1	 	 3.92	 	 3.55	HeI 	366	   	  3	c	LPV	HD 102415     	176.72668	-61.46305
HD 149452      	O9   	IV  n          	 	33.7	 	 3.73	 	 3.77	OIII	318	   	  2	c	LPV	HD 149452     	249.29380	-47.13051
HD 93028       	O9   	IV             	 	35.3	 	 3.93	 	 3.65	OIII	 25	 55	  7	c	SB1	HD 93028      	160.81391	-60.20118
CPD -59 2551   	O9   	V              	 	34.9	 	 3.91	 	 3.65	OIII	124	 92	  2	c	   	CPD -59 2551  	160.98951	-60.09116
HD 216898      	O9   	V              	 	35.9	 	 4.18	 	 3.43	OIII	 44	 57	  3	c	SB1	HD 216898     	343.92691	+62.30634
HD 12323       	ON9.2	V              	 	34.2	 	 3.95	 	 3.58	OIII	121	 82	  2	c	SB1	HD 12323      	030.62553	+55.62399
HD 46202       	O9.2 	V              	 	34.9	 	 4.13	 	 3.43	OIII	 11	 38	  4	c	   	HD 46202      	098.04364	+04.96662
HD 57682       	O9.2 	IV             	 	35.0	 	 4.13	 	 3.44	OIII	  7	 34	  5	c	   	HD 57682      	110.50856	-08.97938
HD 76341       	O9.2 	IV             	 	33.0	 	 3.57	 	 3.89	OIII	 51	 93	  4	b	   	HD 76341      	133.50256	-42.48577
HD 164438      	O9.2 	IV             	 	32.2	 	 3.43	 	 3.99	OIII	 55	 94	  7	b	SB1	HD 164438     	270.46784	-19.10613
HD 201345      	ON9.2	IV             	 	33.8	 	 3.79	 	 3.72	OIII	 79	 89	  3	c	   	HD 201345     	316.98090	+33.39701
HD 5005 D      	O9.2 	V              	 	34.9	 	 3.99	 	 3.57	OIII	 32	 57	  1	c	   	HD 5005 D     	013.20397	+56.62523
HD 96622       	O9.2 	IV             	 	33.3	 	 3.68	 	 3.80	OIII	 39	 61	  4	c	SB1	HD 96622      	166.74909	-59.66788
HD 149757      	O9.2 	IV  nn         	 	32.0	 	 3.66	 	 3.75	HeI 	385	   	200	c	LPV	HD 149757     	249.28975	-10.56709
HD 163892      	O9.5 	IV  (n)        	 	32.8	 	 3.77	 	 3.68	OIII	215	   	 12	c	SB1	HD 163892     	269.85963	-22.46691
HD 166546      	O9.5 	IV             	 	32.4	 	 3.56	 	 3.87	OIII	 38	 73	  4	b	   	HD 166546     	272.98791	-20.42337
CPD -54 6791   	O9.5 	V              	 	34.8	 	 4.05	 	 3.51	OIII	 31	 39	  1	c	   	CPD -54 6791  	238.91501	-54.64351
HD 34078       	O9.5 	V              	 	34.5	 	 4.07	 	 3.47	OIII	 13	 32	  6	c	   	HD 34078      	079.07562	+34.31232
HD 38666       	O9.5 	V              	 	33.9	 	 3.92	 	 3.59	OIII	111	 56	  5	c	   	HD 38666      	086.49956	-32.30643
HD 36483       	O9.5 	IV  (n)        	 	33.4	 	 3.86	 	 3.62	OIII	158	 74	  4	c	LPV	HD 36483      	083.42147	+36.45971
HD 206183      	O9.5 	IV-V           	 	33.8	 	 4.04	 	 3.47	OIII	  8	 29	  2	c	   	HD 206183     	324.60952	+56.97374
HD 202214      	O9.5 	IV             	 	32.1	 	 3.82	 	 3.60	OIII	 26	 36	  8	c	   	HD 202214     	317.95099	+59.98661
HD 168941      	O9.5 	IV  p          	 	32.0	 	 3.43	 	 3.98	OIII	 83	101	  2	b	   	HD 168941     	275.85650	-26.95301
HD 155889 AB   	O9.5 	IV             	 	34.9	 	 4.10	 	 3.46	OIII	 27	 51	  5	c	LPV	HD 155889     	258.96147	-33.73702
HD 164019      	O9.5 	IV  p          	 	32.0	 	 3.45	 	 3.96	OIII	 69	 62	  1	b	   	HD 164019     	270.08314	-28.62074
HD 123056      	O9.5 	IV  (n)        	 	31.8	 	 3.70	 	 3.70	OIII	193	 26	  9	c	SB1	HD 123056     	211.85683	-60.47060
BD +60 499     	O9.5 	V              	 	34.2	 	 3.87	 	 3.66	OIII	 17	 38	  1	c	   	BD +60 499    	038.06980	+61.55417
HD 93027       	O9.5 	IV             	 	33.8	 	 3.95	 	 3.56	OIII	 46	 66	  2	c	   	HD 93027      	160.82477	-60.13424
HD 192001      	O9.5 	IV             	 	33.0	 	 3.83	 	 3.63	OIII	 44	 57	  2	c	LPV	HD 192001     	302.75711	+42.12678
HDE 308813     	O9.7 	IV  (n)        	 	31.8	 	 3.88	 	 3.52	SIII	215	   	  5	c	SB1	HDE 308813    	174.49352	-63.31652
CPD -41 7721 A 	O9.7 	V:  (n)        	 	31.3	 	 3.85	 	 3.52	OIII	191	 66	  1	c	   	CPD -41 7721 A	253.52799	-41.85194
HDE 326329     	O9.7 	V              	 	32.1	 	 3.92	 	 3.50	OIII	 87	 39	  3	c	LPV	HDE 326329    	253.55876	-41.83570
HD 36512       	O9.7 	V              	 	33.0	 	 4.02	 	 3.44	OIII	 13	 33	  4	c	   	HD 36512      	082.98275	-07.30154
HD 209339      	O9.7 	IV             	 	32.1	 	 3.81	 	 3.61	OIII	 84	 78	  4	c	   	HD 209339     	330.16360	+62.48780
HD 54879       	O9.7 	V              	 	33.5	 	 4.09	 	 3.40	OIII	  8	  8	  7	c	   	HD 54879      	107.53395	-11.80273
HD 152200      	O9.7 	IV  (n)        	 	30.4	 	 3.69	 	 3.63	OIII	226	   	  4	c	SB1	HD 152200     	253.46524	-41.84242
HD 207538      	O9.7 	IV             	 	32.0	 	 3.80	 	 3.61	OIII	 29	 50	  2	c	   	HD 207538     	326.91579	+59.70037

